event_id,category,slice,leg,ticker,evaluator_window_positive,left_ts,right_ts,scheduled_start_ts,window1_open_cents,window1_close_cents,leg_direction,raw_bbo_rows,distinct_top_states,true_print_rows,print_floor_cents,print_floor_ts,reason,quote_10s_floor_limit_cents,quote_10s_first_touch_ts,quote_10s_first_span_seconds,quote_10s_first_span_min_ask_cents,quote_10s_first_span_max_ask_cents,quote_10s_longest_span_seconds,quote_10s_qualifying_span_count,quote_30s_floor_limit_cents,quote_30s_first_touch_ts,quote_30s_first_span_seconds,quote_30s_first_span_min_ask_cents,quote_30s_first_span_max_ask_cents,quote_30s_longest_span_seconds,quote_30s_qualifying_span_count,quote_60s_floor_limit_cents,quote_60s_first_touch_ts,quote_60s_first_span_seconds,quote_60s_first_span_min_ask_cents,quote_60s_first_span_max_ask_cents,quote_60s_longest_span_seconds,quote_60s_qualifying_span_count,quote_300s_floor_limit_cents,quote_300s_first_touch_ts,quote_300s_first_span_seconds,quote_300s_first_span_min_ask_cents,quote_300s_first_span_max_ask_cents,quote_300s_longest_span_seconds,quote_300s_qualifying_span_count
KXATPCHALLENGERMATCH-26JUL12BARREI,ATP_CHALL,fit,BAR,KXATPCHALLENGERMATCH-26JUL12BARREI-BAR,True,1783825200.0,1784035500.0,1783854000.0,,63,UNKNOWN,116294,56003,40,61,1783966753.338064,,62,1783972709.0,19.0,62,62,14789.0,3,62,1783972878.0,14789.0,62,62,14789.0,2,62,1783972878.0,14789.0,62,62,14789.0,2,62,1783972878.0,14789.0,62,62,14789.0,2
KXATPCHALLENGERMATCH-26JUL12BARREI,ATP_CHALL,fit,REI,KXATPCHALLENGERMATCH-26JUL12BARREI-REI,True,1783825200.0,1784035500.0,1783854000.0,,39,UNKNOWN,49215,5903,32,31,1783890764.117343,,31,1783872745.0,28205.0,31,31,28205.0,1,31,1783872745.0,28205.0,31,31,28205.0,1,31,1783872745.0,28205.0,31,31,28205.0,1,31,1783872745.0,28205.0,31,31,28205.0,1
KXATPCHALLENGERMATCH-26JUL12BARVIS,ATP_CHALL,fit,BAR,KXATPCHALLENGERMATCH-26JUL12BARVIS-BAR,True,1783825200.0,1784033700.0,1783854000.0,,87,UNKNOWN,125200,68120,16,84,1783950690.777202,,83,1783858844.0,1322.0,83,83,1322.0,1,83,1783858844.0,1322.0,83,83,1322.0,1,83,1783858844.0,1322.0,83,83,1322.0,1,83,1783858844.0,1322.0,83,83,1322.0,1
KXATPCHALLENGERMATCH-26JUL12BARVIS,ATP_CHALL,fit,VIS,KXATPCHALLENGERMATCH-26JUL12BARVIS-VIS,True,1783825200.0,1784033700.0,1783854000.0,,16,UNKNOWN,13639,2433,22,12,1783946101.158323,,15,1784030164.0,1356.0,15,15,1356.0,3,15,1784030164.0,1356.0,15,15,1356.0,3,15,1784030164.0,1356.0,15,15,1356.0,3,15,1784030164.0,1356.0,15,15,1356.0,2
KXATPCHALLENGERMATCH-26JUL12BINGIL,ATP_CHALL,fit,BIN,KXATPCHALLENGERMATCH-26JUL12BINGIL-BIN,True,1783837800.0,1783864140.0,1783866600.0,85,85,FLAT,3634,23,10,85,1783838239.109218,,85,1783837800.0,22800.0,85,85,22800.0,5,85,1783837800.0,22800.0,85,85,22800.0,5,85,1783837800.0,22800.0,85,85,22800.0,5,85,1783837800.0,22800.0,85,85,22800.0,5
KXATPCHALLENGERMATCH-26JUL12BINGIL,ATP_CHALL,fit,GIL,KXATPCHALLENGERMATCH-26JUL12BINGIL-GIL,True,1783837800.0,1783864140.0,1783866600.0,16,15,FALLING,2568,26,13,15,1783863789.66476,,15,1783863825.0,315.0,15,15,315.0,1,15,1783863825.0,315.0,15,15,315.0,1,15,1783863825.0,315.0,15,15,315.0,1,15,1783863825.0,315.0,15,15,315.0,1
KXATPCHALLENGERMATCH-26JUL12BOOONC,ATP_CHALL,fit,BOO,KXATPCHALLENGERMATCH-26JUL12BOOONC-BOO,True,1783825200.0,1784044500.0,1783854000.0,,26,UNKNOWN,25008,12621,38,20,1783970369.946509,,20,1783950172.0,20197.0,20,20,20197.0,1,20,1783950172.0,20197.0,20,20,20197.0,1,20,1783950172.0,20197.0,20,20,20197.0,1,20,1783950172.0,20197.0,20,20,20197.0,1
KXATPCHALLENGERMATCH-26JUL12BOOONC,ATP_CHALL,fit,ONC,KXATPCHALLENGERMATCH-26JUL12BOOONC-ONC,True,1783825200.0,1784044500.0,1783854000.0,,75,UNKNOWN,178189,64407,30,68,1783923346.565441,,50,1783857136.0,12.0,48,50,12.0,1,58,1783857116.0,32.0,48,58,32.0,1,66,1783857195.0,63.0,56,66,63.0,1,75,1784022575.0,21925.0,75,75,21925.0,1
KXATPCHALLENGERMATCH-26JUL12BOSCOP,ATP_CHALL,fit,BOS,KXATPCHALLENGERMATCH-26JUL12BOSCOP-BOS,True,1783825200.0,1784018340.0,1783854000.0,,28,UNKNOWN,13330,1551,23,28,1783971537.016234,,28,1783972518.0,18.0,28,28,18.0,1,29,1783952309.0,23060.0,28,29,23060.0,4,29,1783952309.0,23060.0,28,29,23060.0,4,29,1783952309.0,23060.0,28,29,23060.0,4
KXATPCHALLENGERMATCH-26JUL12BOSCOP,ATP_CHALL,fit,COP,KXATPCHALLENGERMATCH-26JUL12BOSCOP-COP,True,1783825200.0,1784018340.0,1783854000.0,,72,UNKNOWN,160837,73045,52,47,1783893059.523295,,63,1783856742.0,10.0,58,63,10.0,1,71,1783866194.0,909.0,71,71,16078.0,4,71,1783866194.0,909.0,71,71,16078.0,3,71,1783866194.0,909.0,71,71,16078.0,3
KXATPCHALLENGERMATCH-26JUL12BOUVIT,ATP_CHALL,fit,BOU,KXATPCHALLENGERMATCH-26JUL12BOUVIT-BOU,True,1783846800.0,1783864500.0,1783875600.0,80,81,CLIMBING,261,6,6,80,1783850921.249761,,77,1783846800.0,47.0,77,77,47.0,1,77,1783846800.0,47.0,77,77,47.0,1,80,1783850978.0,176.0,80,80,176.0,1,81,1783846800.0,17700.0,77,81,17700.0,1
KXATPCHALLENGERMATCH-26JUL12BOUVIT,ATP_CHALL,fit,VIT,KXATPCHALLENGERMATCH-26JUL12BOUVIT-VIT,True,1783846800.0,1783864500.0,1783875600.0,21,20,FALLING,298,10,19,20,1783851154.643634,,20,1783851154.0,7367.0,20,20,7367.0,2,20,1783851154.0,7367.0,20,20,7367.0,2,20,1783851154.0,7367.0,20,20,7367.0,2,20,1783851154.0,7367.0,20,20,7367.0,2
KXATPCHALLENGERMATCH-26JUL12BROBAR,ATP_CHALL,fit,BAR,KXATPCHALLENGERMATCH-26JUL12BROBAR-BAR,True,1783825200.0,1784046240.0,1783854000.0,,22,UNKNOWN,13991,3838,105,20,1783862469.733476,,22,1784019827.0,15280.0,22,22,15280.0,6,22,1784019827.0,15280.0,22,22,15280.0,6,22,1784019827.0,15280.0,22,22,15280.0,4,22,1784019827.0,15280.0,22,22,15280.0,4
