category,price_bucket,exit_target,N_trades,HR,avg_entry,avg_win,avg_loss,mean_pnl,roi_pct,ev_per_day
ATP_MAIN,10-14,3,3,1.0,14.0,3,0,3.0,21.43,0.26
ATP_MAIN,10-14,4,3,1.0,14.0,4,0,4.0,28.57,0.34
ATP_MAIN,10-14,5,3,1.0,14.0,5,0,5.0,35.71,0.43
ATP_MAIN,10-14,6,3,1.0,14.0,6,0,6.0,42.86,0.51
ATP_MAIN,10-14,7,3,1.0,14.0,7,0,7.0,50.0,0.6
ATP_MAIN,10-14,8,3,1.0,14.0,8,0,8.0,57.14,0.69
ATP_MAIN,10-14,9,3,1.0,14.0,9,0,9.0,64.29,0.77
ATP_MAIN,10-14,10,3,1.0,14.0,10,0,10.0,71.43,0.86
ATP_MAIN,10-14,11,3,1.0,14.0,11,0,11.0,78.57,0.94
ATP_MAIN,10-14,12,3,1.0,14.0,12,0,12.0,85.71,1.03
ATP_MAIN,10-14,13,3,1.0,14.0,13,0,13.0,92.86,1.11
ATP_MAIN,10-14,14,3,1.0,14.0,14,0,14.0,100.0,1.2
ATP_MAIN,10-14,15,3,1.0,14.0,15,0,15.0,107.14,1.29
ATP_MAIN,10-14,16,3,1.0,14.0,16,0,16.0,114.29,1.37
ATP_MAIN,10-14,17,3,1.0,14.0,17,0,17.0,121.43,1.46
ATP_MAIN,10-14,18,3,1.0,14.0,18,0,18.0,128.57,1.54
ATP_MAIN,10-14,19,3,1.0,14.0,19,0,19.0,135.71,1.63
ATP_MAIN,10-14,20,3,1.0,14.0,20,0,20.0,142.86,1.71
ATP_MAIN,10-14,21,3,1.0,14.0,21,0,21.0,150.0,1.8
ATP_MAIN,10-14,22,3,1.0,14.0,22,0,22.0,157.14,1.89
ATP_MAIN,10-14,23,3,1.0,14.0,23,0,23.0,164.29,1.97
ATP_MAIN,10-14,24,3,1.0,14.0,24,0,24.0,171.43,2.06
ATP_MAIN,10-14,25,3,1.0,14.0,25,0,25.0,178.57,2.14
ATP_MAIN,10-14,26,3,1.0,14.0,26,0,26.0,185.71,2.23
ATP_MAIN,10-14,27,3,1.0,14.0,27,0,27.0,192.86,2.31
ATP_MAIN,10-14,28,3,1.0,14.0,28,0,28.0,200.0,2.4
ATP_MAIN,10-14,29,3,1.0,14.0,29,0,29.0,207.14,2.49
ATP_MAIN,10-14,30,3,1.0,14.0,30,0,30.0,214.29,2.57
ATP_MAIN,10-14,31,3,1.0,14.0,31,0,31.0,221.43,2.66
ATP_MAIN,10-14,32,3,1.0,14.0,32,0,32.0,228.57,2.74
ATP_MAIN,10-14,33,3,1.0,14.0,33,0,33.0,235.71,2.83
ATP_MAIN,10-14,34,3,1.0,14.0,34,0,34.0,242.86,2.91
ATP_MAIN,10-14,35,3,1.0,14.0,35,0,35.0,250.0,3.0
ATP_MAIN,15-19,3,11,1.0,16.8,3,0,3.0,17.84,0.94
ATP_MAIN,15-19,4,11,1.0,16.8,4,0,4.0,23.78,1.26
ATP_MAIN,15-19,5,11,1.0,16.8,5,0,5.0,29.73,1.57
ATP_MAIN,15-19,6,11,1.0,16.8,6,0,6.0,35.68,1.89
ATP_MAIN,15-19,7,11,1.0,16.8,7,0,7.0,41.62,2.2
ATP_MAIN,15-19,8,11,1.0,16.8,8,0,8.0,47.57,2.51
ATP_MAIN,15-19,9,11,1.0,16.8,9,0,9.0,53.51,2.83
ATP_MAIN,15-19,10,11,1.0,16.8,10,0,10.0,59.46,3.14
ATP_MAIN,15-19,11,11,1.0,16.8,11,0,11.0,65.41,3.46
ATP_MAIN,15-19,12,11,1.0,16.8,12,0,12.0,71.35,3.77
ATP_MAIN,15-19,13,11,1.0,16.8,13,0,13.0,77.3,4.09
ATP_MAIN,15-19,14,11,1.0,16.8,14,0,14.0,83.24,4.4
ATP_MAIN,15-19,15,11,1.0,16.8,15,0,15.0,89.19,4.71
ATP_MAIN,15-19,16,11,1.0,16.8,16,0,16.0,95.14,5.03
ATP_MAIN,15-19,17,11,1.0,16.8,17,0,17.0,101.08,5.34
ATP_MAIN,15-19,18,11,1.0,16.8,18,0,18.0,107.03,5.66
ATP_MAIN,15-19,19,11,1.0,16.8,19,0,19.0,112.97,5.97
ATP_MAIN,15-19,20,11,1.0,16.8,20,0,20.0,118.92,6.29
ATP_MAIN,15-19,21,11,1.0,16.8,21,0,21.0,124.86,6.6
ATP_MAIN,15-19,22,11,1.0,16.8,22,0,22.0,130.81,6.91
ATP_MAIN,15-19,23,11,1.0,16.8,23,0,23.0,136.76,7.23
ATP_MAIN,15-19,24,11,1.0,16.8,24,0,24.0,142.7,7.54
ATP_MAIN,15-19,25,11,1.0,16.8,25,0,25.0,148.65,7.86
ATP_MAIN,15-19,26,11,1.0,16.8,26,0,26.0,154.59,8.17
ATP_MAIN,15-19,27,11,1.0,16.8,27,0,27.0,160.54,8.49
ATP_MAIN,15-19,28,11,1.0,16.8,28,0,28.0,166.49,8.8
ATP_MAIN,15-19,29,11,1.0,16.8,29,0,29.0,172.43,9.11
ATP_MAIN,15-19,30,11,1.0,16.8,30,0,30.0,178.38,9.43
ATP_MAIN,15-19,31,11,1.0,16.8,31,0,31.0,184.32,9.74
ATP_MAIN,15-19,32,11,1.0,16.8,32,0,32.0,190.27,10.06
ATP_MAIN,15-19,33,11,0.7273,16.8,33,-18.0,19.09,113.51,6.0
ATP_MAIN,15-19,34,11,0.4545,16.8,34,-17.2,6.09,36.22,1.91
ATP_MAIN,15-19,35,11,0.2727,16.8,35,-16.9,-2.73,-16.22,-0.86
ATP_MAIN,20-24,3,24,0.9583,22.2,3,-24.0,1.88,8.43,1.29
ATP_MAIN,20-24,4,24,0.9583,22.2,4,-24.0,2.83,12.73,1.94
ATP_MAIN,20-24,5,24,0.9583,22.2,5,-24.0,3.79,17.04,2.6
ATP_MAIN,20-24,6,24,0.9583,22.2,6,-24.0,4.75,21.35,3.26
