category,price_bucket,N_trades,current_status,current_exit_cents,optimal_exit_cents,optimal_HR,optimal_avg_entry_cents,optimal_mean_pnl_cents,optimal_avg_roi_pct,optimal_ev_per_day
ATP_CHALL,60-64,103,active,10,6,96.1,62.1,3.35,5.39,9.86
ATP_CHALL,65-69,39,active,10,6,94.9,67.0,2.23,3.33,2.49
ATP_CHALL,70-74,88,active,11,6,95.5,71.7,2.45,3.42,6.17
ATP_CHALL,75-79,47,active,19,19,91.5,76.8,10.85,14.12,14.57
ATP_CHALL,80-84,65,active,15,15,89.2,81.5,4.68,5.74,8.69
ATP_CHALL,85-89,16,active,11,7,93.8,86.5,1.0,1.16,0.46
ATP_CHALL,90-94,1,missing,,3,0.0,90.0,-90.0,-100.0,-2.57
ATP_CHALL,95-99,1,missing,,4,0.0,96.0,4.0,4.17,0.11
WTA_MAIN,0-4,0,missing,,,,,,,
WTA_MAIN,5-9,0,missing,,,,,,,
WTA_MAIN,10-14,10,missing,,32,90.0,12.5,27.8,222.4,7.94
WTA_MAIN,15-19,12,active,31,31,75.0,17.3,19.17,110.58,6.57
WTA_MAIN,20-24,15,active,25,22,86.7,22.1,16.27,73.49,6.97
WTA_MAIN,25-29,24,active,21,21,91.7,26.9,17.12,63.62,11.74
WTA_MAIN,30-34,23,active,16,16,95.7,31.7,13.91,43.84,9.14
WTA_MAIN,35-39,21,active,12,11,90.5,36.7,6.43,17.53,3.86
WTA_MAIN,40-44,37,active,5,5,94.6,42.2,2.43,5.77,2.57
WTA_MAIN,45-49,33,active,14,11,87.9,47.1,4.0,8.5,3.77
WTA_MAIN,50-54,86,active,26,9,89.5,50.3,2.72,5.41,6.69
WTA_MAIN,55-59,13,disabled,,4,84.6,57.2,-5.46,-9.56,-2.03
WTA_MAIN,60-64,20,active,8,34,65.0,62.0,0.4,0.65,0.23
WTA_MAIN,65-69,26,disabled,,23,76.9,67.0,2.12,3.16,1.57
WTA_MAIN,70-74,28,active,15,26,75.0,72.1,4.96,6.88,3.97
WTA_MAIN,75-79,9,missing,,3,100.0,76.9,3.0,3.9,0.77
WTA_MAIN,80-84,18,active,15,17,66.7,81.3,0.56,0.68,0.29
WTA_MAIN,85-89,16,disabled,,14,18.8,87.3,6.44,7.37,2.94
WTA_MAIN,90-94,2,missing,,10,0.0,91.0,9.0,9.89,0.51
WTA_MAIN,95-99,0,missing,,,,,,,
WTA_CHALL,0-4,0,missing,,,,,,,
WTA_CHALL,5-9,0,missing,,,,,,,
WTA_CHALL,10-14,0,missing,,,,,,,
WTA_CHALL,15-19,0,missing,,,,,,,
WTA_CHALL,20-24,0,missing,,,,,,,
WTA_CHALL,25-29,0,missing,,,,,,,
WTA_CHALL,30-34,1,missing,,20,100.0,34.0,20.0,58.82,0.57
WTA_CHALL,35-39,6,missing,,11,100.0,38.2,11.0,28.82,1.89
WTA_CHALL,40-44,24,missing,,35,70.8,42.3,12.29,29.06,8.43
WTA_CHALL,45-49,13,missing,,9,92.3,46.3,4.54,9.8,1.69
WTA_CHALL,50-54,44,missing,,21,75.0,50.0,3.25,6.49,4.09
WTA_CHALL,55-59,0,missing,,,,,,,
WTA_CHALL,60-64,6,missing,,9,83.3,62.3,-3.17,-5.08,-0.54
WTA_CHALL,65-69,4,missing,,4,100.0,65.5,4.0,6.11,0.46
WTA_CHALL,70-74,1,missing,,4,100.0,70.0,4.0,5.71,0.11
WTA_CHALL,75-79,0,missing,,,,,,,
WTA_CHALL,80-84,0,missing,,,,,,,
WTA_CHALL,85-89,1,missing,,14,100.0,86.0,14.0,16.28,0.4
WTA_CHALL,90-94,4,missing,,10,25.0,91.5,8.5,9.29,0.97
WTA_CHALL,95-99,0,missing,,,,,,,
