cell,n_target,n_replayed,total_ticks,load_seconds,sim_seconds,total_seconds,configs_run
ATP_CHALL_leader_55-59,101,88,1332899,28.86728262901306,126.71949172019958,155.58724927902222,223
ATP_CHALL_leader_60-64,79,72,1165834,28.6460382938385,118.84061861038208,147.48799419403076,223
ATP_CHALL_leader_65-69,79,71,841544,26.065675258636475,89.62270712852478,115.69073176383972,223
ATP_CHALL_leader_70-74,65,60,770233,25.340482234954834,83.88980984687805,109.23062300682068,223
ATP_CHALL_leader_75-79,52,51,631380,28.28167152404785,142.68791675567627,170.97128176689148,333
ATP_CHALL_leader_80-84,36,35,370883,11.494439840316772,45.977155923843384,57.471885204315186,223
ATP_CHALL_underdog_10-14,33,31,378604,14.087396383285522,70.52813744544983,84.61580753326416,311
ATP_CHALL_underdog_15-19,51,50,635262,21.50818395614624,87.61068487167358,109.1191623210907,311
ATP_CHALL_underdog_20-24,59,57,943378,37.489811182022095,167.69851636886597,205.18888521194458,333
ATP_CHALL_underdog_25-29,55,50,783447,24.400624752044678,129.81997728347778,154.22208261489868,333
ATP_CHALL_underdog_30-34,81,74,1213000,40.37352418899536,206.45058250427246,246.82455015182495,333
ATP_CHALL_underdog_35-39,95,83,1422543,46.06421256065369,236.30040383338928,282.3651432991028,333
ATP_CHALL_underdog_40-44,88,83,1245075,45.009679317474365,130.05552983283997,175.0655336380005,223
ATP_MAIN_leader_55-59,44,36,651591,14.519281387329102,122.93473696708679,137.45458841323853,333
ATP_MAIN_leader_60-64,56,45,698380,22.97039556503296,173.01660251617432,195.98741054534912,333
ATP_MAIN_leader_65-69,38,34,559621,19.069942235946655,88.51748037338257,107.58775973320007,311
ATP_MAIN_leader_70-74,29,28,511061,17.817604303359985,58.12151527404785,75.93935561180115,223
ATP_MAIN_leader_75-79,17,14,196750,6.835073947906494,31.456273317337036,38.29210638999939,311
ATP_MAIN_underdog_15-19,22,19,251682,4.514395475387573,46.5100679397583,51.02468252182007,333
ATP_MAIN_underdog_20-24,18,16,229947,3.7767066955566406,40.98293399810791,44.759947538375854,333
ATP_MAIN_underdog_25-29,22,19,376389,7.416790246963501,66.84455180168152,74.26284646987915,333
ATP_MAIN_underdog_30-34,33,26,462033,9.043404579162598,49.10637974739075,58.14999079704285,223
ATP_MAIN_underdog_35-39,42,38,614134,12.989872932434082,117.6062536239624,130.59773635864258,333
ATP_MAIN_underdog_40-44,43,34,561943,16.048688650131226,115.78617715835571,131.83525204658508,333
WTA_CHALL_leader_60-64,10,7,113133,5.496645450592041,20.03352379798889,25.53066325187683,333
WTA_CHALL_leader_85-89,4,4,41280,1.2440211772918701,3.3419249057769775,4.586209535598755,223
WTA_CHALL_underdog_35-39,12,10,174077,5.837515354156494,14.611788511276245,20.45057702064514,223
WTA_CHALL_underdog_40-44,22,20,304663,10.402387619018555,27.770386219024658,38.17301845550537,223
WTA_MAIN_leader_55-59,36,29,417792,12.883291482925415,59.232845306396484,72.11650204658508,311
WTA_MAIN_leader_60-64,30,22,338634,7.864989757537842,76.89593315124512,84.76148962974548,333
WTA_MAIN_leader_65-69,22,19,225493,7.63545823097229,22.67525339126587,30.31211256980896,223
WTA_MAIN_leader_70-74,32,24,370336,6.739354372024536,44.18406534194946,50.92366909980774,223
WTA_MAIN_leader_75-79,21,17,189325,4.39697527885437,44.327078104019165,48.72507572174072,333
WTA_MAIN_leader_80-84,13,13,222278,4.526620626449585,22.892131328582764,27.418978452682495,223
WTA_MAIN_leader_85-89,13,11,132856,2.3749945163726807,18.671780824661255,21.049068689346313,223
WTA_MAIN_underdog_15-19,30,27,461093,10.644683122634888,81.57724714279175,92.22215843200684,333
WTA_MAIN_underdog_20-24,15,13,161444,3.0450353622436523,13.256163120269775,16.30137348175049,223
WTA_MAIN_underdog_25-29,29,22,387436,9.33766770362854,54.405922651290894,63.746161222457886,333
WTA_MAIN_underdog_30-34,25,21,286960,10.940687417984009,54.28145885467529,65.22239565849304,333
WTA_MAIN_underdog_35-39,25,18,317503,9.47691822052002,58.02653408050537,67.50397300720215,333
WTA_MAIN_underdog_40-44,51,41,544556,12.572760820388794,98.12197470664978,110.69507384300232,333
