cell,status,exit_c,N,N_win,N_lose,N_scalar,avg_entry,w,Sw,Sl,blended_scalp,scalp_profit,win_settle,loss_settle,EV_per_event,cost_basis,ROI_pct,daily_fires,daily_dollar,std_dev,sharpe,ci_low,ci_high,recommendation,reason
ATP_CHALL_underdog_20-24,ACTIVE,15,70,19,51,0,22.2,0.271,1.000,0.451,0.600,1.500,7.679,-2.121,0.0514,2.221,2.3,1.25,0.064,1.764,0.035,-0.3518,0.4747,KEEP-WATCH,
ATP_CHALL_underdog_25-29,disabled,21,91,16,73,2,26.7,0.180,1.000,0.438,0.538,2.100,7.232,-2.568,0.0115,2.668,0.4,1.62,0.019,2.438,0.022,-0.4482,0.5536,RE-ENABLE,
ATP_CHALL_underdog_30-34,disabled,15,101,20,81,0,32.2,0.198,1.000,0.531,0.624,1.500,6.678,-3.122,-0.2389,3.222,-7.4,1.80,-0.431,2.241,-0.107,-0.6767,0.1975,STAY-OFF,
ATP_CHALL_underdog_35-39,ACTIVE,11,132,40,92,0,36.9,0.303,1.000,0.641,0.750,1.100,6.206,-3.594,-0.0735,3.694,-2.0,2.36,-0.173,2.032,-0.036,-0.4194,0.2740,RETUNE,
ATP_CHALL_underdog_40-44,ACTIVE,30,139,58,80,1,41.7,0.420,1.000,0.362,0.626,3.000,5.725,-4.075,0.3675,4.175,8.8,2.48,0.912,3.413,0.106,-0.2056,0.9293,KEEP-WATCH,
ATP_CHALL_underdog_45-49,ACTIVE,13,134,72,62,0,46.8,0.537,1.000,0.435,0.739,1.300,5.216,-4.584,-0.2370,4.684,-5.1,2.39,-0.567,2.589,-0.092,-0.6772,0.1996,DISABLE,
ATP_MAIN_leader_50-54,ACTIVE,12,43,19,24,0,51.7,0.442,1.000,0.542,0.744,1.200,4.733,-5.067,-0.4033,5.167,-7.8,0.77,-0.310,2.718,-0.145,-1.2054,0.4193,DISABLE,
ATP_MAIN_leader_55-59,disabled,13,27,14,12,1,57.1,0.538,1.000,0.333,0.667,1.300,4.189,-5.611,-0.5484,5.711,-9.6,0.48,-0.264,3.272,-0.196,-1.8751,0.5936,STAY-OFF,
ATP_MAIN_leader_60-64,disabled,15,31,21,10,0,61.7,0.677,1.000,0.400,0.806,1.500,3.726,-6.074,0.0340,6.174,0.6,0.55,0.019,2.977,0.014,-1.0060,1.0899,RE-ENABLE,
ATP_MAIN_leader_70-74,ACTIVE,17,60,44,16,0,72.3,0.733,1.000,0.312,0.817,1.700,2.672,-7.128,0.0815,7.228,1.1,1.07,0.087,3.381,0.029,-0.7572,0.9538,KEEP-WATCH,
ATP_MAIN_leader_75-79,disabled,14,12,10,2,0,77.2,0.833,1.000,0.000,0.833,1.400,2.175,-7.625,-0.1042,7.725,-1.3,0.21,-0.022,3.429,-0.039,-2.0733,1.8066,INVESTIGATE,
ATP_MAIN_underdog_20-24,disabled,25,11,2,9,0,22.5,0.182,1.000,0.222,0.364,2.500,7.655,-2.145,-0.4562,2.245,-20.3,0.20,-0.090,2.249,-0.210,-1.8021,0.8566,INVESTIGATE,
ATP_MAIN_underdog_25-29,disabled,22,20,4,16,0,27.4,0.200,1.000,0.562,0.650,2.200,7.155,-2.645,0.5043,2.745,18.4,0.36,0.180,2.298,0.224,-0.4920,1.5220,RE-ENABLE,
ATP_MAIN_underdog_30-34,ACTIVE,15,36,11,25,0,31.5,0.306,1.000,0.520,0.667,1.500,6.747,-3.053,-0.0176,3.153,-0.6,0.64,-0.011,2.147,-0.008,-0.7179,0.6845,RETUNE,
ATP_MAIN_underdog_35-39,disabled,12,23,12,11,0,37.3,0.522,1.000,0.818,0.913,1.200,6.165,-3.635,0.7796,3.735,20.9,0.41,0.320,1.367,0.569,0.2195,1.3371,RE-ENABLE,
ATP_MAIN_underdog_40-44,disabled,9,37,11,26,0,42.0,0.297,1.000,0.692,0.784,0.900,5.703,-4.097,-0.1805,4.197,-4.3,0.66,-0.119,2.070,-0.090,-0.8534,0.4804,STAY-OFF,
ATP_MAIN_underdog_45-49,ACTIVE,4,40,16,23,1,47.2,0.410,1.000,0.826,0.900,0.400,5.183,-4.617,-0.2178,4.718,-4.6,0.71,-0.156,1.500,-0.067,-0.5650,0.3650,RETUNE,
WTA_CHALL_leader_55-59,ACTIVE,20,14,7,7,0,57.1,0.500,1.000,0.000,0.500,2.000,4.186,-5.614,-1.8071,5.714,-31.6,0.25,-0.452,3.837,-0.478,-3.8454,0.1740,INVESTIGATE,
WTA_CHALL_underdog_40-44,ACTIVE,30,16,9,7,0,41.9,0.562,1.000,0.000,0.562,3.000,5.713,-4.088,-0.1008,4.188,-2.4,0.29,-0.029,3.531,-0.032,-1.8427,1.6177,RETUNE,
WTA_MAIN_leader_50-54,ACTIVE,10,43,23,20,0,51.5,0.535,1.000,0.750,0.884,1.000,4.751,-5.049,0.2966,5.149,5.8,0.77,0.228,1.924,0.157,-0.2727,0.8774,KEEP-WATCH,
WTA_MAIN_leader_55-59,disabled,10,31,10,19,2,56.8,0.345,1.000,0.579,0.677,1.000,4.216,-5.584,-0.4342,5.684,-7.6,0.55,-0.240,3.105,-0.161,-1.5929,0.5929,STAY-OFF,
WTA_MAIN_leader_60-64,disabled,8,20,13,7,0,62.1,0.650,1.000,0.857,0.950,0.800,3.685,-6.115,0.4542,6.215,7.3,0.36,0.162,1.526,0.295,-0.2186,1.1186,RE-ENABLE,
WTA_MAIN_leader_65-69,ACTIVE,23,26,22,4,0,66.6,0.846,1.000,0.250,0.885,2.300,3.238,-6.562,1.2775,6.662,19.2,0.46,0.593,2.833,0.451,0.1879,2.3659,KEEP,
WTA_MAIN_leader_70-74,ACTIVE,25,17,13,4,0,71.5,0.765,1.000,0.000,0.765,2.500,2.753,-7.047,0.2536,7.147,3.5,0.30,0.077,4.009,0.069,-1.6292,2.1821,KEEP-WATCH,
WTA_MAIN_underdog_25-29,ACTIVE,21,19,3,16,0,27.2,0.158,1.000,0.500,0.579,2.100,7.179,-2.621,0.1122,2.721,4.1,0.34,0.038,2.328,0.050,-0.9309,1.1624,KEEP-WATCH,
WTA_MAIN_underdog_30-34,disabled,16,18,2,15,1,31.7,0.118,1.000,0.467,0.500,1.600,6.733,-3.067,-0.1634,3.167,-5.2,0.32,-0.053,2.835,-0.061,-1.4820,1.1375,STAY-OFF,
WTA_MAIN_underdog_35-39,disabled,11,29,8,21,0,36.9,0.276,1.000,0.667,0.759,1.100,6.214,-3.586,-0.0312,3.686,-0.8,0.52,-0.016,2.012,-0.017,-0.7668,0.6978,STAY-OFF,
WTA_MAIN_underdog_40-44,disabled,5,21,5,14,2,42.3,0.263,1.000,0.714,0.762,0.500,5.671,-4.129,-0.7866,4.229,-18.6,0.38,-0.295,1.969,-0.305,-1.4420,0.2420,STAY-OFF,
WTA_MAIN_underdog_45-49,ACTIVE,11,29,14,15,0,47.0,0.483,1.000,0.667,0.828,1.100,5.203,-4.597,0.1178,4.697,2.5,0.52,0.061,2.147,0.056,-0.6606,0.9020,KEEP-WATCH,
