sim_id,daily_pnl_dollars
0,-75.20
1,-71.60
2,-64.10
3,-58.70
4,-58.10
5,-57.40
6,-56.60
7,-56.10
8,-55.90
9,-55.50
10,-54.70
11,-54.70
12,-54.10
13,-53.80
14,-52.00
15,-51.80
16,-51.50
17,-51.00
18,-50.90
19,-50.80
20,-50.80
21,-50.70
22,-50.70
23,-50.40
24,-50.10
25,-49.80
26,-49.70
27,-49.50
28,-49.30
29,-49.30
30,-49.00
31,-48.20
32,-48.10
33,-48.10
34,-47.90
35,-47.20
36,-47.10
37,-46.70
38,-46.50
39,-46.40
40,-46.40
41,-46.40
42,-46.30
43,-46.20
44,-46.00
45,-45.90
46,-45.80
47,-45.60
48,-45.60
49,-45.40
50,-45.40
51,-45.30
52,-45.30
53,-45.00
54,-44.90
55,-44.70
56,-44.70
57,-44.50
58,-44.50
59,-44.20
60,-44.10
61,-43.90
62,-43.90
63,-43.90
64,-43.40
65,-43.20
66,-43.20
67,-43.10
68,-43.00
69,-43.00
70,-43.00
71,-42.80
72,-42.60
73,-42.40
74,-42.20
75,-42.20
76,-42.20
77,-42.10
78,-41.90
79,-41.70
80,-41.50
81,-41.50
82,-41.40
83,-41.40
84,-41.10
85,-41.10
86,-40.90
87,-40.80
88,-40.80
89,-40.70
90,-40.60
91,-40.50
92,-40.40
93,-40.30
94,-40.30
95,-40.20
96,-40.20
97,-40.10
98,-40.10
99,-39.90
100,-39.70
101,-39.70
102,-39.70
103,-39.60
104,-39.40
105,-39.40
106,-39.30
107,-39.30
108,-39.30
109,-39.20
110,-39.10
111,-39.00
112,-39.00
113,-38.90
114,-38.90
115,-38.90
116,-38.80
117,-38.80
118,-38.70
119,-38.70
120,-38.50
121,-38.40
122,-38.40
123,-38.40
124,-38.30
125,-38.20
126,-38.20
127,-38.20
128,-38.20
129,-38.10
130,-38.10
131,-38.10
132,-37.90
133,-37.90
134,-37.80
135,-37.80
136,-37.80
137,-37.80
138,-37.80
139,-37.70
140,-37.70
141,-37.50
142,-37.50
143,-37.40
144,-37.20
145,-37.10
146,-37.10
147,-37.10
148,-37.00
149,-36.90
150,-36.70
151,-36.70
152,-36.70
153,-36.60
154,-36.60
155,-36.60
156,-36.50
157,-36.50
158,-36.40
159,-36.40
160,-36.20
161,-36.10
162,-36.10
163,-36.10
164,-36.10
165,-35.80
166,-35.80
167,-35.60
168,-35.60
169,-35.60
170,-35.60
171,-35.50
172,-35.50
173,-35.50
174,-35.50
175,-35.50
176,-35.40
177,-35.30
178,-35.30
179,-35.20
180,-35.20
181,-35.20
182,-35.20
183,-35.10
184,-34.90
185,-34.90
186,-34.80
187,-34.80
188,-34.70
189,-34.70
190,-34.70
191,-34.60
192,-34.60
193,-34.50
194,-34.50
195,-34.50
196,-34.50
197,-34.50
198,-34.40
199,-34.40
200,-34.40
201,-34.30
202,-34.30
