cell,avg_entry,position_size_contracts,capital_per_fill,optimal_exit,avg_duration_h,median_duration_h,p90_duration_h,capital_hours_per_fill,daily_fires,daily_capital_hours
ATP_CHALL_leader_50-54,51.9,10,5.19,7,14.6,13.1,17.0,75.7,2.12,160.8
ATP_CHALL_leader_55-59,56.9,10,5.69,17,13.8,12.7,15.5,78.7,2.59,203.8
ATP_CHALL_leader_60-64,62.1,10,6.21,26,15.1,13.3,32.0,93.6,2.30,215.6
ATP_CHALL_leader_65-69,66.9,10,6.69,17,13.3,12.8,15.5,88.8,2.34,207.7
ATP_CHALL_leader_70-74,72.0,10,7.20,19,12.9,13.0,15.6,93.1,1.77,164.5
ATP_CHALL_leader_75-79,76.8,10,7.68,7,12.4,12.5,15.6,95.0,1.59,151.0
ATP_CHALL_leader_80-84,82.0,10,8.20,12,11.5,11.8,14.7,94.2,1.41,132.9
ATP_CHALL_leader_85-89,86.0,10,8.60,6,14.4,12.4,34.9,123.7,1.11,137.0
ATP_CHALL_underdog_10-14,11.9,10,1.19,35,13.2,11.5,16.6,15.7,0.68,10.6
ATP_CHALL_underdog_15-19,17.2,10,1.72,42,11.8,12.3,15.2,20.2,1.16,23.5
ATP_CHALL_underdog_20-24,22.2,10,2.22,65,11.9,12.5,14.8,26.4,1.25,33.0
ATP_CHALL_underdog_25-29,26.7,10,2.67,18,13.2,12.6,16.1,35.3,1.62,57.3
ATP_CHALL_underdog_35-39,36.9,10,3.69,33,14.1,12.9,17.2,52.0,2.36,122.5
ATP_CHALL_underdog_40-44,41.7,10,4.17,27,13.2,12.8,15.8,55.0,2.48,136.6
ATP_CHALL_underdog_45-49,46.8,10,4.68,48,14.8,13.0,19.2,69.2,2.39,165.7
ATP_MAIN_leader_50-54,51.7,10,5.17,40,27.6,20.9,54.1,142.7,0.77,109.6
ATP_MAIN_leader_60-64,61.7,10,6.17,26,33.4,29.3,55.2,206.2,0.55,114.2
ATP_MAIN_leader_70-74,72.3,10,7.23,16,33.5,27.8,54.7,242.0,1.07,259.3
ATP_MAIN_underdog_25-29,27.4,10,2.75,20,27.7,27.2,54.7,76.2,0.36,27.2
ATP_MAIN_underdog_30-34,31.5,10,3.15,8,33.2,29.9,51.0,104.5,0.64,67.2
ATP_MAIN_underdog_35-39,37.3,10,3.73,46,33.8,31.3,74.2,126.4,0.41,51.9
ATP_MAIN_underdog_40-44,42.0,10,4.20,4,31.3,27.7,54.3,131.3,0.66,86.7
ATP_MAIN_underdog_45-49,47.2,10,4.72,10,27.8,21.9,54.4,131.0,0.71,93.6
WTA_CHALL_leader_55-59,57.1,10,5.71,20,13.5,12.0,18.1,76.9,0.25,19.2
WTA_CHALL_underdog_40-44,41.9,10,4.19,53,12.0,11.3,13.8,50.3,0.29,14.4
WTA_MAIN_leader_50-54,51.5,10,5.15,16,26.1,24.6,40.0,134.6,0.77,103.4
WTA_MAIN_leader_60-64,62.1,10,6.21,18,27.4,24.7,47.7,170.4,0.36,60.8
WTA_MAIN_leader_65-69,66.6,10,6.66,27,25.6,24.4,44.4,170.3,0.46,79.1
WTA_MAIN_leader_70-74,71.5,10,7.15,23,23.8,19.0,49.7,169.9,0.30,51.6
WTA_MAIN_leader_80-84,81.3,10,8.13,17,22.8,19.2,46.1,185.7,0.16,29.9
WTA_MAIN_leader_85-89,86.0,10,8.60,14,19.4,19.4,25.2,166.9,0.14,23.8
WTA_MAIN_underdog_25-29,27.2,10,2.72,17,23.3,20.4,44.8,63.4,0.34,21.5
WTA_MAIN_underdog_30-34,31.7,10,3.17,8,22.0,20.5,31.6,69.8,0.32,22.4
WTA_MAIN_underdog_35-39,36.9,10,3.69,19,26.5,23.0,50.5,97.5,0.52,50.5
WTA_MAIN_underdog_45-49,47.0,10,4.70,15,24.0,21.7,43.0,112.6,0.52,58.3
