ticker,fill_price,posted_price,bot_cell_fv_derived,fill_price_cell,mismatch,direction_flip,exit_target_absolute,exit_based_on_fill_price,exit_cents_used,cell_exit_cents_config,exit_matches_fill,play_type,ts
KXATPMATCH-26APR26LEHMIC-MIC,31,31,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,NO,NO,46,31,15,15,YES,C_discount,2026-04-25 11:40:35 PM ET
KXATPMATCH-26APR26PRIETC-PRI,47,47,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,NO,NO,51,47,4,4,YES,C_discount,2026-04-25 11:50:44 PM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,58,58,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,NO,NO,63,58,5,20,NO,deadline_force_take,2026-04-26 12:14:08 AM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,44,44,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_40-44,YES,NO,57,44,13,13,YES,deadline_force_take,2026-04-26 12:14:09 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,91,91,ATP_CHALL_leader_85-89,ATP_CHALL_leader_90-94,YES,NO,98,91,7,7,YES,deadline_force_take,2026-04-26 12:14:09 AM ET
KXWTAMATCH-26APR25CIRGAU-CIR,19,19,WTA_MAIN_underdog_20-24,WTA_MAIN_underdog_15-19,YES,NO,41,19,,,,C_discount,2026-04-26 12:32:03 AM ET
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,31,31,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,NO,NO,46,31,,,,C_discount,2026-04-26 12:35:12 AM ET
KXWTAMATCH-26APR25CIRGAU-GAU,80,80,WTA_MAIN_leader_80-84,WTA_MAIN_leader_80-84,NO,NO,97,80,17,17,YES,C_discount,2026-04-26 12:43:51 AM ET
KXATPMATCH-26APR26NORTIR-TIR,43,43,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,NO,NO,52,43,,,,C_discount,2026-04-26 12:50:31 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,29,29,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,NO,NO,50,29,,,,C_discount,2026-04-26 01:00:45 AM ET
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,54,54,WTA_CHALL_leader_50-54,WTA_CHALL_leader_50-54,NO,NO,74,54,,,,C_discount,2026-04-26 01:09:15 AM ET
KXWTAMATCH-26APR25SIESON-SIE,40,40,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,NO,NO,45,40,,,,C_discount,2026-04-26 01:19:49 AM ET
