cell,avg_entry_price,cost_basis_per_fill,N,mean_return_pct,stddev_return_pct,SE_return_pct,ci_lower_pct,ci_upper_pct,daily_entries,daily_pct_return
ATP_CHALL_leader_50-54,51.9,5.19,119,-3.06,55.09,5.05,-12.96,6.84,2.12,-0.0651
ATP_CHALL_leader_55-59,56.9,5.69,145,2.10,57.49,4.77,-7.26,11.45,2.59,0.0543
ATP_CHALL_leader_60-64,62.1,6.21,129,6.73,19.25,1.70,3.41,10.05,2.30,0.1551
ATP_CHALL_leader_65-69,66.9,6.69,131,1.32,65.67,5.74,-9.92,12.57,2.34,0.0310
ATP_CHALL_leader_70-74,72.0,7.20,99,10.53,51.33,5.16,0.42,20.64,1.77,0.1862
ATP_CHALL_leader_75-79,76.8,7.68,89,0.47,35.30,3.74,-6.87,7.80,1.59,0.0074
ATP_CHALL_leader_80-84,82.0,8.20,79,0.49,42.04,4.73,-8.78,9.76,1.41,0.0070
ATP_CHALL_leader_85-89,86.0,8.60,62,-0.56,29.40,3.73,-7.88,6.76,1.11,-0.0062
ATP_CHALL_underdog_10-14,11.9,1.19,38,33.41,167.37,27.15,-19.81,86.62,0.68,0.2267
ATP_CHALL_underdog_15-19,17.2,1.72,65,24.98,135.31,16.78,-7.92,57.87,1.16,0.2899
ATP_CHALL_underdog_20-24,22.2,2.22,70,2.77,79.41,9.49,-15.84,21.37,1.25,0.0346
ATP_CHALL_underdog_25-29,26.7,2.67,91,1.98,91.37,9.58,-16.80,20.75,1.62,0.0321
ATP_CHALL_underdog_30-34,32.2,3.22,101,-7.44,69.56,6.92,-21.00,6.13,1.80,-0.1341
ATP_CHALL_underdog_35-39,36.9,3.69,132,-1.97,55.02,4.79,-11.35,7.42,2.36,-0.0464
ATP_CHALL_underdog_40-44,41.7,4.17,139,8.67,81.76,6.93,-4.92,22.26,2.48,0.2152
ATP_CHALL_underdog_45-49,46.8,4.68,134,-5.10,55.27,4.77,-14.46,4.26,2.39,-0.1220
ATP_MAIN_leader_50-54,51.7,5.17,43,-7.61,52.60,8.02,-23.33,8.11,0.77,-0.0584
ATP_MAIN_leader_60-64,61.7,6.17,31,0.68,48.22,8.66,-16.29,17.65,0.55,0.0038
ATP_MAIN_leader_70-74,72.3,7.23,60,1.36,46.77,6.04,-10.48,13.20,1.07,0.0146
ATP_MAIN_underdog_30-34,31.5,3.15,36,-0.53,68.08,11.35,-22.77,21.71,0.64,-0.0034
ATP_MAIN_underdog_40-44,42.0,4.20,37,-4.44,49.31,8.11,-20.33,11.45,0.66,-0.0294
ATP_MAIN_underdog_45-49,47.2,4.72,40,-2.12,31.81,5.03,-11.98,7.74,0.71,-0.0151
WTA_MAIN_leader_50-54,51.5,5.15,43,5.87,37.36,5.70,-5.30,17.04,0.77,0.0451
WTA_MAIN_leader_55-59,56.8,5.68,31,-8.80,54.62,9.81,-28.02,10.43,0.55,-0.0487
