cell,N_late,mean_bias_first_vs_late_mid,stddev,median,pct_within_3c,pct_within_5c,N_T2h,mean_bias_first_vs_T2h,stddev_T2h
ATP_CHALL_leader_50-54,74,-0.4,30.8,0.0,11,11,8,-5.6,10.7
ATP_CHALL_leader_55-59,109,-0.8,29.9,-10.3,12,13,13,1.8,5.9
ATP_CHALL_leader_60-64,97,-4.5,26.9,-15.9,9,10,9,3.6,10.3
ATP_CHALL_leader_65-69,89,-10.6,19.2,-16.1,10,11,6,-4.6,11.2
ATP_CHALL_leader_70-74,89,-4.8,20.0,-13.0,11,12,8,6.2,23.0
ATP_CHALL_leader_75-79,67,-5.5,17.0,-10.9,10,18,6,-3.6,10.1
ATP_CHALL_leader_80-84,59,-2.5,16.2,-6.9,12,25,6,-2.1,2.7
ATP_CHALL_leader_85-89,41,-3.5,6.4,-6.1,22,37,11,-4.3,3.2
ATP_CHALL_underdog_10-14,42,2.8,5.8,4.1,26,57,8,1.7,2.3
ATP_CHALL_underdog_15-19,60,4.0,13.1,7.9,10,23,4,0.6,2.0
ATP_CHALL_underdog_20-24,53,4.4,20.0,10.8,11,13,4,5.1,6.2
ATP_CHALL_underdog_25-29,77,9.0,14.6,13.1,12,14,8,-6.3,23.8
ATP_CHALL_underdog_30-34,96,8.4,22.8,18.0,10,12,8,4.0,9.6
ATP_CHALL_underdog_35-39,93,7.8,24.6,19.7,9,11,9,-2.3,11.1
ATP_CHALL_underdog_40-44,99,0.3,29.6,1.3,14,15,16,2.2,12.0
ATP_CHALL_underdog_45-49,91,-3.1,31.8,-0.5,10,10,11,-5.5,21.0
ATP_MAIN_leader_50-54,33,-1.7,28.6,0.0,12,12,2,0.8,0.8
ATP_MAIN_leader_55-59,44,-2.7,27.2,-11.1,14,16,3,0.5,1.1
ATP_MAIN_leader_60-64,46,-3.4,23.0,-6.0,13,20,5,0.6,2.6
ATP_MAIN_leader_70-74,43,-2.7,22.9,-11.6,9,9,3,-2.0,2.5
ATP_MAIN_leader_75-79,20,-1.0,14.5,-1.8,30,30,4,-0.2,1.8
ATP_MAIN_underdog_20-24,17,3.8,15.0,10.7,12,18,1,0.0,0.0
ATP_MAIN_underdog_25-29,38,6.6,16.7,12.6,11,21,4,1.4,2.8
ATP_MAIN_underdog_30-34,43,-9.2,30.7,0.0,12,16,4,2.0,4.6
ATP_MAIN_underdog_35-39,38,-1.7,25.8,4.4,11,16,6,-4.5,8.1
ATP_MAIN_underdog_40-44,50,3.5,24.6,5.2,18,26,3,-0.3,0.5
ATP_MAIN_underdog_45-49,34,-5.0,30.2,-9.1,6,6,2,-0.8,0.8
WTA_CHALL_leader_55-59,16,-6.7,29.2,-24.3,12,12,2,-0.8,0.2
WTA_CHALL_underdog_40-44,16,3.7,29.3,22.4,6,6,1,2.0,0.0
WTA_MAIN_leader_50-54,36,-2.2,27.7,-1.0,11,17,4,3.5,3.4
WTA_MAIN_leader_55-59,27,1.6,33.0,-19.8,0,0,0,0.0,0.0
WTA_MAIN_leader_60-64,26,-4.9,27.1,-14.9,12,15,4,-2.8,8.4
WTA_MAIN_leader_65-69,33,-4.6,24.9,-13.2,21,24,8,-2.9,9.2
WTA_MAIN_leader_70-74,31,-2.1,20.4,-10.4,16,19,3,0.2,0.6
WTA_MAIN_leader_80-84,17,-5.8,5.0,-6.2,29,47,4,-1.1,1.8
WTA_MAIN_leader_85-89,18,-2.8,4.7,-2.9,44,61,2,-1.8,0.8
WTA_MAIN_underdog_15-19,21,4.5,5.7,5.6,33,43,3,1.8,1.6
WTA_MAIN_underdog_20-24,28,5.3,12.9,9.2,11,25,6,1.8,4.1
WTA_MAIN_underdog_25-29,29,5.6,16.7,11.9,10,21,4,0.6,1.4
WTA_MAIN_underdog_30-34,26,2.6,26.3,12.6,19,19,5,-0.4,1.3
WTA_MAIN_underdog_35-39,27,2.7,23.8,13.0,11,15,6,0.7,7.4
WTA_MAIN_underdog_40-44,29,4.0,31.3,23.1,3,7,1,-8.5,0.0
WTA_MAIN_underdog_45-49,24,3.4,27.7,3.9,12,17,4,-0.9,3.6
