ticker,cell,side,fill_price,fill_ts,bid_at_fill,ask_at_fill,spread_at_fill,mid_at_fill,mid_30min_before,price_change_30min,direction_30min,oscillation_range,n_window_snaps,paired
KXATPMATCH-26APR24CERHAN-CER,ATP_MAIN_leader_70-74,leader,71,2026-04-25 02:59:35 AM ET,70,72,2,71.0,71.5,0.0,FLAT,0.0,6,True
KXWTAMATCH-26APR25FERJOV-FER,WTA_MAIN_underdog_35-39,underdog,39,2026-04-25 03:16:14 AM ET,39,40,1,39.5,39.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR24HUMATM-HUM,ATP_MAIN_underdog_40-44,underdog,44,2026-04-25 04:09:45 AM ET,43,45,2,44.0,44.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR24NAKBLO-NAK,ATP_MAIN_underdog_40-44,underdog,41,2026-04-25 04:55:08 AM ET,40,41,1,40.5,41.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR25CERDAR-CER,ATP_MAIN_underdog_35-39,underdog,40,2026-04-25 05:39:16 AM ET,40,41,1,40.5,40.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR24GAUAUG-GAU,ATP_MAIN_underdog_20-24,underdog,23,2026-04-25 05:59:56 AM ET,22,23,1,22.5,23.5,0.0,FLAT,0.0,6,False
KXWTAMATCH-26APR25BAPPAO-BAP,WTA_MAIN_underdog_40-44,underdog,41,2026-04-25 08:54:29 AM ET,41,42,1,41.5,41.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR24BUBTSI-TSI,ATP_MAIN_underdog_35-39,underdog,37,2026-04-25 11:36:39 AM ET,36,38,2,37.0,37.5,0.0,OSCILLATING,0.5,6,False
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,ATP_CHALL_leader_70-74,leader,70,2026-04-25 12:20:23 PM ET,70,71,1,70.5,70.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,ATP_CHALL_leader_65-69,leader,65,2026-04-25 12:48:05 PM ET,63,66,3,64.5,65.5,0.0,FLAT,0.0,6,False
KXWTAMATCH-26APR25KALOSA-OSA,WTA_MAIN_leader_60-64,leader,58,2026-04-25 01:01:33 PM ET,58,59,1,58.5,58.5,0.0,OSCILLATING,0.5,6,False
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,ATP_CHALL_underdog_35-39,underdog,39,2026-04-25 07:35:13 PM ET,39,40,1,39.5,39.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,ATP_CHALL_underdog_30-34,underdog,30,2026-04-25 09:33:34 PM ET,30,31,1,30.5,30.0,0.5,TRENDING_UP,0.5,6,True
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,ATP_CHALL_leader_70-74,leader,72,2026-04-25 09:44:56 PM ET,71,73,2,72.0,70.5,1.5,TRENDING_UP,1.5,6,True
KXATPMATCH-26APR26PRIETC-ETC,ATP_MAIN_leader_50-54,leader,53,2026-04-25 09:57:21 PM ET,52,53,1,52.5,53.5,0.0,FLAT,0.0,6,True
KXATPMATCH-26APR26LEHMIC-LEH,ATP_MAIN_leader_70-74,leader,69,2026-04-25 11:15:46 PM ET,69,70,1,69.5,69.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,ATP_CHALL_underdog_10-14,underdog,10,2026-04-25 11:20:17 PM ET,10,11,1,10.5,10.5,0.0,FLAT,0.0,6,False
KXWTAMATCH-26APR26PEGKOS-PEG,WTA_MAIN_leader_55-59,leader,58,2026-04-25 11:21:58 PM ET,58,59,1,58.5,58.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,ATP_CHALL_underdog_10-14,underdog,10,2026-04-25 11:33:06 PM ET,10,11,1,10.5,9.0,0.5,TRENDING_UP,0.5,6,True
KXATPMATCH-26APR26LEHMIC-MIC,ATP_MAIN_underdog_30-34,underdog,31,2026-04-25 11:40:35 PM ET,31,32,1,31.5,31.0,0.5,TRENDING_UP,0.5,6,True
KXATPMATCH-26APR26PRIETC-PRI,ATP_MAIN_underdog_45-49,underdog,47,2026-04-25 11:50:44 PM ET,47,48,1,47.5,47.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,ATP_CHALL_leader_55-59,leader,58,2026-04-26 12:14:08 AM ET,56,58,2,57.0,56.5,0.5,TRENDING_UP,0.5,6,True
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,ATP_CHALL_underdog_45-49,underdog,44,2026-04-26 12:14:09 AM ET,42,44,2,43.0,42.5,0.5,OSCILLATING,1.0,6,True
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,ATP_CHALL_leader_85-89,leader,91,2026-04-26 12:14:09 AM ET,86,92,6,89.0,92.5,-3.5,TRENDING_DOWN,3.5,6,True
KXWTAMATCH-26APR25CIRGAU-CIR,WTA_MAIN_underdog_20-24,underdog,19,2026-04-26 12:32:03 AM ET,19,21,2,20.0,20.0,0.0,FLAT,0.0,5,True
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,ATP_CHALL_underdog_30-34,underdog,31,2026-04-26 12:35:12 AM ET,31,32,1,31.5,31.5,0.0,FLAT,0.0,4,False
KXWTAMATCH-26APR25CIRGAU-GAU,WTA_MAIN_leader_80-84,leader,80,2026-04-26 12:43:51 AM ET,80,81,1,80.5,80.5,0.0,FLAT,0.0,5,True
KXATPMATCH-26APR26NORTIR-TIR,ATP_MAIN_underdog_40-44,underdog,43,2026-04-26 12:50:31 AM ET,43,44,1,43.5,43.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,ATP_CHALL_underdog_25-29,underdog,29,2026-04-26 01:00:45 AM ET,29,30,1,29.5,29.5,0.0,FLAT,0.0,5,True
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,WTA_CHALL_leader_50-54,leader,54,2026-04-26 01:09:15 AM ET,53,54,1,53.5,54.5,0.0,FLAT,0.0,5,False
KXWTAMATCH-26APR25SIESON-SIE,WTA_MAIN_underdog_40-44,underdog,40,2026-04-26 01:19:49 AM ET,39,40,1,39.5,40.5,0.0,FLAT,0.0,5,True
KXWTAMATCH-26APR25SIESON-SON,WTA_MAIN_leader_55-59,leader,59,2026-04-26 01:21:17 AM ET,59,60,1,59.5,59.5,0.0,FLAT,0.0,4,True
KXWTAMATCH-26APR25MERPLI-MER,WTA_MAIN_leader_65-69,leader,68,2026-04-26 01:35:00 AM ET,67,68,1,67.5,68.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,ATP_CHALL_leader_80-84,leader,80,2026-04-26 01:41:34 AM ET,77,79,2,78.0,75.0,5.0,TRENDING_UP,5.0,5,True
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,ATP_CHALL_underdog_20-24,underdog,21,2026-04-26 02:08:11 AM ET,21,22,1,21.5,21.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR26GRIMUS-GRI,ATP_MAIN_underdog_20-24,underdog,20,2026-04-26 02:30:57 AM ET,19,20,1,19.5,20.5,0.0,FLAT,0.0,5,False
KXWTAMATCH-26APR26PEGKOS-KOS,WTA_MAIN_underdog_40-44,underdog,42,2026-04-26 02:37:23 AM ET,41,42,1,41.5,42.5,0.0,FLAT,0.0,4,True
KXATPMATCH-26APR26KOPRIN-RIN,ATP_MAIN_leader_55-59,leader,59,2026-04-26 02:42:06 AM ET,58,59,1,58.5,58.5,0.0,FLAT,0.0,5,True
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,WTA_CHALL_leader_60-64,leader,62,2026-04-26 03:16:38 AM ET,61,62,1,61.5,62.5,0.0,FLAT,0.0,5,False
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,WTA_CHALL_leader_60-64,leader,61,2026-04-26 03:32:13 AM ET,61,62,1,61.5,61.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,ATP_CHALL_underdog_25-29,underdog,25,2026-04-26 03:42:07 AM ET,23,26,3,24.5,25.0,0.5,OSCILLATING,1.0,5,False
KXWTAMATCH-26APR25NOSSAM-SAM,WTA_MAIN_underdog_35-39,underdog,39,2026-04-26 04:09:50 AM ET,39,40,1,39.5,38.0,1.0,TRENDING_UP,1.0,6,True
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,ATP_CHALL_underdog_45-49,underdog,49,2026-04-26 04:10:36 AM ET,49,50,1,49.5,49.5,0.0,FLAT,0.0,6,False
KXWTAMATCH-26APR26SINMCC-MCC,WTA_MAIN_leader_55-59,leader,56,2026-04-26 04:36:42 AM ET,56,57,1,56.5,56.5,0.0,FLAT,0.0,6,False
