ts_epoch,exchange_ts,price_cents,size,trade_id,taker_side
1783821418,2026-07-12T01:56:58.020673Z,42,14.49,775ad299-879d-6c3e-3073-c0db5720bca0,no
1783821418,2026-07-12T01:56:58.020673Z,42,19.0,3d7fd5bc-8df1-6db1-3a56-2ba3b7c76e93,no
1783821426,2026-07-12T01:57:06.819737Z,44,12.5,c5c79443-7574-7493-1744-017101650853,yes
1783826924,2026-07-12T03:28:44.497381Z,43,27.0,c2fa33ff-7b79-57b0-c6e3-9e2004b5a7c9,yes
1783826924,2026-07-12T03:28:44.497381Z,43,28.9,7e215180-c0ca-5d89-df65-13887041ef9d,yes
1783828624,2026-07-12T03:57:04.115580Z,43,55.0,945cd857-f908-50fd-5d64-4c11d05d747b,yes
1783828658,2026-07-12T03:57:38.921335Z,44,160.0,957fdce5-9ee1-7676-a37a-82ef8f1ca934,yes
1783829653,2026-07-12T04:14:13.087488Z,44,10.93,edf8d809-eb87-638d-487a-378873bd32fc,yes
1783831575,2026-07-12T04:46:15.690404Z,43,1.0,5b905db8-99dc-65bf-dbb2-b6cb80bf8e72,yes
1783831639,2026-07-12T04:47:19.834035Z,43,11.0,a2a2aa89-ddf4-7853-d33a-b4276daf9e9a,yes
1783832389,2026-07-12T04:59:49.221040Z,43,1.0,b4376165-d284-7427-2362-42ec3420bbb6,yes
1783832652,2026-07-12T05:04:12.391395Z,43,14.0,826d0427-6508-672b-7e49-7f3dd3d61b2e,yes
1783836312,2026-07-12T06:05:12.332315Z,43,10.05,fcc9768a-f33d-5af2-5d4e-116cdeb4d9df,yes
1783836312,2026-07-12T06:05:12.332315Z,43,7.0,d3ccd2f1-9124-54e7-5759-db692d87bc7e,yes
1783837199,2026-07-12T06:19:59.865685Z,43,19.05,e197185a-b879-63c0-486b-ad8de8d4d3b0,yes
1783837199,2026-07-12T06:19:59.865685Z,43,54.0,84bf87c0-d4e2-61f2-4e9e-34b10a11bc0b,yes
1783837199,2026-07-12T06:19:59.865685Z,43,250.95,05d3f889-4339-68c2-6b4f-b44337fec35f,yes
1783838115,2026-07-12T06:35:15.277443Z,43,5.0,44aa8a92-36a1-7920-9c16-4709ff03b328,yes
1783839551,2026-07-12T06:59:11.183046Z,42,323.58,eab7359b-4e3e-6c9c-9a3b-1fa732232a35,no
1783839551,2026-07-12T06:59:11.183046Z,42,0.42,64a8d489-8f4a-602c-91bf-9bcd912746f8,no
1783845162,2026-07-12T08:32:42.075404Z,43,111.0,cc9d8063-7501-4b98-2bfb-a158a01495dc,yes
1783845693,2026-07-12T08:41:33.540390Z,44,600.56,e3eaa43e-796f-403e-a7e4-8499b085df13,yes
1783845693,2026-07-12T08:41:33.540390Z,44,50.0,dffa8c21-e2b0-49fb-8580-ab63525ed10a,yes
1783845693,2026-07-12T08:41:33.540390Z,44,406.0,b5e885f5-bbf6-44dc-958d-57f53c9bed03,yes
1783845693,2026-07-12T08:41:33.540390Z,43,76.0,5bb0243a-9d10-4f09-8645-efa4418b0686,yes
1783845693,2026-07-12T08:41:33.540390Z,44,400.0,4d9daf0a-5e79-4e0c-aff3-0f9b3370a70c,yes
1783860271,2026-07-12T12:44:31.512502Z,43,49.0,e0d354c7-a293-77a9-6ea3-2d079a1c5a13,yes
1783860271,2026-07-12T12:44:31.512502Z,43,62.81,20f0ae39-2947-7018-442c-ab410cb593dd,yes
1783860513,2026-07-12T12:48:33.536412Z,43,111.81,f8881bad-0727-5100-fb66-c91f03735e21,yes
1783861533,2026-07-12T13:05:33.428398Z,43,314.0,d315fb7a-26ea-57af-ed9e-136dc4cf1ce3,yes
1783861533,2026-07-12T13:05:33.428398Z,43,108.14,ba347145-376d-5d94-c748-f52888c2abfb,yes
1783861533,2026-07-12T13:05:33.428398Z,43,825.38,5c77a633-5e3b-50f4-f36a-6437d4d490e1,yes
1783861845,2026-07-12T13:10:45.579534Z,43,111.0,605d980a-c818-6bca-d683-2916dd4533b7,yes
1783861900,2026-07-12T13:11:40.732393Z,43,666.0,15e89d1d-d464-4482-c65d-1891d8580b63,yes
1783862437,2026-07-12T13:20:37.756215Z,43,2352.64,6fcc4e20-d6e8-6136-f205-ac5fa33d8a37,yes
1783862803,2026-07-12T13:26:43.186531Z,43,24.0,a46d74fa-715c-4111-f987-eada5af9dff2,yes
1783862803,2026-07-12T13:26:43.186531Z,43,2198.2,7844bf5f-f160-47ec-da63-e2088969a0a1,yes
1783863206,2026-07-12T13:33:26.789439Z,43,17.89,b00b5d6f-2c20-7803-5322-c9a64d0587fa,yes
1783863206,2026-07-12T13:33:26.357781Z,42,80.0,c07a4a81-a24b-7796-163f-bd766e164ab2,no
1783863206,2026-07-12T13:33:26.357781Z,41,23.0,bf8589db-5cc7-71da-0e1a-bd440637064e,no
1783863206,2026-07-12T13:33:26.357781Z,40,18.07,af1a639d-94e5-7280-28d2-95072f0e0462,no
1783863206,2026-07-12T13:33:26.357781Z,42,20.0,943b69d2-e071-79c7-3e47-eff2e085c652,no
1783863206,2026-07-12T13:33:26.357781Z,41,25.0,1d072ca5-df05-788d-219d-22187ed37f02,no
1783863213,2026-07-12T13:33:33.096909Z,39,1.0,319fa6b9-0a5d-601a-c9af-c8649c9de9fb,no
1783863218,2026-07-12T13:33:38.680026Z,39,1.42,a61808cf-c41a-612b-b225-18ef98d6df13,yes
1783863243,2026-07-12T13:34:03.786880Z,39,60.0,9062c38f-b56f-57e6-817c-52927fe3230c,yes
1783863252,2026-07-12T13:34:12.014896Z,40,37.0,edf02187-bc25-5534-e1f0-b7ed7cfb3d87,yes
1783863252,2026-07-12T13:34:12.014896Z,40,20.0,899d0907-39dd-5b7f-d61f-ee26b4aae1ec,yes
1783863333,2026-07-12T13:35:33.314831Z,41,93.0,be6b8296-f7b8-6fa9-4fb3-cb04b0c1e99a,yes
1783863344,2026-07-12T13:35:44.204040Z,40,35.0,9ee4c917-b7e9-4792-8c93-7b2a54910fc5,no
1783863365,2026-07-12T13:36:05.706262Z,41,11.71,4f47c851-5148-4589-ea81-ae0da1434e62,yes
1783863380,2026-07-12T13:36:20.521347Z,40,23.0,f6f6c336-0299-6c69-47a2-a47f050cab78,no
1783863506,2026-07-12T13:38:26.728704Z,45,24.0,06635992-55a7-64ca-c41b-b8ac742e7a9c,yes
1783863519,2026-07-12T13:38:39.727298Z,47,4.0,ba7b1026-e04d-5ffb-5584-e89f15236c42,yes
1783863520,2026-07-12T13:38:40.620746Z,47,82.0,0ce3ddd0-90ad-4caf-1a36-bf5a8e9f503e,yes
1783863587,2026-07-12T13:39:47.336223Z,50,19.0,7b2b0bdd-8dc4-45b6-b8d9-2305dd823c01,yes
1783863605,2026-07-12T13:40:05.905350Z,50,3.0,709df880-f218-56ba-80b9-6e99962e32cd,yes
1783863613,2026-07-12T13:40:13.843802Z,48,384.0,af8da2cb-7335-7bbf-3cc5-09f86bbb7a80,yes
