ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz,bid_depth_5,ask_depth_5
1783818706,2026-07-11 09:11:46 PM,55,535.0,59,438.0,8151.0,8057.0
1783818946,2026-07-11 09:15:46 PM,55,535.0,59,2760.0,10278.0,3922.0
1783818963,2026-07-11 09:16:03 PM,55,715.0,58,445.0,4309.0,4366.0
1783818963,2026-07-11 09:16:03 PM,55,715.0,59,2760.0,4309.0,3922.0
1783818992,2026-07-11 09:16:32 PM,55,815.0,58,445.0,4414.0,8654.0
1783818992,2026-07-11 09:16:32 PM,55,915.0,58,445.0,4514.0,8654.0
1783818992,2026-07-11 09:16:32 PM,55,1015.0,58,445.0,4614.0,8654.0
1783818992,2026-07-11 09:16:32 PM,55,1115.0,58,445.0,4714.0,8659.0
1783818993,2026-07-11 09:16:33 PM,55,1173.0,58,445.0,4772.0,8659.0
1783819907,2026-07-11 09:31:47 PM,55,1354.0,58,445.0,4609.0,6601.0
1783820288,2026-07-11 09:38:08 PM,55,1355.0,58,445.0,4610.0,6782.0
1783820661,2026-07-11 09:44:21 PM,55,1359.0,58,445.0,5262.0,8733.0
1783821026,2026-07-11 09:50:26 PM,55,1361.0,58,445.0,5269.0,8738.0
1783821409,2026-07-11 09:56:49 PM,55,1366.0,58,445.0,5274.0,8741.0
1783821410,2026-07-11 09:56:50 PM,55,1366.0,58,412.0,5274.0,8713.0
1783821418,2026-07-11 09:56:58 PM,55,1366.0,58,397.0,5274.0,8698.0
1783822157,2026-07-11 10:09:17 PM,55,1416.0,58,397.0,5324.0,8698.0
1783822215,2026-07-11 10:10:15 PM,55,1419.0,58,397.0,5406.0,8790.0
1783822576,2026-07-11 10:16:16 PM,55,1411.0,58,397.0,5393.0,8780.0
1783822576,2026-07-11 10:16:16 PM,55,1414.0,58,397.0,5396.0,8788.0
1783822989,2026-07-11 10:23:09 PM,55,1416.0,58,397.0,5398.0,8780.0
1783823732,2026-07-11 10:35:32 PM,55,1416.0,58,385.0,5398.0,8773.0
1783823762,2026-07-11 10:36:02 PM,55,1411.0,58,385.0,5393.0,8768.0
