ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz,bid_depth_5,ask_depth_5
1783818706,2026-07-11 09:11:46 PM,41,573.0,45,628.0,8676.0,8182.0
1783818740,2026-07-11 09:12:20 PM,42,19.0,45,628.0,8210.0,1126.0
1783818963,2026-07-11 09:16:03 PM,42,130.0,45,628.0,4864.0,3608.0
1783818964,2026-07-11 09:16:04 PM,42,130.0,45,1348.0,4989.0,4328.0
1783818992,2026-07-11 09:16:32 PM,42,130.0,45,1448.0,5435.0,7625.0
1783818992,2026-07-11 09:16:32 PM,42,130.0,45,1548.0,5435.0,7725.0
1783818992,2026-07-11 09:16:32 PM,42,130.0,45,1648.0,5435.0,7825.0
1783818992,2026-07-11 09:16:32 PM,42,130.0,45,1748.0,5435.0,7925.0
1783818992,2026-07-11 09:16:32 PM,42,130.0,45,1806.0,5435.0,7983.0
1783819907,2026-07-11 09:31:47 PM,42,130.0,45,1987.0,4992.0,6786.0
1783820288,2026-07-11 09:38:08 PM,42,130.0,45,1988.0,4992.0,6787.0
1783820660,2026-07-11 09:44:20 PM,42,130.0,45,1992.0,5643.0,8737.0
1783821026,2026-07-11 09:50:26 PM,42,130.0,45,1994.0,5643.0,8741.0
1783821408,2026-07-11 09:56:48 PM,42,130.0,45,1999.0,5643.0,8746.0
1783821410,2026-07-11 09:56:50 PM,42,97.0,44,26.0,5610.0,7767.0
1783821410,2026-07-11 09:56:50 PM,42,97.0,45,1999.0,5610.0,8746.0
1783821418,2026-07-11 09:56:58 PM,42,64.0,44,26.0,5577.0,7767.0
1783821418,2026-07-11 09:56:58 PM,42,78.0,44,26.0,5591.0,7767.0
1783821426,2026-07-11 09:57:06 PM,42,64.0,44,14.0,5577.0,7755.0
1783821788,2026-07-11 10:03:08 PM,42,64.0,44,114.0,5577.0,7385.0
1783821788,2026-07-11 10:03:08 PM,42,64.0,44,163.0,5577.0,7439.0
1783822080,2026-07-11 10:08:00 PM,42,64.0,43,27.0,5577.0,6322.0
1783822080,2026-07-11 10:08:00 PM,42,64.0,44,973.0,5577.0,8249.0
1783822080,2026-07-11 10:08:00 PM,42,64.0,44,986.0,5577.0,8262.0
1783822157,2026-07-11 10:09:17 PM,42,64.0,43,27.0,5339.0,6322.0
1783826872,2026-07-11 11:27:52 PM,42,64.0,43,427.0,5354.0,11500.0
1783826924,2026-07-11 11:28:44 PM,42,64.0,43,372.0,5354.0,11445.0
1783826924,2026-07-11 11:28:44 PM,42,64.0,43,400.0,5354.0,11473.0
1783826924,2026-07-11 11:28:44 PM,42,91.0,43,372.0,4981.0,11445.0
1783826924,2026-07-11 11:28:44 PM,42,491.0,43,1.0,5381.0,11074.0
1783826924,2026-07-11 11:28:44 PM,42,491.0,43,372.0,5381.0,11445.0
1783826925,2026-07-11 11:28:45 PM,42,491.0,43,1.0,5381.0,11425.0
1783828520,2026-07-11 11:55:20 PM,42,468.0,43,1.0,4958.0,11359.0
1783828520,2026-07-11 11:55:20 PM,42,468.0,43,56.0,4958.0,11414.0
1783828550,2026-07-11 11:55:50 PM,42,441.0,43,56.0,4931.0,11380.0
1783828624,2026-07-11 11:57:04 PM,42,441.0,43,1.0,4931.0,11325.0
1783828624,2026-07-11 11:57:04 PM,42,497.0,43,1.0,4987.0,11325.0
1783828782,2026-07-11 11:59:42 PM,42,525.0,43,1.0,5015.0,10617.0
1783828800,2026-07-12 12:00:00 AM,42,125.0,43,1.0,4615.0,6072.0
1783828800,2026-07-12 12:00:00 AM,42,525.0,43,1.0,5015.0,6072.0
1783828800,2026-07-12 12:00:00 AM,43,400.0,43,1.0,4807.0,5672.0
1783828829,2026-07-12 12:00:29 AM,42,2125.0,43,1.0,7615.0,16138.0
1783828829,2026-07-12 12:00:29 AM,42,2525.0,43,1.0,8015.0,15738.0
1783828829,2026-07-12 12:00:29 AM,43,400.0,43,1.0,6807.0,6088.0
1783828831,2026-07-12 12:00:31 AM,42,2125.0,43,1.0,7615.0,16088.0
1783828831,2026-07-12 12:00:31 AM,42,2525.0,43,1.0,8015.0,16088.0
1783828831,2026-07-12 12:00:31 AM,43,400.0,43,1.0,7807.0,15688.0
1783828833,2026-07-12 12:00:33 AM,42,2125.0,43,1.0,7615.0,24633.0
1783828833,2026-07-12 12:00:33 AM,42,2525.0,43,1.0,8015.0,22233.0
1783828833,2026-07-12 12:00:33 AM,43,400.0,43,1.0,7807.0,20633.0
1783828836,2026-07-12 12:00:36 AM,42,2525.0,43,1.0,8015.0,16633.0
1783828894,2026-07-12 12:01:34 AM,42,2497.0,43,1.0,7987.0,18536.0
