cell_id,band_id,band_x,per_cell_x,per_cell_n,per_cell_pnl
5,0,7,10,30,13.2
6,0,7,58,41,23.6
7,0,7,25,46,15.8
8,0,7,7,43,7.7
9,1,64,64,32,10.4
10,2,27,27,47,29.7
11,2,27,29,30,20.7
12,3,78,78,52,67.4
13,4,49,67,51,17.8
14,4,49,49,54,78.6
15,5,41,41,47,49.7
16,6,14,14,48,17.9
17,7,37,37,49,70.0
18,8,72,72,58,61.6
19,9,HOLD,HOLD,49,29.4
20,10,32,32,43,45.8
21,11,21,23,44,10.9
22,11,21,21,52,25.2
23,12,46,46,54,30.8
24,13,50,50,57,36.8
25,14,24,24,52,24.0
26,15,21,21,49,10.9
27,16,59,59,52,51.8
28,17,18,18,55,9.0
29,18,66,60,48,50.4
30,18,66,66,69,37.7
31,19,17,17,80,27.9
32,20,8,2,74,-5.0
33,20,8,8,73,-1.6
34,21,49,49,62,57.8
35,22,8,8,82,19.4
36,23,43,60,58,6.0
37,23,43,43,65,26.7
38,24,10,10,77,6.5
39,24,10,12,74,3.8
40,25,59,59,74,54.4
41,26,35,35,73,38.0
42,27,52,52,56,30.8
43,28,55,HOLD,62,23.8
44,28,55,55,61,70.9
45,28,55,22,71,37.4
46,28,55,29,63,49.5
47,28,55,42,70,65.2
48,29,47,47,64,47.0
49,30,18,18,52,1.2
50,31,15,15,60,19.6
51,32,33,33,52,13.9
52,32,33,26,53,22.3
53,33,HOLD,HOLD,60,11.4
54,34,1,1,62,-10.0
55,35,12,12,75,17.4
56,35,12,13,71,17.5
57,35,12,12,75,22.0
58,36,23,23,69,30.7
59,37,18,18,79,20.6
60,38,3,5,72,-8.8
61,38,3,3,87,-18.0
62,39,29,29,79,58.1
63,40,12,12,93,8.0
64,41,1,1,72,-5.6
65,41,1,1,85,-17.5
66,42,33,33,86,117.2
67,43,12,12,87,18.6
68,44,30,30,87,8.8
69,45,25,25,81,35.1
70,46,HOLD,HOLD,74,106.8
71,47,27,27,68,18.7
72,48,1,1,79,-6.5
73,49,12,12,61,48.0
74,50,HOLD,HOLD,61,44.7
75,51,14,14,65,-14.6
76,52,HOLD,HOLD,45,64.3
77,52,HOLD,21,67,63.1
78,53,19,19,63,33.3
79,54,5,5,48,-0.9
80,55,16,16,52,-2.3
81,56,5,1,54,-18.9
82,56,5,12,44,-3.0
83,56,5,5,50,-18.5
84,56,5,7,37,7.9
85,57,HOLD,HOLD,58,-16.8
86,58,4,4,43,-18.4
87,59,12,12,53,-5.0
88,60,1,1,46,-13.0
89,60,1,1,48,-13.0
90,60,1,1,44,-4.6
91,60,1,3,38,11.4
92,60,1,4,29,2.1
93,60,1,6,37,2.6
94,60,1,1,34,-6.0
