cell_id,band_id,band_x,per_cell_x,per_cell_n,per_cell_pnl
5,0,74,74,19,23.6
6,0,74,HOLD,22,28.2
7,1,29,27,19,18.3
8,1,29,29,27,17.1
9,2,15,15,26,13.7
10,3,79,79,27,28.5
11,4,7,7,21,9.6
12,5,HOLD,HOLD,24,32.4
13,5,HOLD,36,39,15.6
14,6,46,46,31,6.9
15,6,46,84,39,14.0
16,6,46,47,20,7.2
17,7,81,81,35,60.4
18,7,81,81,19,16.7
19,7,81,37,38,41.6
20,8,32,32,41,39.4
21,9,43,43,39,29.1
22,9,43,46,42,59.2
23,10,35,35,40,-8.2
24,11,54,54,45,12.0
25,12,16,16,42,39.2
26,13,HOLD,HOLD,41,24.9
27,13,HOLD,HOLD,39,35.8
28,14,45,45,36,46.8
29,15,53,53,46,49.4
30,16,69,69,34,38.6
31,17,17,17,54,40.1
32,18,32,32,54,40.5
33,19,HOLD,HOLD,36,31.8
34,19,HOLD,14,39,26.4
35,19,HOLD,HOLD,38,66.8
36,20,1,3,53,4.5
37,20,1,1,44,-3.0
38,21,37,37,54,17.2
39,21,37,23,45,5.9
40,22,59,59,52,22.6
41,23,36,36,50,35.6
42,24,57,57,46,36.8
43,25,53,53,54,1.2
44,25,53,HOLD,41,19.7
45,26,43,43,50,32.3
46,27,HOLD,HOLD,48,19.2
47,28,49,50,47,23.8
48,28,49,45,53,36.1
49,28,49,49,56,80.5
50,29,45,45,47,-4.3
51,29,45,46,50,9.4
52,30,32,34,50,17.0
53,30,32,32,51,-13.2
54,31,11,11,50,-9.0
55,32,29,29,48,39.6
56,33,4,4,46,6.6
57,34,31,31,58,23.2
58,35,37,37,53,17.9
59,36,4,4,58,-1.6
60,37,38,HOLD,61,41.9
61,37,38,38,46,27.8
62,38,35,35,58,30.4
63,38,35,36,46,18.6
64,38,35,31,61,66.9
65,38,35,HOLD,64,21.6
66,39,19,19,36,18.0
67,40,11,11,56,23.1
68,41,3,3,46,6.8
69,41,3,19,53,-3.7
70,42,22,22,45,26.2
71,42,22,28,56,39.2
72,43,1,6,28,1.4
73,43,1,1,59,-16.0
74,44,23,23,46,29.0
75,45,1,1,44,-3.1
76,46,15,15,36,27.0
77,47,22,22,36,10.6
78,48,18,18,56,24.8
79,49,7,3,39,-4.5
80,49,7,11,33,27.3
81,49,7,7,32,13.7
82,50,17,17,32,15.2
83,51,6,7,36,-1.5
84,51,6,6,25,-11.7
85,52,13,13,44,37.8
86,53,3,3,29,8.7
87,53,3,2,30,6.0
88,53,3,10,35,-3.8
89,53,3,3,26,7.8
90,54,7,7,26,-1.0
91,54,7,8,27,11.8
92,55,1,1,20,2.0
93,55,1,1,18,1.8
94,56,5,5,22,1.2
