cell_id,band_id,band_x,per_cell_x,per_cell_n,per_cell_pnl
5,0,62,8,3,1.2
6,0,62,62,16,12.1
7,1,18,18,8,7.2
8,2,7,7,8,2.8
9,3,HOLD,HOLD,8,3.4
10,3,HOLD,HOLD,6,4.4
11,3,HOLD,HOLD,7,12.6
12,4,67,67,9,5.7
13,5,6,6,9,1.8
14,6,83,83,8,18.4
15,6,83,HOLD,7,9.8
16,7,16,17,2,3.4
17,7,16,4,11,2.4
18,7,16,11,7,4.9
19,7,16,HOLD,1,-1.8
20,7,16,72,13,11.7
21,7,16,16,11,3.2
22,7,16,49,7,6.3
23,8,5,5,5,-0.2
24,9,HOLD,HOLD,11,33.5
25,9,HOLD,HOLD,12,20.2
26,10,1,1,8,0.8
27,11,27,27,9,3.1
28,12,HOLD,HOLD,7,10.5
29,12,HOLD,61,13,17.0
30,12,HOLD,HOLD,10,29.8
31,13,12,12,10,7.8
32,14,HOLD,HOLD,9,11.3
33,15,42,42,14,29.2
34,16,1,1,12,1.2
35,17,63,HOLD,17,30.4
36,17,63,63,13,23.1
37,17,63,HOLD,10,3.2
38,18,3,3,8,2.4
39,19,20,20,13,8.6
40,20,48,48,8,12.3
41,20,48,48,15,10.4
42,21,57,57,7,20.3
43,22,2,2,8,-2.8
44,22,2,49,13,-0.7
45,23,HOLD,HOLD,12,6.0
46,24,19,19,10,19.0
47,25,1,1,4,0.4
48,26,HOLD,HOLD,14,22.4
49,26,HOLD,HOLD,8,30.2
50,27,20,20,7,7.1
51,28,3,3,14,4.2
52,29,20,20,11,0.7
53,30,41,HOLD,8,-2.4
54,30,41,41,7,0.5
55,31,20,20,13,11.2
56,32,38,38,13,30.8
57,33,11,11,9,9.9
58,34,22,22,10,6.2
59,35,1,1,14,-4.5
60,36,8,8,15,5.3
61,37,4,4,12,-14.4
62,38,HOLD,HOLD,21,-0.7
63,39,12,12,23,5.4
64,40,HOLD,HOLD,12,2.8
65,41,8,8,14,11.2
66,42,31,31,14,24.2
67,43,4,5,17,-19.9
68,43,4,4,11,4.4
69,44,HOLD,10,10,12.0
70,44,HOLD,HOLD,16,-2.6
71,45,5,8,6,4.8
72,45,5,5,10,-2.6
73,45,5,14,11,8.0
74,46,10,10,9,9.0
75,47,20,20,12,24.0
76,47,20,HOLD,7,6.3
77,47,20,21,17,-3.0
78,47,20,9,8,-10.0
79,47,20,HOLD,8,6.2
80,48,13,13,8,10.4
81,48,13,18,5,9.0
82,49,1,2,9,1.8
83,49,1,HOLD,3,4.8
84,49,1,1,5,0.5
85,49,1,3,13,3.9
86,50,11,HOLD,3,3.9
87,50,11,HOLD,8,9.6
88,50,11,11,9,9.9
89,51,2,2,7,1.4
90,51,2,2,6,1.2
91,52,HOLD,HOLD,5,-5.8
92,52,HOLD,HOLD,6,4.2
93,53,1,1,8,-8.5
94,54,5,5,12,6.0
