cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
ATP_MAIN_underdog_45-49,5,A,True,358,44,14,12,2,300,3.9,85.7,-21.1,-0.18
ATP_MAIN_underdog_45-49,5,B,True,358,44,14,12,2,300,3.9,85.7,-42.5,-0.35
ATP_MAIN_underdog_45-49,7,A,True,358,44,14,12,2,300,3.9,85.7,-11.1,-0.09
ATP_MAIN_underdog_45-49,7,B,True,358,44,14,12,2,300,3.9,85.7,-41.1,-0.34
ATP_MAIN_underdog_45-49,10,A,True,357,48,9,7,2,300,2.5,77.8,-55.0,-0.30
ATP_MAIN_underdog_45-49,10,B,True,357,48,9,7,2,300,2.5,77.8,-93.9,-0.50
ATP_MAIN_underdog_45-49,15,A,True,357,53,4,2,2,300,1.1,50.0,-236.2,-0.56
ATP_MAIN_underdog_45-49,15,B,True,357,53,4,2,2,300,1.1,50.0,-273.8,-0.65
ATP_MAIN_underdog_45-49,20,A,True,357,53,4,2,2,300,1.1,50.0,-211.2,-0.50
ATP_MAIN_underdog_45-49,20,B,True,357,53,4,2,2,300,1.1,50.0,-261.2,-0.62
ATP_MAIN_underdog_45-49,25,A,True,354,51,3,1,2,300,0.8,33.3,-310.0,-0.56
ATP_MAIN_underdog_45-49,25,B,True,354,51,3,1,2,300,0.8,33.3,-351.7,-0.63
WTA_CHALL_leader_55-59,3,A,True,90,2,18,9,9,70,20.0,50.0,-252.5,-8.86
WTA_CHALL_leader_55-59,3,B,True,90,2,18,10,8,70,20.0,55.6,-199.2,-6.99
WTA_CHALL_leader_55-59,5,A,True,90,3,17,8,9,70,18.9,47.1,-275.9,-9.14
WTA_CHALL_leader_55-59,5,B,True,90,3,17,9,8,70,18.9,52.9,-223.8,-7.42
WTA_CHALL_leader_55-59,7,A,True,90,3,15,8,7,72,16.7,53.3,-196.0,-5.73
WTA_CHALL_leader_55-59,7,B,True,90,3,15,8,7,72,16.7,53.3,-214.7,-6.28
