timestamp,ticker,series,sport,entry_price,entry_side,combined_mid,spread,collapse_triggered,game_state_at_entry,who_winning_at_entry,pre_entry_price_10m,exit_type,exit_price,hold_time_seconds,game_state_at_exit,pnl_cents,bid_depth_5c,bid_depth_10c,bid_depth_15c,ask_depth_5c,ask_depth_10c,ask_depth_15c,depth_ratio_5c,depth_ratio_10c,depth_ratio_15c,book_spread,book_mid,total_depth
2026-03-11 17:06:05,KXNCAAMBGAME-26MAR11MDIOWA-IOWA,ncaamb,ncaamb,72,IOWA,97,1,F,,,,fill_7c,79,79,{'away_points': 34; 'home_points': 33; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Andre Mills turnover (lost ball) (Cam Manyawu steals)'; 'last_updated_ts': 177324884,150,5696,45720,106085,8183,34368,71846,0.696,1.33,1.477,1,71.5,3228230
2026-03-11 17:07:00,KXATPCHALLENGERMATCH-26MAR11OLICOL-OLI,challenger,tennis,70,OLI,97,1,F,,,,fill_7c,77,90,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 3; 'competitor1_id': '7de6776b-c6f0-4b45-9759-4b04e121038f'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,150,,,,,,,,,,,,
2026-03-11 18:33:56,KXATPCHALLENGERMATCH-26MAR11HARKOZ-HAR,challenger,tennis,81,HAR,97,2,F,,,64,fill_7c,88,537,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 15; 'competitor1_id': 'c5814da0-419c-44de-b791-26f2c50e44d4'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,1004,1004,1004,7878,8193,9244,0.127,0.123,0.109,2,80.0,24528
2026-03-11 18:49:46,KXWTACHALLENGERMATCH-26MAR11JONVEK-JON,challenger,tennis,65,JON,96,3,F,,,36,fill_7c,71,86,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 30; 'competitor1_id': 'd68ac0b3-df93-472f-bec6-675ffd62c4c3'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150,775,5474,12114,7647,7788,16023,0.101,0.703,0.756,3,63.5,96909
2026-03-11 18:51:01,KXNCAAMBGAME-26MAR11PVCOOK-COOK,ncaamb,ncaamb,63,COOK,97,1,F,,,51,fill_7c,70,35,{'away_points': 32; 'home_points': 33; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Quentin Heady personal foul'; 'last_updated_ts': 1773256498; 'period': 2; 'period_re,150,1874,7981,17896,12059,30196,47191,0.155,0.264,0.379,1,62.5,127593
2026-03-11 19:01:05,KXWTAMATCH-26MAR10MUCSWI-SWI,main_draw,tennis,92,SWI,99,0,F,,,,fill_7c,99,730,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '8b9cb9b7-53d2-4826-b884-85a3d9d0c19b'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150,15023,24935,59885,86225,86225,86225,0.174,0.289,0.695,1,94.5,179919,stb_92plus_maker
2026-03-11 19:12:09,KXATPMATCH-26MAR10HIJNOR-NOR,main_draw,tennis,92,NOR,100,0,F,,,82,fill_7c,99,445,{'advantage': 'b524322e-690c-4f3d-b71e-d7b7b4eb3e36'; 'away_overall_score': 1; 'competitor1_current_round_score': 40; 'competitor1_id': '577b14ee-1816-46a0-be87-8fac11de61c5'; 'competitor1_is_home': T,150,3683,7276,12878,16621,32942,32942,0.222,0.221,0.391,3,90.5,76379,stb_92plus_maker
2026-03-11 19:15:15,KXNCAAMBGAME-26MAR11USCWASH-USC,ncaamb,ncaamb,55,USC,97,1,F,,,,fill_7c,62,118,{'away_points': 35; 'home_points': 30; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Trojans 30 second timeout'; 'last_updated_ts': 1773256629; 'period': 1; 'period_rema,150,611,4651,46706,6007,15535,60632,0.102,0.299,0.77,1,54.5,2254718,
2026-03-11 19:16:58,KXNCAAMBGAME-26MAR11LCHIRICH-RICH,ncaamb,ncaamb,92,RICH,101,3,F,,,,,,,,,4163,56643,117015,15412,118053,118053,0.27,0.48,0.991,1,91.5,327806,stb_92plus
2026-03-11 19:38:57,KXWTACHALLENGERMATCH-26MAR11JUVKES-KES,challenger,tennis,69,KES,97,3,F,,,,fill_7c,76,1823,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '7b8ddc59-4af1-40ac-bf5e-50c18343137d'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,1106,2630,16974,7807,7807,22745,0.142,0.337,0.746,2,68.0,110866,
2026-03-11 19:42:11,KXNCAAMBGAME-26MAR11WYOUNLV-UNLV,ncaamb,ncaamb,92,UNLV,101,4,F,,,75,fill_7c,99,3191,{'away_points': 70; 'home_points': 71; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Cowboys 30 second timeout'; 'last_updated_ts': 1773263888; 'period': 2; 'period_rema,150,3213,20927,33827,57907,670750,670750,0.055,0.031,0.05,4,90.0,1825896,stb_92plus
2026-03-11 19:48:28,KXATPCHALLENGERMATCH-26MAR11MARKOT-KOT,challenger,tennis,64,KOT,97,1,F,,,,fill_7c,71,24,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 0; 'competitor1_id': 'a040fb13-6f7b-4a1b-9a1f-7a0b14f3fd8d'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,90,,,,,,,,,,,,
2026-03-11 20:04:52,KXATPCHALLENGERMATCH-26MAR11TRAHAL-HAL,challenger,tennis,72,HAL,97,4,F,,,57,fill_7c,79,9,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '93ad965d-f6c7-4bc4-a3a2-9def41447945'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,1000,1400,3246,445,473,8160,2.247,2.96,0.398,7,68.5,39090,
2026-03-11 20:04:56,KXATPCHALLENGERMATCH-26MAR11GARSVR-SVR,challenger,tennis,77,SVR,97,3,F,,,,fill_7c,84,1122,{'advantage': '8f26d0f5-6f62-4033-b680-759681e8121e'; 'away_overall_score': 0; 'competitor1_current_round_score': 40; 'competitor1_id': '1ce59a79-6d57-44a6-908b-28aac8390e9e'; 'competitor1_is_home': T,6,,,,,,,,,,,,
2026-03-11 20:11:32,KXWTACHALLENGERMATCH-26MAR11KRASEL-KRA,challenger,tennis,60,KRA,97,3,F,,,31,fill_7c,67,472,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 0; 'competitor1_id': '8708ae07-888f-4970-bd25-7db71252ef7f'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,150,1269,3362,15062,5289,6942,13647,0.24,0.484,1.104,3,58.5,94141,
