timestamp,ticker,series,sport,entry_price,entry_side,combined_mid,spread,collapse_triggered,game_state_at_entry,who_winning_at_entry,pre_entry_price_10m,exit_type,exit_price,hold_time_seconds,game_state_at_exit,pnl_cents,bid_depth_5c,bid_depth_10c,bid_depth_15c,ask_depth_5c,ask_depth_10c,ask_depth_15c,depth_ratio_5c,depth_ratio_10c,depth_ratio_15c,book_spread,book_mid,total_depth
2026-03-11 17:06:05,KXNCAAMBGAME-26MAR11MDIOWA-IOWA,ncaamb,ncaamb,72,IOWA,97,1,F,,,,fill_7c,79,79,{'away_points': 34; 'home_points': 33; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Andre Mills turnover (lost ball) (Cam Manyawu steals)'; 'last_updated_ts': 177324884,150,5696,45720,106085,8183,34368,71846,0.696,1.33,1.477,1,71.5,3228230
2026-03-11 17:07:00,KXATPCHALLENGERMATCH-26MAR11OLICOL-OLI,challenger,tennis,70,OLI,97,1,F,,,,fill_7c,77,90,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 3; 'competitor1_id': '7de6776b-c6f0-4b45-9759-4b04e121038f'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,150,,,,,,,,,,,,
2026-03-11 18:33:56,KXATPCHALLENGERMATCH-26MAR11HARKOZ-HAR,challenger,tennis,81,HAR,97,2,F,,,64,fill_7c,88,537,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 15; 'competitor1_id': 'c5814da0-419c-44de-b791-26f2c50e44d4'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,1004,1004,1004,7878,8193,9244,0.127,0.123,0.109,2,80.0,24528
2026-03-11 18:49:46,KXWTACHALLENGERMATCH-26MAR11JONVEK-JON,challenger,tennis,65,JON,96,3,F,,,36,fill_7c,71,86,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 30; 'competitor1_id': 'd68ac0b3-df93-472f-bec6-675ffd62c4c3'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150,775,5474,12114,7647,7788,16023,0.101,0.703,0.756,3,63.5,96909
2026-03-11 18:51:01,KXNCAAMBGAME-26MAR11PVCOOK-COOK,ncaamb,ncaamb,63,COOK,97,1,F,,,51,fill_7c,70,35,{'away_points': 32; 'home_points': 33; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Quentin Heady personal foul'; 'last_updated_ts': 1773256498; 'period': 2; 'period_re,150,1874,7981,17896,12059,30196,47191,0.155,0.264,0.379,1,62.5,127593
2026-03-11 20:23:58,KXATPMATCH-26MAR10MEDMIC-MED,main_draw,tennis,92,MED,100,0,F,,,76,fill_7c,99,2481,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 30; 'competitor1_id': 'd2257e62-3f76-4724-8a3f-745799aeae46'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,41224,46989,56422,51655,58249,58249,0.798,0.807,0.969,2,92.0,140314,stb_92plus_maker
2026-03-11 20:25:10,KXNCAAMBGAME-26MAR11SMULOU-SMU,ncaamb,ncaamb,58,SMU,97,1,F,,,,fill_7c,65,18,{'away_points': 46; 'home_points': 41; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Jaron Pierre Jr. turnover'; 'last_updated_ts': 1773260726; 'period': 2; 'period_rema,150,18928,25128,33927,70,7124,7786,270.4,3.527,4.357,1,57.5,2051424,
2026-03-11 20:27:24,KXATPCHALLENGERMATCH-26MAR11REIBOS-BOS,challenger,tennis,64,BOS,97,4,F,,,,fill_7c,71,63,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 0; 'competitor1_id': 'dd7994f2-9995-4f47-bbe7-b430e85b354e'; 'competitor1_is_home': True; 'competitor1_overall_score': 0; ,150,1564,3264,7764,7665,10065,14242,0.204,0.324,0.545,3,62.5,46374,
2026-03-11 20:39:27,KXWTACHALLENGERMATCH-26MAR11KRASEL-SEL,challenger,tennis,58,SEL,96,2,F,,,,fill_7c,65,107,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 30; 'competitor1_id': '8708ae07-888f-4970-bd25-7db71252ef7f'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,,,,,,,,,,,,
2026-03-11 20:43:16,KXNCAAMBGAME-26MAR11MSSTAUB-AUB,ncaamb,ncaamb,92,AUB,100,2,F,,,68,stop_10c,80,600,{'away_points': 47; 'home_points': 56; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': "Ja'Borri McGhee makes three point jump shot (Josh Hubbard assists)"; 'last_updated_t,-350,2229,10070,24570,31930,598158,598158,0.07,0.017,0.041,2,91.0,1880412,stb_92plus
2026-03-11 20:48:07,KXWTACHALLENGERMATCH-26MAR11BIRRAK-BIR,challenger,tennis,85,BIR,96,4,F,,,83,fill_7c,92,26,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '2c72bff7-8f52-45d5-84b1-45032f605b8a'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,4142,8718,15993,7490,9498,18730,0.553,0.918,0.854,4,83.0,43971,
2026-03-11 21:00:50,KXNCAAMBGAME-26MAR11CINUCF-CIN,ncaamb,ncaamb,92,CIN,100,2,F,,,78,stop_10c,81,988,{'away_points': 53; 'home_points': 46; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Jamichael Stillwell makes two point layup'; 'last_updated_ts': 1773263835; 'period':,-325,1608,18644,18956,9310,581730,581730,0.173,0.032,0.033,2,91.0,1788079,stb_92plus
2026-03-11 21:34:55,KXATPMATCH-26MAR10ALCRUU-ALC,main_draw,tennis,92,ALC,100,0,F,,,92,fill_7c,99,2705,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 0; 'competitor1_id': '527915ea-e368-4c7f-a203-c83ebb6f6572'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,150,33258,34123,34384,51443,70794,70794,0.647,0.482,0.486,1,92.5,123474,stb_92plus_maker
2026-03-11 21:57:48,KXATPCHALLENGERMATCH-26MAR11TSEAND-AND,challenger,tennis,82,AND,97,4,F,,,,fill_7c,89,1673,{'advantage': '6fa0230c-3151-4a79-b51a-ec5c068aa606'; 'away_overall_score': 1; 'competitor1_current_round_score': 40; 'competitor1_id': 'dd41f765-6ea3-4875-ba0c-e32a842020c5'; 'competitor1_is_home': T,6,,,,,,,,,,,,
2026-03-11 22:28:27,KXATPCHALLENGERMATCH-26MAR11BURWON-WON,challenger,tennis,55,WON,0,0,F,,,,fill_7c,62,1563,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 15; 'competitor1_id': '35bd3f9a-a658-4b83-b367-5534993c1ada'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,12,,,,,,,,,,,,
2026-03-11 22:35:14,KXATPCHALLENGERMATCH-26MAR11KRUBIC-KRU,challenger,tennis,55,KRU,95,3,F,,,35,fill_7c,62,20,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 40; 'competitor1_id': 'a91f768b-d6f0-478e-916e-fe93c82c76d8'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150,15532,15850,17371,8325,9059,9725,1.866,1.75,1.786,2,54.0,52356,
2026-03-11 22:36:21,KXATPCHALLENGERMATCH-26MAR11MCDLAN-LAN,challenger,tennis,80,LAN,0,0,F,,,,fill_7c,87,2037,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 0; 'competitor1_id': '63f7d01a-94cf-4de2-bc56-5f80f4a95a19'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,6,,,,,,,,,,,,
2026-03-11 23:09:26,KXNCAAMBGAME-26MAR11XAVMARQ-MARQ,ncaamb,ncaamb,55,MARQ,97,1,F,,,41,fill_7c,62,174,{'away_points': 31; 'home_points': 27; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Malik Messina-Moore makes two point jump shot (Roddie Anderson III assists)'; 'last_,150,12263,15341,59063,26115,30739,72738,0.47,0.499,0.812,1,54.5,2652829,
2026-03-11 23:34:22,KXNCAAMBGAME-26MAR11CALFSU-FSU,ncaamb,ncaamb,85,FSU,97,1,F,,,74,fill_7c,92,1001,{'away_points': 32; 'home_points': 46; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Lajae Jones makes three point jump shot'; 'last_updated_ts': 1773273060; 'period': 1,150,1234,3562,13418,15744,48839,598614,0.078,0.073,0.022,1,84.5,2017528,
2026-03-11 23:34:57,KXNCAAMBGAME-26MAR11TULNMEM-MEM,ncaamb,ncaamb,59,MEM,97,1,F,,,51,,,,,,5855,21777,69311,4863,21121,78633,1.204,1.031,0.881,1,58.5,2088698,
2026-03-12 00:04:52,KXNCAAMBGAME-26MAR11MOSULIB-MOSU,ncaamb,ncaamb,67,MOSU,96,1,F,,,,fill_7c,74,1037,{'away_points': 61; 'home_points': 57; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Colin Porter turnover (bad pass) (Kobi Williams steals)'; 'last_updated_ts': 1773273,150,,,,,,,,,,,,
2026-03-12 00:11:41,KXNCAAMBGAME-26MAR11DSUMORG-DSU,ncaamb,ncaamb,72,DSU,96,2,F,,,,fill_7c,79,3381,{'away_points': 67; 'home_points': 64; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Hornets 30 second timeout'; 'last_updated_ts': 1773274298; 'period': 3; 'period_rema,150,,,,,,,,,,,,
2026-03-12 00:14:47,KXATPCHALLENGERMATCH-26MAR11VANSCH-VAN,challenger,tennis,75,VAN,96,3,F,,,,fill_7c,82,155,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 40; 'competitor1_id': 'f0e4436f-e2d5-454c-95be-b6a1e5d16693'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150,,,,,,,,,,,,
2026-03-12 00:27:14,KXATPCHALLENGERMATCH-26MAR11BASMAJ-BAS,challenger,tennis,57,BAS,96,4,F,sets=0-0 games=6 vs 6 server=2a88c003-443a-4e6b-8650-504a9de43c1b status=live,,,fill_7c,64,138,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 5; 'competitor1_id': '9a60a9bb-4553-4766-854d-f7b17b339f78'; 'competitor1_is_home': True; 'competitor1_overall_score': 0; ,150,1145,1145,7945,246,7803,7806,4.654,0.147,1.018,4,55.0,51377,
2026-03-12 00:44:47,KXATPCHALLENGERMATCH-26MAR11BAUGOF-BAU,challenger,tennis,90,BAU,97,2,F,sets=1-0 games=6-0 vs 1-0 server=83ca6052-fdaa-4641-bcf3-2c09a5ae7f80 status=live,,87,fill_7c,97,1938,{'advantage': ''; 'away_overall_score': 0; 'competitor1_current_round_score': 40; 'competitor1_id': '2d6958be-f79a-4f8f-b15f-4962585cd7c2'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,150,400,900,1901,20794,28389,28389,0.019,0.032,0.067,3,88.5,47763,
2026-03-12 00:46:55,KXNCAAMBGAME-26MAR11JKSTFAMU-FAMU,ncaamb,ncaamb,66,FAMU,97,3,F,,,64,fill_7c,73,88,{'away_points': 12; 'home_points': 12; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Jordan Chatman makes three point jump shot (Micah Octave assists)'; 'last_updated_ts,150,2410,9802,19693,4444,20299,39833,0.542,0.483,0.494,3,64.5,2070975,
2026-03-12 01:49:54,KXNCAAMBGAME-26MAR11CPUCSD-CP,ncaamb,ncaamb,69,CP,97,1,F,,,60,,,,,,5614,19911,37411,9706,27835,78885,0.578,0.715,0.474,1,68.5,241268,
2026-03-12 02:10:42,KXATPMATCH-26MAR10DJODRA-DJO,main_draw,tennis,71,DJO,97,3,F,sets=1-0 games=6-2 vs 4-3 server=4faafbfd-d755-4cf1-81bf-90e078b2e762 status=live,,64,fill_7c,78,25,{'advantage': '90202eeb-fd7c-44dd-a9bc-498b4bf25547'; 'away_overall_score': 0; 'competitor1_current_round_score': 50; 'competitor1_id': '90202eeb-fd7c-44dd-a9bc-498b4bf25547'; 'competitor1_is_home': T,150,2142,15174,24426,6476,18502,32338,0.331,0.82,0.755,4,69.0,233140,
2026-03-12 02:11:21,KXNCAAMBGAME-26MAR11FRESCSU-FRES,ncaamb,ncaamb,61,FRES,97,3,F,,,44,,,,,,1978,3003,3003,3752,9630,12603,0.527,0.312,0.238,3,59.5,2231146,
2026-03-12 02:22:13,KXATPCHALLENGERMATCH-26MAR11MEJMOC-MOC,challenger,tennis,80,MOC,97,3,F,sets=0-1 games=2-1 vs 6-1 server=6fa4566d-bd52-4adc-8c00-66f1ad195ea2 status=live,,73,fill_7c,87,157,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 0; 'competitor1_id': '6fa4566d-bd52-4adc-8c00-66f1ad195ea2'; 'competitor1_is_home': True; 'competitor1_overall_score': 0; ,150,5371,8088,14733,19081,23214,42580,0.281,0.348,0.346,2,79.0,129515,
2026-03-12 02:33:06,KXNCAAMBGAME-26MAR11SCAROKLA-OKLA,ncaamb,ncaamb,70,OKLA,97,1,F,,,52,fill_7c,77,1006,{'away_points': 42; 'home_points': 42; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'End of 1st Half.'; 'last_updated_ts': 1773283788; 'period': 1; 'period_remaining_tim,150,33789,47041,96781,119138,177536,195075,0.284,0.265,0.496,1,69.5,1992624,
2026-03-12 02:53:52,KXNCAAMBGAME-26MAR11RUTGMINN-RUTG,ncaamb,ncaamb,97,RUTG,100,2,F,,,31,fill_7c,99,371,{'away_points': 65; 'home_points': 59; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Jamichael Davis makes regular free throw 1 of 2'; 'last_updated_ts': 1773284399; 'pe,25,3445,5573,5575,8368,8368,8368,0.412,0.666,0.666,1,95.5,500095,stb_92plus
2026-03-12 02:58:24,KXNCAAMBGAME-26MAR11GTWNDEP-GTWN,ncaamb,ncaamb,96,GTWN,100,3,F,,,86,fill_7c,99,351,{'away_points': 55; 'home_points': 47; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Jeremiah Williams personal foul'; 'last_updated_ts': 1773284654; 'period': 2; 'perio,50,13483,48280,86538,11011,11011,11011,1.225,4.385,7.859,4,95.0,346206,stb_92plus
2026-03-12 03:09:08,KXNCAAMBGAME-26MAR11WAKECLEM-CLEM,ncaamb,ncaamb,97,CLEM,100,2,F,,,,fill_7c,99,385,{'away_points': 46; 'home_points': 60; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': "Tre'Von Spillers shooting foul (RJ Godfrey draws the foul)"; 'last_updated_ts': 1773,50,26286,68988,138994,10062,10062,10062,2.612,6.856,13.814,1,95.5,906347,stb_92plus
2026-03-12 03:11:15,KXNBAGAME-26MAR11NYKUTA-NYK,nba,nba,97,NYK,100,2,F,,,,fill_7c,99,211,{'away_points': 112; 'home_points': 101; 'last_event_created_ts': 1773285267; 'last_event_is_timeout': False; 'last_play': 'Jordan Clarkson makes three point jump shot (Landry Shamet assists)'; 'last_,50,28914,53734,117778,23879,23879,23879,1.211,2.25,4.932,2,96.0,1754724,stb_92plus
2026-03-12 03:16:18,KXNCAAMBGAME-26MAR11OKSTTCU-OKST,ncaamb,ncaamb,68,OKST,95,1,F,,,,,,,,,3805,25033,25633,4129,16400,34450,0.922,1.526,0.744,1,67.5,930744,
2026-03-12 03:16:55,KXNCAAMBGAME-26MAR11TEMFAU-FAU,ncaamb,ncaamb,97,FAU,100,3,F,,,,fill_7c,99,1435,{'away_points': 59; 'home_points': 61; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Owls 60 second timeout'; 'last_updated_ts': 1773286849; 'period': 2; 'period_remaini,16,6695,30148,112672,10988,10988,10988,0.609,2.744,10.254,1,96.5,222493,stb_92plus
2026-03-12 03:29:21,KXATPCHALLENGERMATCH-26MAR11QUISHE-QUI,challenger,tennis,61,QUI,97,4,F,sets=0-1 games=6-5 vs 7-3 server=31c7f5bb-9d4a-4172-8460-50ba1d18056f status=live,,,fill_7c,73,1790,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '763611a7-f028-46c9-a30e-35bbd5b6340b'; 'competitor1_is_home': True; 'competitor1_overall_score': 1;,275,14144,17411,24211,30609,32697,39519,0.462,0.532,0.613,2,65.0,91788,
2026-03-12 03:44:57,KXNBAGAME-26MAR11HOUDEN-DEN,nba,nba,97,DEN,100,2,F,,,87,fill_7c,99,495,{'away_points': 69; 'home_points': 90; 'last_event_created_ts': 1773287579; 'last_event_is_timeout': False; 'last_play': 'Tim Hardaway Jr. defensive rebound'; 'last_updated_ts': 1773287589; 'period': ,50,38704,100928,174834,58533,58533,58533,0.661,1.724,2.987,2,96.0,2149608,stb_92plus
2026-03-12 03:50:31,KXNBAGAME-26MAR11CHASAC-CHA,nba,nba,97,CHA,100,2,F,,,91,fill_7c,99,643,{'away_points': 106; 'home_points': 96; 'last_event_created_ts': 1773288064; 'last_event_is_timeout': False; 'last_play': 'Kings misses three point jump shot'; 'last_updated_ts': 1773288072; 'period':,50,15512,79472,168136,62445,62445,62445,0.248,1.273,2.693,1,96.5,1885366,stb_92plus
2026-03-12 04:35:01,KXNBAGAME-26MAR11MINLAC-LAC,nba,nba,97,LAC,100,1,F,,,87,fill_7c,99,98,{'away_points': 100; 'home_points': 118; 'last_event_created_ts': 1773290184; 'last_event_is_timeout': False; 'last_play': 'Timberwolves misses three point jump shot'; 'last_updated_ts': 1773290198; ',50,256416,324826,389733,896634,896634,896634,0.286,0.362,0.435,1,96.5,3583418,stb_92plus
2026-03-12 04:48:57,KXNCAAMBGAME-26MAR11UCSBUCD-UCD,ncaamb,ncaamb,60,UCD,97,4,F,,,33,fill_7c,67,95,{'away_points': 44; 'home_points': 48; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Hosana Kitenge defensive rebound'; 'last_updated_ts': 1773291031; 'period': 2; 'peri,150,3136,4654,48831,9281,21131,76893,0.338,0.22,0.635,3,58.5,2318075,
2026-03-12 05:09:34,KXNCAAMBGAME-26MAR11SJSUBSU-SJSU,ncaamb,ncaamb,76,SJSU,96,2,F,,,47,fill_7c,83,32,{'away_points': 67; 'home_points': 58; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Javan Buchanan makes regular free throw 2 of 2'; 'last_updated_ts': 1773292204; 'per,150,34257,38258,63268,25080,35410,62919,1.366,1.08,1.006,1,72.5,1688328,
