timestamp,ticker,series,sport,entry_price,entry_side,combined_mid,spread,collapse_triggered,game_state_at_entry,who_winning_at_entry,pre_entry_price_10m,exit_type,exit_price,hold_time_seconds,game_state_at_exit,pnl_cents
2026-03-11 11:45:27,KXATPCHALLENGERMATCH-26MAR11ADDCAS-CAS,challenger,tennis,87,CAS,97,3,F,,,83,fill_7c,94,420,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 30; 'competitor1_id': '003dd971-acdc-4638-a923-2ac5d54fd6d5'; 'competitor1_is_home': True; 'competitor1_overall_score': 0;,150
2026-03-11 12:02:53,KXATPCHALLENGERMATCH-26MAR11SHECOP-COP,challenger,tennis,64,COP,97,2,F,,,,fill_7c,71,1678,{'advantage': ''; 'away_overall_score': 1; 'competitor1_current_round_score': 0; 'competitor1_id': 'bc0d644e-3c67-4591-88e9-25b2942fe187'; 'competitor1_is_home': True; 'competitor1_overall_score': 1; ,150
2026-03-11 16:03:15,KXATPCHALLENGERMATCH-26MAR11BUDBER-BUD,challenger,tennis,68,BUD,97,3,F,,,62,,,,,
2026-03-11 16:08:00,KXNCAAMBGAME-26MAR11PITTNCST-NCST,ncaamb,ncaamb,70,NCST,97,3,F,,,,fill_7c,77,1904,{'away_points': 34; 'home_points': 32; 'last_event_created_ts': None; 'last_event_is_timeout': False; 'last_play': 'Darrion Williams personal foul'; 'last_updated_ts': 1773247183; 'period': 1; 'period,150
