V3 ANALYSIS — Per-cell exit target sweep with tick replay
Entry: ask-1 (leaders), bid+1+offset (underdogs)
DCA: strategy B (blended target) where applicable
Baby sizing: 10ct entry, 5ct DCA

==============================================================================================================
ATP_CHALL_leader_55-59 | n=70 trajs | avg_entry=58.8c | peak p50=+40c p75=+40c p90=+40c | offset=-1 | dca=11
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  98.6  98.6  64.6  +4.50% $+0.293   70   69
    +4c  97.1  97.1  66.3  +4.67% $+0.290   70   68
    +5c  95.7  95.7  67.7  +4.81% $+0.285   70   67
    +6c  94.3  94.3  69.7  +4.90% $+0.289   70   66
    +7c  92.9  92.9  70.1  +4.95% $+0.277   70   65
    +8c  92.9  92.9  70.8  +6.59% $+0.401   70   65
    +9c  91.4  91.4  71.1  +6.57% $+0.386   70   64
   +10c  91.4  91.4  71.4  +8.18% $+0.506   70   64
   +11c  90.0  90.0  71.8  +8.08% $+0.489   70   63
   +12c  90.0  90.0  71.8  +9.66% $+0.601   70   63
   +13c  88.6  88.6  71.8  +9.49% $+0.569   70   62
   +14c  88.6  88.6  72.1 +11.06% $+0.689   70   62
   +15c  88.6  88.6  72.5 +12.63% $+0.810   70   62
   +16c  88.6  88.6  72.5 +14.19% $+0.922   70   62
   +17c  88.6  88.6  72.8 +15.76% $+1.046   70   62
   +18c  87.1  87.1  72.8 +15.44% $+1.002   70   61
   +19c  87.1  87.1  72.8 +16.97% $+1.113   70   61
   +20c  85.7  85.7  73.5 +16.61% $+1.092   70   60
   +21c  84.3  85.7  73.5 +17.76% $+1.172   70   59 <<<
   +22c  82.9  84.3  73.8 +17.28% $+1.130   70   58
   +23c  81.4  82.9  74.2 +17.66% $+1.160   70   57
   +24c  80.0  81.4  74.5 +17.09% $+1.112   70   56
   +25c  78.6  80.0  74.9 +16.47% $+1.061   70   55
   +26c  77.1  78.6  74.9 +15.76% $+0.990   70   54
   +27c  75.7  77.1  75.5 +15.08% $+0.951   70   53
   +28c  75.7  77.1  75.5 +16.42% $+1.051   70   53
   +29c  74.3  75.7  75.9 +15.62% $+0.992   70   52
   +30c  71.4  72.9  76.9 +12.63% $+0.792   70   50
 hold99  64.3  65.7  77.6 +17.02% $+1.110   70   45
  BEST (ROI, WR>50%): +21c | ROI=+17.76% EV=$+1.172/trade WR=84%

==============================================================================================================
ATP_CHALL_leader_60-64 | n=57 trajs | avg_entry=61.7c | peak p50=+37c p75=+37c p90=+38c | offset=-1 | dca=15
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  91.2  91.2  66.6  -4.28% $-0.458   57   52
    +4c  89.5  89.5  67.4  -4.65% $-0.509   57   51
    +5c  89.5  89.5  67.4  -3.18% $-0.412   57   51
    +6c  89.5  89.5  68.7  -1.66% $-0.300   57   51
    +7c  87.7  87.7  69.9  -2.11% $-0.346   57   50
    +8c  84.2  84.2  70.7  -4.61% $-0.575   57   48
    +9c  80.7  80.7  71.1  -7.26% $-0.818   57   46
   +10c  80.7  80.7  71.1  -5.92% $-0.727   57   46
   +11c  78.9  78.9  71.5  -6.65% $-0.805   57   45
   +12c  77.2  77.2  72.4  -7.40% $-0.876   57   44
   +13c  77.2  77.2  73.2  -6.05% $-0.765   57   44
   +14c  73.7  73.7  73.6  -9.10% $-1.036   57   42
   +15c  73.7  73.7  74.0  -7.83% $-0.937   57   42
   +16c  73.7  73.7  74.4  -6.56% $-0.836   57   42
   +17c  73.7  73.7  74.8  -5.28% $-0.733   57   42
   +18c  73.7  73.7  75.2  -4.00% $-0.629   57   42
   +19c  71.9  71.9  75.2  -3.54% $-0.605   57   41
   +20c  71.9  71.9  75.2  -2.34% $-0.518   57   41
   +21c  70.2  70.2  76.0  -1.73% $-0.455   57   40
   +22c  70.2  70.2  76.0  -0.55% $-0.369   57   40
   +23c  70.2  70.2  76.0  +0.63% $-0.283   57   40
   +24c  70.2  70.2  76.5  +1.88% $-0.176   57   40
   +25c  70.2  70.2  77.3  +3.19% $-0.046   57   40
   +26c  70.2  70.2  78.5  +4.57% $+0.111   57   40
   +27c  70.2  70.2  78.5  +5.77% $+0.203   57   40 <<<
   +28c  68.4  68.4  78.9  +4.42% $+0.095   57   39
   +29c  68.4  68.4  79.3  +5.66% $+0.210   57   39
