ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXATPMATCH-26APR18ZVECOB-COB,16,17,16.5
2026-04-17 06:53:56 PM,KXATPMATCH-26APR18ZVECOB-COB,16,17,16.5
