ts_et,ticker,bid,ask,mid
2026-04-17 08:34:19 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,6,94,50.0
2026-04-17 08:41:18 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,6,93,49.5
2026-04-17 08:41:18 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,7,93,50.0
2026-04-17 08:41:19 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,7,92,49.5
2026-04-17 08:41:19 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,7,91,49.0
2026-04-17 08:41:19 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,8,91,49.5
2026-04-17 08:41:20 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,8,92,50.0
2026-04-17 08:41:20 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,8,91,49.5
2026-04-17 08:41:20 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,9,91,50.0
2026-04-17 08:41:21 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,9,90,49.5
2026-04-17 08:41:21 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,10,90,50.0
2026-04-17 08:41:22 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,10,89,49.5
2026-04-17 08:41:22 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,10,88,49.0
2026-04-17 08:41:22 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,11,88,49.5
2026-04-17 08:41:23 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,11,89,50.0
2026-04-17 08:41:23 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,11,88,49.5
2026-04-17 08:41:23 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,12,88,50.0
2026-04-17 08:41:24 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,12,87,49.5
2026-04-17 08:41:24 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,13,87,50.0
2026-04-17 08:41:25 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,13,86,49.5
2026-04-17 08:41:25 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,14,86,50.0
2026-04-17 08:41:26 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,14,85,49.5
2026-04-17 08:41:26 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,15,85,50.0
2026-04-17 08:41:27 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,16,85,50.5
2026-04-17 08:41:28 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,16,84,50.0
2026-04-17 08:41:28 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,17,84,50.5
2026-04-17 08:41:29 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,17,85,51.0
2026-04-17 08:41:29 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,18,85,51.5
2026-04-17 08:41:30 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,19,85,52.0
2026-04-17 08:41:30 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,19,84,51.5
2026-04-17 08:41:31 PM,KXATPCHALLENGERMATCH-26APR18ROYHOU-HOU,20,84,52.0
