ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXATPMATCH-26APR18RUBMED-RUB,60,61,60.5
2026-04-17 06:53:56 PM,KXATPMATCH-26APR18RUBMED-RUB,60,61,60.5
2026-04-17 07:10:43 PM,KXATPMATCH-26APR18RUBMED-RUB,60,62,61.0
2026-04-17 07:10:43 PM,KXATPMATCH-26APR18RUBMED-RUB,61,62,61.5
