ts_et,ticker,bid,ask,mid
2026-04-17 06:41:58 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 06:53:56 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:19:51 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:19:52 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:27 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:28 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:28 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:28 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:29 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:29 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:29 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:29 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:30 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:30 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:30 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:30 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:31 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:31 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:31 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:32 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:32 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:32 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:33 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:33 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:33 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:33 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:34 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:34 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:34 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
2026-04-17 07:49:34 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,63,64,63.5
2026-04-17 07:49:35 PM,KXATPCHALLENGERMATCH-26APR18BOLYUN-YUN,64,64,64.0
