ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1783799741,2026-07-11 03:55:41 PM,70459.0,8,200,93,200
1783800048,2026-07-11 04:00:48 PM,70152.0,8,213,93,200
1783801706,2026-07-11 04:28:26 PM,68494.0,8,213,93,557
1783801706,2026-07-11 04:28:26 PM,68494.0,8,213,92,313
1783803114,2026-07-11 04:51:54 PM,67086.0,9,503,92,313
1783803114,2026-07-11 04:51:54 PM,67086.0,9,503,91,1501
1783803114,2026-07-11 04:51:54 PM,67086.0,9,753,91,1501
1783803114,2026-07-11 04:51:54 PM,67086.0,9,753,91,1751
1783803114,2026-07-11 04:51:54 PM,67086.0,9,853,91,1751
1783803114,2026-07-11 04:51:54 PM,67086.0,9,853,91,1951
1783803131,2026-07-11 04:52:11 PM,67069.0,9,865,91,1951
1783803132,2026-07-11 04:52:12 PM,67068.0,9,615,91,1951
1783803132,2026-07-11 04:52:12 PM,67068.0,10,250,91,1951
1783803132,2026-07-11 04:52:12 PM,67068.0,10,350,91,1951
1783803136,2026-07-11 04:52:16 PM,67064.0,10,350,91,2229
1783803136,2026-07-11 04:52:16 PM,67064.0,10,350,90,250
1783803160,2026-07-11 04:52:40 PM,67040.0,10,550,90,250
1783803161,2026-07-11 04:52:41 PM,67039.0,11,503,90,250
1783803161,2026-07-11 04:52:41 PM,67039.0,11,753,90,250
1783803161,2026-07-11 04:52:41 PM,67039.0,11,853,90,250
1783803163,2026-07-11 04:52:43 PM,67037.0,12,200,90,250
1783803164,2026-07-11 04:52:44 PM,67036.0,13,503,90,250
1783803164,2026-07-11 04:52:44 PM,67036.0,13,753,90,250
1783803164,2026-07-11 04:52:44 PM,67036.0,13,853,90,250
1783803166,2026-07-11 04:52:46 PM,67034.0,14,200,90,250
1783803166,2026-07-11 04:52:46 PM,67034.0,15,503,90,250
1783803166,2026-07-11 04:52:46 PM,67034.0,15,753,90,250
1783803166,2026-07-11 04:52:46 PM,67034.0,15,853,90,250
1783803169,2026-07-11 04:52:49 PM,67031.0,16,200,90,250
1783803170,2026-07-11 04:52:50 PM,67030.0,17,250,90,250
1783803170,2026-07-11 04:52:50 PM,67030.0,17,350,90,250
1783803172,2026-07-11 04:52:52 PM,67028.0,18,200,90,250
1783803173,2026-07-11 04:52:53 PM,67027.0,18,400,90,250
1783803174,2026-07-11 04:52:54 PM,67026.0,18,200,90,250
1783803174,2026-07-11 04:52:54 PM,67026.0,18,200,89,1501
1783803174,2026-07-11 04:52:54 PM,67026.0,18,200,89,1751
1783803174,2026-07-11 04:52:54 PM,67026.0,19,100,89,1751
1783803174,2026-07-11 04:52:54 PM,67026.0,19,100,89,1951
1783803177,2026-07-11 04:52:57 PM,67023.0,20,200,89,1951
1783803201,2026-07-11 04:53:21 PM,66999.0,20,200,89,2178
1783803201,2026-07-11 04:53:21 PM,66999.0,20,200,88,208
1783803236,2026-07-11 04:53:56 PM,66964.0,19,100,88,208
1783803237,2026-07-11 04:53:57 PM,66963.0,19,100,87,1501
1783803237,2026-07-11 04:53:57 PM,66963.0,19,100,87,1751
1783803237,2026-07-11 04:53:57 PM,66963.0,10,763,87,1751
1783803237,2026-07-11 04:53:57 PM,66963.0,10,863,87,1751
1783803237,2026-07-11 04:53:57 PM,66963.0,10,863,87,1951
1783803246,2026-07-11 04:54:06 PM,66954.0,20,200,87,1951
1783803248,2026-07-11 04:54:08 PM,66952.0,20,200,87,2143
1783803248,2026-07-11 04:54:08 PM,66952.0,20,200,86,179
1783803248,2026-07-11 04:54:08 PM,66952.0,10,863,86,179
1783803248,2026-07-11 04:54:08 PM,66952.0,11,200,86,179
1783803249,2026-07-11 04:54:09 PM,66951.0,12,503,86,179
1783803249,2026-07-11 04:54:09 PM,66951.0,12,753,86,179
1783803249,2026-07-11 04:54:09 PM,66951.0,12,853,86,179
1783803252,2026-07-11 04:54:12 PM,66948.0,14,1,86,179
1783803254,2026-07-11 04:54:14 PM,66946.0,14,504,86,179
1783803254,2026-07-11 04:54:14 PM,66946.0,14,754,86,179
1783803254,2026-07-11 04:54:14 PM,66946.0,14,854,86,179
1783803256,2026-07-11 04:54:16 PM,66944.0,15,200,86,179
1783803256,2026-07-11 04:54:16 PM,66944.0,16,503,86,179
1783803256,2026-07-11 04:54:16 PM,66944.0,16,753,86,179
1783803256,2026-07-11 04:54:16 PM,66944.0,16,853,86,179
1783803259,2026-07-11 04:54:19 PM,66941.0,17,200,86,179
1783803260,2026-07-11 04:54:20 PM,66940.0,18,100,86,179
1783803261,2026-07-11 04:54:21 PM,66939.0,19,200,86,179
1783803321,2026-07-11 04:55:21 PM,66879.0,18,100,86,179
1783803322,2026-07-11 04:55:22 PM,66878.0,18,100,85,1501
1783803322,2026-07-11 04:55:22 PM,66878.0,18,100,85,1751
1783803322,2026-07-11 04:55:22 PM,66878.0,14,1,85,1751
1783803322,2026-07-11 04:55:22 PM,66878.0,14,1,85,1951
1783803325,2026-07-11 04:55:25 PM,66875.0,19,200,85,1951
1783803332,2026-07-11 04:55:32 PM,66868.0,19,200,85,2117
1783803332,2026-07-11 04:55:32 PM,66868.0,19,200,84,157
1783803385,2026-07-11 04:56:25 PM,66815.0,18,100,84,157
1783803386,2026-07-11 04:56:26 PM,66814.0,18,100,83,1501
1783803386,2026-07-11 04:56:26 PM,66814.0,18,100,83,1751
1783803386,2026-07-11 04:56:26 PM,66814.0,14,1,83,1751
1783803386,2026-07-11 04:56:26 PM,66814.0,14,1,83,1951
1783803390,2026-07-11 04:56:30 PM,66810.0,14,504,83,1951
1783803390,2026-07-11 04:56:30 PM,66810.0,14,754,83,1951
1783803390,2026-07-11 04:56:30 PM,66810.0,14,854,83,1951
1783803391,2026-07-11 04:56:31 PM,66809.0,14,1054,83,1951
