ticker_id,tour,event_ticker,side,match_result,settlement_price,open_time_ts,entry_mid,entry_bid,entry_ask,match_low_bid,match_high_bid,match_low_mid,match_high_mid,max_dip_from_entry,max_bounce_from_entry,tick_count_live
KXITFMATCH-26APR17SINZHU-ZHU,ITF,KXITFMATCH-26APR17SINZHU,underdog,loss,1,1776459840,15.5,12,19,12,33,13.5,53.0,2.0,37.5,14615
KXITFMATCH-26APR17SINZHU-SIN,ITF,KXITFMATCH-26APR17SINZHU,leader,win,99,1776459840,84.5,81,88,4,98,23.5,85.5,61.0,1.0,5981
KXITFMATCH-26APR17MATHEW-MAT,ITF,KXITFMATCH-26APR17MATHEW,underdog,win,99,1776458640,50.0,6,94,6,99,41.0,72.5,9.0,22.5,89096
KXITFMATCH-26APR17MATHEW-HEW,ITF,KXITFMATCH-26APR17MATHEW,leader,loss,1,1776458640,50.0,6,94,4,66,22.5,67.0,27.5,17.0,99729
KXITFMATCH-26APR17VANMUR-MUR,ITF,KXITFMATCH-26APR17VANMUR,underdog,loss,1,1776386640,21.0,20,22,20,45,18.0,30.0,3.0,9.0,164362
KXITFMATCH-26APR17VANMUR-VAN,ITF,KXITFMATCH-26APR17VANMUR,leader,win,99,1776386640,77.5,75,80,73,98,70.0,82.0,7.5,4.5,270967
KXITFMATCH-26APR17GHECIZ-CIZ,ITF,KXITFMATCH-26APR17GHECIZ,underdog,loss,1,1776390240,38.5,27,50,25,42,16.0,40.0,22.5,1.5,95844
KXITFMATCH-26APR17GHECIZ-GHE,ITF,KXITFMATCH-26APR17GHECIZ,leader,win,99,1776390240,69.0,62,76,16,98,34.5,85.0,34.5,16.0,120632
KXITFMATCH-26APR17OHXFIT-FIT,ITF,KXITFMATCH-26APR17OHXFIT,leader,loss,1,1776462240,70.0,66,74,7,92,38.5,70.5,31.5,0.5,107588
KXITFMATCH-26APR17OHXFIT-OHX,ITF,KXITFMATCH-26APR17OHXFIT,underdog,win,99,1776462240,30.0,26,34,26,99,28.5,59.5,1.5,29.5,107902
KXITFMATCH-26APR18RAQDEC-RAQ,ITF,KXITFMATCH-26APR18RAQDEC,underdog,loss,1,1776476700,30.0,27,33,27,31,15.5,48.5,14.5,18.5,13886
KXITFMATCH-26APR18RAQDEC-DEC,ITF,KXITFMATCH-26APR18RAQDEC,leader,win,99,1776476700,70.0,67,73,67,98,62.5,80.0,7.5,10.0,13020
KXITFMATCH-26APR18RYAPEL-PEL,ITF,KXITFMATCH-26APR18RYAPEL,leader,win,99,1776474900,81.5,78,85,6,98,46.5,89.0,35.0,7.5,11814
KXITFMATCH-26APR18RYAPEL-RYA,ITF,KXITFMATCH-26APR18RYAPEL,underdog,loss,1,1776474900,18.5,15,22,6,25,11.0,54.5,7.5,36.0,28526
KXITFMATCH-26APR18PECSTR-STR,ITF,KXITFMATCH-26APR18PECSTR,underdog,win,99,1776478500,49.0,46,52,4,99,30.5,91.5,18.5,42.5,1223
KXITFMATCH-26APR18FANPAN-FAN,ITF,KXITFMATCH-26APR18FANPAN,underdog,win,99,1776478500,35.0,32,38,4,99,15.5,74.5,19.5,39.5,15129
KXITFMATCH-26APR18FANPAN-PAN,ITF,KXITFMATCH-26APR18FANPAN,leader,loss,1,1776478500,65.0,62,68,4,69,3.0,81.5,62.0,16.5,6127
KXITFMATCH-26APR18MASTAB-TAB,ITF,KXITFMATCH-26APR18MASTAB,underdog,win,99,1776482100,50.0,4,96,4,99,24.0,83.0,26.0,33.0,701
KXITFMATCH-26APR18PLAERE-ERE,ITF,KXITFMATCH-26APR18PLAERE,leader,win,99,1776482100,68.5,65,72,30,99,48.0,85.0,20.5,16.5,1562
KXITFMATCH-26APR18BERECH-BER,ITF,KXITFMATCH-26APR18BERECH,leader,win,99,1776482100,50.0,4,96,4,99,24.0,83.5,26.0,33.5,4308
KXITFMATCH-26APR18VANGHE-GHE,ITF,KXITFMATCH-26APR18VANGHE,leader,win,99,1776499440,50.0,6,94,4,99,47.0,97.5,3.0,47.5,103
KXITFMATCH-26APR18VANGHE-VAN,ITF,KXITFMATCH-26APR18VANGHE,underdog,loss,1,1776499440,50.0,6,94,4,50,25.5,72.5,24.5,22.5,1704
KXITFMATCH-26APR18SPEJON-JON,ITF,KXITFMATCH-26APR18SPEJON,leader,win,99,1776482100,50.0,4,96,4,98,49.0,96.5,1.0,46.5,695
KXITFMATCH-26APR18MARKOU-KOU,ITF,KXITFMATCH-26APR18MARKOU,leader,win,99,1776480240,50.0,6,94,4,99,40.0,86.0,10.0,36.0,21830
KXITFMATCH-26APR18MARKOU-MAR,ITF,KXITFMATCH-26APR18MARKOU,underdog,loss,1,1776480240,50.0,6,94,6,42,17.5,57.0,32.5,7.0,31857
KXITFMATCH-26APR18TURALM-ALM,ITF,KXITFMATCH-26APR18TURALM,leader,win,99,1776482100,50.0,4,96,4,99,35.0,82.5,15.0,32.5,367
KXITFMATCH-26APR18TURALM-TUR,ITF,KXITFMATCH-26APR18TURALM,underdog,loss,1,1776482100,50.0,4,96,4,36,2.5,64.0,47.5,14.0,670
KXITFMATCH-26APR18SAHGIM-GIM,ITF,KXITFMATCH-26APR18SAHGIM,leader,win,99,1776482100,50.0,4,96,4,99,49.0,84.5,1.0,34.5,1193
KXITFMATCH-26APR18BALJOR-JOR,ITF,KXITFMATCH-26APR18BALJOR,underdog,loss,1,1776487440,42.0,39,45,36,41,19.0,44.5,23.0,2.5,4196
KXITFMATCH-26APR18BALJOR-BAL,ITF,KXITFMATCH-26APR18BALJOR,leader,win,99,1776487440,58.0,55,61,21,99,42.5,71.5,15.5,13.5,29713
KXITFMATCH-26APR18DENLYN-LYN,ITF,KXITFMATCH-26APR18DENLYN,underdog,loss,1,1776507300,50.0,6,94,6,39,13.5,57.5,36.5,7.5,17154
KXITFMATCH-26APR18DENLYN-DEN,ITF,KXITFMATCH-26APR18DENLYN,leader,win,99,1776507300,50.0,6,94,6,98,50.0,88.5,0.0,38.5,29949
KXITFMATCH-26APR18ANTROB-ROB,ITF,KXITFMATCH-26APR18ANTROB,underdog,win,99,1776507300,50.0,6,94,6,98,17.0,59.0,33.0,9.0,31323
KXITFMATCH-26APR18ANTROB-ANT,ITF,KXITFMATCH-26APR18ANTROB,leader,loss,1,1776507300,50.0,6,94,6,83,42.0,88.5,8.0,38.5,26161
