ticker_id,n_ticks,duration_sec,entry_bid,entry_ask,final_bid,final_ask
KXATPCHALLENGERMATCH-26APR01DENSCH-SCH,60463,2902,71,74,98,99
KXATPCHALLENGERMATCH-26APR01RODSAR-SAR,100000,38990,19,29,98,99
KXATPCHALLENGERMATCH-26APR02ANDPAU-AND,94404,31949,22,26,1,5
KXATPCHALLENGERMATCH-26APR02DEMFOR-FOR,10254,2307,78,81,98,99
KXATPCHALLENGERMATCH-26APR02GUIHUE-GUI,100000,41317,78,83,1,2
KXATPCHALLENGERMATCH-26APR03BERDAL-BER,83548,5164,56,62,1,2
KXATPCHALLENGERMATCH-26APR03DUCZHU-DUC,60576,4353,80,81,98,99
KXATPCHALLENGERMATCH-26APR03FATSAC-FAT,98770,7377,37,38,1,2
KXATPCHALLENGERMATCH-26APR03HUEDIA-DIA,100000,41558,76,81,94,99
KXATPCHALLENGERMATCH-26APR03POLGIU-GIU,100000,38263,35,40,1,2
KXATPCHALLENGERMATCH-26APR03POLGIU-POL,100000,7669,57,59,98,99
KXATPCHALLENGERMATCH-26APR04BROELL-BRO,100000,5593,80,82,98,99
KXATPCHALLENGERMATCH-26APR04DALNEU-NEU,37733,2325,72,74,98,99
KXATPCHALLENGERMATCH-26APR04GILKRU-GIL,100000,8265,61,62,97,99
KXATPCHALLENGERMATCH-26APR04HEIDEL-DEL,100000,6236,43,44,94,99
KXATPCHALLENGERMATCH-26APR04HEIDEL-HEI,100000,6263,57,58,1,4
KXATPCHALLENGERMATCH-26APR05ALBGUE-ALB,69433,9246,31,32,1,2
KXATPCHALLENGERMATCH-26APR05ALBGUE-GUE,58483,22322,68,69,97,99
KXATPCHALLENGERMATCH-26APR05HOLLEO-HOL,100000,11901,79,80,97,99
KXATPCHALLENGERMATCH-26APR05HOLLEO-LEO,100000,9672,23,24,1,3
KXATPCHALLENGERMATCH-26APR05KARCOR-COR,100000,8929,60,61,1,10
KXATPCHALLENGERMATCH-26APR05KARCOR-KAR,100000,8417,41,42,92,99
KXATPCHALLENGERMATCH-26APR05KIESHE-KIE,90978,4118,25,28,2,3
KXATPCHALLENGERMATCH-26APR05KIESHE-SHE,96332,4084,72,73,97,99
KXATPCHALLENGERMATCH-26APR05KOPOBE-OBE,65197,6110,25,27,1,2
KXATPCHALLENGERMATCH-26APR05LANROC-LAN,18775,2433,79,82,98,99
KXATPCHALLENGERMATCH-26APR05NAGDAL-DAL,100000,7632,37,39,1,2
KXATPCHALLENGERMATCH-26APR05NAGDAL-NAG,100000,7630,62,63,98,99
KXATPCHALLENGERMATCH-26APR05OVECHA-CHA,100000,4744,19,26,97,99
KXATPCHALLENGERMATCH-26APR05OVECHA-OVE,100000,4748,76,83,1,2
KXATPCHALLENGERMATCH-26APR05PELOST-OST,256,2420,57,61,60,61
KXATPCHALLENGERMATCH-26APR05POLALV-ALV,100000,5250,68,69,1,2
KXATPCHALLENGERMATCH-26APR05RIBNEU-NEU,100000,7007,68,69,97,99
KXATPCHALLENGERMATCH-26APR05RIBNEU-RIB,100000,7583,27,28,1,2
KXATPCHALLENGERMATCH-26APR05TABPAR-PAR,100000,29290,59,65,94,99
KXATPCHALLENGERMATCH-26APR05TABPAR-TAB,100000,7283,37,38,1,7
KXATPCHALLENGERMATCH-26APR06BENKAR-BEN,97400,5843,80,83,98,99
KXATPCHALLENGERMATCH-26APR06BENKAR-KAR,99251,5679,16,19,1,2
KXATPCHALLENGERMATCH-26APR06BUTSAN-BUT,100000,8645,70,72,98,99
KXATPCHALLENGERMATCH-26APR06BUTSAN-SAN,100000,8217,32,34,1,2
KXATPCHALLENGERMATCH-26APR06DENHUE-DEN,100000,6241,21,23,98,99
KXATPCHALLENGERMATCH-26APR06FERVIL-FER,34481,4765,56,58,98,99
KXATPCHALLENGERMATCH-26APR06FERVIL-VIL,26516,3880,42,46,1,2
KXATPCHALLENGERMATCH-26APR06GOMCAN-CAN,100000,6932,61,62,1,18
KXATPCHALLENGERMATCH-26APR06LLAFER-FER,100000,10405,17,20,1,2
KXATPCHALLENGERMATCH-26APR06LLAFER-LLA,100000,10406,81,83,98,99
KXATPCHALLENGERMATCH-26APR06MARNAP-MAR,100000,5398,22,23,1,2
KXATPCHALLENGERMATCH-26APR06MARNAP-NAP,100000,5381,77,78,98,99
KXATPCHALLENGERMATCH-26APR06MARORL-MAR,100000,10612,58,61,1,10
KXATPCHALLENGERMATCH-26APR06MARORL-ORL,100000,10573,39,47,89,99
KXATPCHALLENGERMATCH-26APR06NUNREM-REM,100000,10589,16,21,97,99
KXATPCHALLENGERMATCH-26APR06PARSIM-PAR,100000,8046,32,33,1,2
KXATPCHALLENGERMATCH-26APR06TOSHUE-HUE,100000,25254,63,71,97,99
KXATPCHALLENGERMATCH-26APR06TOSHUE-TOS,100000,24823,32,33,2,3
KXATPCHALLENGERMATCH-26APR06WISHAY-HAY,100000,7955,21,27,93,99
KXATPCHALLENGERMATCH-26APR06WISHAY-WIS,100000,23428,79,84,1,10
KXATPCHALLENGERMATCH-26APR07ALVRAT-RAT,100000,4010,36,39,98,99
KXATPCHALLENGERMATCH-26APR07BICSCH-BIC,100000,35562,26,30,1,3
KXATPCHALLENGERMATCH-26APR07BLAROC-BLA,67950,6004,60,64,1,2
KXATPCHALLENGERMATCH-26APR07BUEFER-BUE,100000,6261,76,78,98,99
KXATPCHALLENGERMATCH-26APR07BUEFER-FER,100000,34115,25,29,1,2
KXATPCHALLENGERMATCH-26APR07FOMBOU-FOM,100000,5715,62,63,94,99
KXATPCHALLENGERMATCH-26APR07GALJOH-GAL,100000,5450,70,72,1,2
KXATPCHALLENGERMATCH-26APR07GALJOH-JOH,100000,5510,26,28,98,99
KXATPCHALLENGERMATCH-26APR07GOMSKA-GOM,44558,4242,25,26,1,2
KXATPCHALLENGERMATCH-26APR07GOMSKA-SKA,49237,4144,72,73,98,99
KXATPCHALLENGERMATCH-26APR07HAYZHU-HAY,52523,3705,17,18,1,2
KXATPCHALLENGERMATCH-26APR07HAYZHU-ZHU,45110,3674,81,84,97,99
KXATPCHALLENGERMATCH-26APR07HEIREI-HEI,54503,4572,78,79,98,99
KXATPCHALLENGERMATCH-26APR07HEIREI-REI,52091,4692,24,25,1,2
KXATPCHALLENGERMATCH-26APR07HEMMAR-HEM,100000,6273,43,46,92,99
KXATPCHALLENGERMATCH-26APR07MILFIC-FIC,100000,5387,82,83,98,99
KXATPCHALLENGERMATCH-26APR07MILFIC-MIL,93431,5408,17,18,1,2
KXATPCHALLENGERMATCH-26APR07RIBDIA-DIA,100000,10155,77,79,98,99
KXATPCHALLENGERMATCH-26APR07RIBDIA-RIB,100000,9843,25,26,1,5
KXATPCHALLENGERMATCH-26APR07VASBRA-VAS,100000,22702,65,69,1,3
KXATPCHALLENGERMATCH-26APR08ANDZIN-AND,100000,33176,60,62,90,99
KXATPCHALLENGERMATCH-26APR08DELOLI-DEL,100000,35545,69,74,98,99
KXATPCHALLENGERMATCH-26APR08HEMPIR-HEM,19528,2907,22,23,1,2
KXATPCHALLENGERMATCH-26APR08HEMPIR-PIR,25238,4815,71,74,98,99
KXATPCHALLENGERMATCH-26APR09ARTPAC-ART,100000,7424,23,24,1,3
KXATPCHALLENGERMATCH-26APR09HERFIC-FIC,100000,8216,78,80,1,4
KXATPCHALLENGERMATCH-26APR09PAVMAY-MAY,100000,8094,22,25,1,29
KXATPCHALLENGERMATCH-26APR09SCHSAF-SAF,92215,4316,58,59,1,3
KXATPCHALLENGERMATCH-26APR10JUSHEI-HEI,100000,5232,71,74,98,99
KXATPCHALLENGERMATCH-26APR10JUSHEI-JUS,100000,5233,25,28,1,2
KXATPCHALLENGERMATCH-26APR10KOTSIM-SIM,100000,20251,37,38,1,4
KXATPCHALLENGERMATCH-26APR10MORPIR-MOR,100000,8208,38,40,1,8
KXATPCHALLENGERMATCH-26APR10MORPIR-PIR,100000,8216,61,62,98,99
KXATPCHALLENGERMATCH-26APR10TRABEL-BEL,100000,9626,58,60,96,99
KXATPCHALLENGERMATCH-26APR10TRABEL-TRA,100000,9548,38,39,1,7
KXATPCHALLENGERMATCH-26APR11DUCCOL-COL,100000,5692,24,25,1,2
KXATPCHALLENGERMATCH-26APR11GALUCH-GAL,100000,237139,72,83,91,99
KXATPCHALLENGERMATCH-26APR11GALUCH-UCH,100000,243120,19,30,1,7
KXATPCHALLENGERMATCH-26APR12HOHJOH-HOH,55135,4873,16,22,1,3
KXATPCHALLENGERMATCH-26APR12HOHJOH-JOH,62439,4947,75,84,98,99
KXATPCHALLENGERMATCH-26APR12IMANAK-IMA,51693,5290,78,80,97,99
KXATPCHALLENGERMATCH-26APR12KOZKIR-KIR,36394,17374,18,19,1,2
KXATPCHALLENGERMATCH-26APR12KOZKIR-KOZ,34420,17463,81,83,98,99
KXATPCHALLENGERMATCH-26APR12KUZBUT-BUT,100000,7505,60,61,1,11
KXATPCHALLENGERMATCH-26APR12MARARI-ARI,6819,2897,14,73,1,2
KXATPCHALLENGERMATCH-26APR12NUNBAS-BAS,100000,8005,25,31,1,3
KXATPCHALLENGERMATCH-26APR12NUNBAS-NUN,100000,8228,78,79,96,98
KXATPCHALLENGERMATCH-26APR12OSTKIK-KIK,41317,3768,35,39,1,3
KXATPCHALLENGERMATCH-26APR12OSTKIK-OST,48830,3647,66,70,98,99
KXATPCHALLENGERMATCH-26APR12SAIHOU-HOU,1810,18920,59,60,40,74
KXATPCHALLENGERMATCH-26APR12SHISHA-SHA,100000,19723,60,62,98,99
KXATPCHALLENGERMATCH-26APR12SHISHA-SHI,100000,19769,37,39,1,2
KXATPCHALLENGERMATCH-26APR12SUALIN-LIN,11572,2609,80,85,99,99
KXATPCHALLENGERMATCH-26APR12SUALIN-SUA,8525,1670,18,19,1,2
KXATPCHALLENGERMATCH-26APR12TROLEO-LEO,89366,3945,77,79,98,99
KXATPCHALLENGERMATCH-26APR12TROLEO-TRO,77538,6081,23,24,1,2
KXATPCHALLENGERMATCH-26APR12ZARSCH-ZAR,4853,19076,79,84,80,89
KXATPCHALLENGERMATCH-26APR12ZEICAV-ZEI,51712,4838,70,75,98,99
KXATPCHALLENGERMATCH-26APR13BARVAN-BAR,52939,4455,81,84,97,99
KXATPCHALLENGERMATCH-26APR13BARVAN-VAN,53866,4424,18,19,1,3
KXATPCHALLENGERMATCH-26APR13CASTOR-CAS,79734,5083,38,39,1,2
KXATPCHALLENGERMATCH-26APR13GADSHI-GAD,100000,12728,57,60,97,99
KXATPCHALLENGERMATCH-26APR13GADSHI-SHI,100000,12647,36,41,1,2
KXATPCHALLENGERMATCH-26APR13GRABIN-GRA,100000,4562,81,83,1,3
KXATPCHALLENGERMATCH-26APR13LLAKUZ-KUZ,60066,6171,16,18,1,2
KXATPCHALLENGERMATCH-26APR13LLAKUZ-LLA,57217,6165,80,84,98,99
KXATPCHALLENGERMATCH-26APR13MAGLAN-LAN,100000,5050,76,78,98,99
KXATPCHALLENGERMATCH-26APR13MORBRO-BRO,26462,2515,70,75,98,99
KXATPCHALLENGERMATCH-26APR13SCHVIL-VIL,97264,5708,79,80,98,99
KXATPCHALLENGERMATCH-26APR13TOKWON-TOK,93884,5831,17,21,1,2
KXATPCHALLENGERMATCH-26APR13TOKWON-WON,78944,5788,82,83,98,99
KXATPCHALLENGERMATCH-26APR14JASJON-JAS,100000,7435,37,40,1,3
KXATPCHALLENGERMATCH-26APR14JASJON-JON,100000,38904,60,62,97,99
KXATPCHALLENGERMATCH-26MAR20AVEMAR-MAR,91198,4217,57,61,98,99
KXATPCHALLENGERMATCH-26MAR20HUEZIN-ZIN,72591,2912,26,28,97,99
KXATPCHALLENGERMATCH-26MAR23ELLKWON-ELL,44839,3230,17,19,1,2
KXATPCHALLENGERMATCH-26MAR23ELLKWON-KWON,44325,3152,79,83,98,99
KXATPCHALLENGERMATCH-26MAR23MOCSMI-MOC,100000,7872,59,62,96,99
KXATPCHALLENGERMATCH-26MAR23RODGOM-ROD,24789,2161,78,79,98,99
KXATPCHALLENGERMATCH-26MAR24AJDCAM-CAM,100000,4879,26,27,1,2
KXATPCHALLENGERMATCH-26MAR24ALTDAM-ALT,100000,4482,68,70,98,99
KXATPCHALLENGERMATCH-26MAR24BLAENG-BLA,28329,3413,31,32,99,99
KXATPCHALLENGERMATCH-26MAR24BUEHUE-BUE,1031,4334,74,85,98,99
KXATPCHALLENGERMATCH-26MAR24BUETIR-TIR,804,17508,70,72,71,85
KXATPCHALLENGERMATCH-26MAR24CANVAS-CAN,58442,10026,43,44,98,99
KXATPCHALLENGERMATCH-26MAR24CANVAS-VAS,54417,3588,56,61,1,2
KXATPCHALLENGERMATCH-26MAR24CECLAJ-CEC,90111,9874,37,38,97,99
KXATPCHALLENGERMATCH-26MAR24CECLAJ-LAJ,84040,9907,62,63,1,2
KXATPCHALLENGERMATCH-26MAR24GEOMAR-GEO,100000,8376,31,33,1,2
KXATPCHALLENGERMATCH-26MAR24JUSFER-FER,100000,6356,22,25,1,2
KXATPCHALLENGERMATCH-26MAR24KOZMAR-MAR,100000,4931,35,39,98,99
KXATPCHALLENGERMATCH-26MAR24MARSAN-SAN,26841,3797,24,27,1,2
KXATPCHALLENGERMATCH-26MAR24MERHOU-HOU,100000,8501,28,29,92,99
