match_id,tour,side,pinnacle_open,pinnacle_close,kalshi_open,kalshi_close,max_bounce,entry_mid,match_result,cell_exit_cents
KXATPMATCH-26MAR20MAJTIE-TIE,ATP_MAIN,leader,50.0,73.4,78.5,78.0,1.0,78.0,loss,0
KXATPMATCH-26APR11ALCMUL-ALC,ATP_MAIN,underdog,91.3,50.4,20.5,20.0,29.5,20.0,loss,0
KXATPMATCH-26APR09VACHUR-VAC,ATP_MAIN,leader,57.2,36.7,61.5,62.0,38.0,62.0,loss,36
KXATPMATCH-26APR09VACHUR-HUR,ATP_MAIN,underdog,42.8,42.8,38.5,38.0,41.0,38.0,loss,31
KXWTAMATCH-26MAR19NOSCIR-NOS,WTA_MAIN,leader,55.4,55.5,55.5,56.0,4.0,56.0,loss,0
KXWTAMATCH-26MAR19NOSCIR-CIR,WTA_MAIN,underdog,44.6,44.5,45.5,46.0,1.0,46.0,loss,0
KXATPMATCH-26APR09BLODE-BLO,ATP_MAIN,underdog,27.6,27.6,21.0,21.0,35.5,21.0,loss,0
KXATPMATCH-26APR09BLODE-DE,ATP_MAIN,leader,72.4,63.3,76.0,76.0,23.5,76.0,win,25
KXATPMATCH-26MAR26CERZVE-ZVE,ATP_MAIN,leader,71.1,71.3,73.5,74.0,26.0,74.0,win,0
KXATPMATCH-26MAR26CERZVE-CER,ATP_MAIN,underdog,28.9,28.7,26.5,26.0,23.5,26.0,loss,23
KXATPMATCH-26MAR29KOPMED-MED,ATP_MAIN,leader,22.2,22.2,58.0,58.0,37.0,58.0,loss,0
KXATPMATCH-26MAR20BUBBER-BER,ATP_MAIN,underdog,49.4,54.6,39.0,39.0,1.5,39.0,loss,31
KXATPMATCH-26MAR20BUBBER-BUB,ATP_MAIN,leader,59.4,59.7,61.5,62.0,0.0,62.0,loss,36
KXWTAMATCH-26MAR31BAPZAR-ZAR,WTA_MAIN,underdog,48.9,27.6,27.0,27.0,72.5,27.0,win,23
KXWTAMATCH-26MAR31BAPZAR-BAP,WTA_MAIN,leader,51.1,72.4,70.0,70.0,27.5,70.0,loss,27
KXATPMATCH-26MAR20VUKJOD-JOD,ATP_MAIN,leader,69.3,76.7,76.5,77.0,22.5,77.0,win,25
KXATPMATCH-26MAR20VUKJOD-VUK,ATP_MAIN,underdog,30.7,23.3,24.5,24.0,25.5,24.0,loss,25
KXWTAMATCH-26MAR20JOVBAD-BAD,WTA_MAIN,underdog,42.4,40.1,37.5,38.0,12.5,38.0,loss,0
KXWTAMATCH-26MAR20JOVBAD-JOV,WTA_MAIN,leader,57.6,59.9,63.5,64.0,36.0,64.0,win,0
KXATPMATCH-26APR04STRBAS-BAS,ATP_MAIN,underdog,41.5,45.2,39.0,39.0,60.5,39.0,win,31
KXATPMATCH-26APR04STRBAS-STR,ATP_MAIN,leader,58.5,58.5,61.0,61.0,13.0,61.0,loss,36
KXATPMATCH-26APR04MAEBLO-BLO,ATP_MAIN,leader,62.2,62.2,63.5,64.0,36.0,64.0,win,36
KXATPMATCH-26APR04MAEBLO-MAE,ATP_MAIN,underdog,37.8,37.8,37.0,37.0,25.5,37.0,loss,31
KXWTAMATCH-26APR01MARARA-MAR,WTA_MAIN,underdog,46.2,28.4,44.5,44.0,33.0,44.0,loss,60
KXATPMATCH-26APR08AUGCIL-AUG,ATP_MAIN,leader,68.0,44.7,65.0,65.0,34.5,65.0,win,0
KXATPMATCH-26APR08AUGCIL-CIL,ATP_MAIN,underdog,32.0,32.0,35.5,36.0,14.5,36.0,loss,0
KXWTAMATCH-26MAR31SHEYUA-YUA,WTA_MAIN,underdog,45.6,50.0,42.5,42.0,57.0,42.0,win,60
KXWTAMATCH-26MAR31SHEYUA-SHE,WTA_MAIN,leader,54.4,54.4,59.5,60.0,36.5,60.0,loss,0
KXATPMATCH-26MAR20NAVVAC-NAV,ATP_MAIN,underdog,34.7,35.2,33.0,34.0,16.5,34.0,loss,0
KXATPMATCH-26MAR20NAVVAC-VAC,ATP_MAIN,leader,65.3,64.8,67.5,68.0,32.0,68.0,win,0
KXATPMATCH-26APR08MEDBER-BER,ATP_MAIN,underdog,32.6,42.5,32.5,32.0,67.0,32.0,win,17
KXATPMATCH-26APR08MEDBER-MED,ATP_MAIN,leader,67.4,67.4,69.5,70.0,6.0,70.0,loss,17
KXWTAMATCH-26MAR19BOUTAU-TAU,WTA_MAIN,leader,64.5,64.5,65.5,66.0,0.0,66.0,loss,0
KXWTAMATCH-26MAR19BOUTAU-BOU,WTA_MAIN,underdog,35.5,35.5,35.5,36.0,0.5,36.0,loss,33
KXATPMATCH-26MAR23TABMIC-MIC,ATP_MAIN,leader,60.7,61.1,61.0,61.0,38.5,61.0,win,36
KXATPMATCH-26MAR23TABMIC-TAB,ATP_MAIN,underdog,39.3,38.9,39.0,39.0,13.5,39.0,loss,31
KXATPMATCH-26MAR18WALBAE-BAE,ATP_MAIN,leader,49.8,57.3,56.5,56.0,0.5,56.0,loss,0
KXATPMATCH-26MAR18WALBAE-WAL,ATP_MAIN,underdog,50.2,42.7,43.5,44.0,0.0,44.0,loss,0
KXWTAMATCH-26MAR31PEGPUT-PUT,WTA_MAIN,underdog,40.4,14.8,12.5,12.0,53.0,12.0,loss,0
KXWTAMATCH-26MAR31PEGPUT-PEG,WTA_MAIN,leader,59.6,85.2,87.5,88.0,12.0,88.0,win,0
KXATPMATCH-26APR08FONRIN-FON,ATP_MAIN,leader,74.3,57.5,75.5,76.0,24.0,76.0,win,25
KXATPMATCH-26APR08FONRIN-RIN,ATP_MAIN,underdog,25.7,25.7,22.5,22.0,30.0,22.0,loss,25
KXATPMATCH-26APR04BUSGOF-BUS,ATP_MAIN,leader,78.0,78.0,78.0,78.0,17.5,78.0,loss,0
KXATPMATCH-26APR04BUSGOF-GOF,ATP_MAIN,underdog,22.0,36.9,22.5,22.0,77.0,22.0,win,25
KXATPMATCH-26APR05BAEWAW-BAE,ATP_MAIN,leader,70.5,70.4,69.5,70.0,30.0,70.0,win,17
KXATPMATCH-26APR05BAEWAW-WAW,ATP_MAIN,underdog,29.5,29.6,32.0,32.0,26.5,32.0,loss,17
