code,ticker,cell,entry_ts,entry_c,settle_ts,old_dca_drop,old_exit_target,old_strategy,initial_sell_target,n_ticks,max_bid,max_bid_ts,min_bid,min_bid_ts,dca_fired,dca_ts,dca_price,blended_avg,result_event,final_sell_c,final_sell_ts,new_actual_pnl_c,old_counterfactual_pnl_c,delta_c_old_minus_new
IMA,KXATPCHALLENGERMATCH-26APR15IMABOU-IMA,ATP_CHALL|leader|60|64,2026-04-15 01:15:01,61,2026-04-15 05:08:21,25,25,B,86,194596,63,2026-04-15 03:28:40,0,2026-04-15 05:04:44,True,2026-04-15 03:43:40,36,53,SETTLED_LOST,0,2026-04-15 05:08:21,-780,-795,-15
TSE,KXATPCHALLENGERMATCH-26APR15SCHTSE-TSE,ATP_CHALL|underdog|40|44,2026-04-15 07:36:27,44,2026-04-15 09:03:46,30,25,A,69,62712,44,2026-04-15 07:36:27,0,2026-04-15 08:37:45,True,2026-04-15 08:16:44,14,23,SETTLED_LOST,0,2026-04-15 09:03:46,-88,-161,-73
LEO,KXATPCHALLENGERMATCH-26APR15LEOSHI-LEO,ATP_CHALL|leader|65|69,2026-04-15 05:28:22,69,2026-04-15 06:28:27,15,30,B,99,83660,74,2026-04-15 05:33:19,0,2026-04-15 06:24:45,True,2026-04-15 05:39:25,53,64,SETTLED_LOST,0,2026-04-15 06:28:27,-690,-960,-270
DRA,KXATPCHALLENGERMATCH-26APR15DRAREI-DRA,ATP_CHALL|leader|65|69,2026-04-15 11:06:32,69,2026-04-15 12:54:06,15,30,B,99,259378,76,2026-04-15 11:38:05,0,2026-04-15 12:48:56,True,2026-04-15 11:23:36,54,64,SETTLED_LOST,0,2026-04-15 12:54:06,-690,-960,-270
LAJ,KXATPCHALLENGERMATCH-26APR15HOULAJ-LAJ,ATP_CHALL|leader|70|74,2026-04-15 09:10:18,72,2026-04-15 11:13:56,30,10,B,82,264032,83,2026-04-15 09:29:47,0,2026-04-15 10:58:10,False,,,,SOLD_AT_TARGET_PRE_DCA,82,2026-04-15 09:29:28,-975,20,995
JAC,KXWTAMATCH-26APR13MARJAC-JAC,WTA_MAIN|leader|70|74,2026-04-15 08:07:35,72,2026-04-15 10:08:55,30,10,B,82,114355,89,2026-04-15 08:46:22,0,2026-04-15 10:01:10,False,,,,SOLD_AT_TARGET_PRE_DCA,82,2026-04-15 08:30:42,-960,40,1000
