cell_id,dca_drop,exit_target,strategy_AB,n_trades,win_rate,mean_roi,median_roi,p25_roi,p75_roi,max_loss,total_pnl_baby
ATP_CHALL_leader_55-59,25,hold99,A,88,60.2,10.95,67.8,-100.0,67.8,760,3805
ATP_CHALL_leader_55-59,25,hold99,B,88,60.2,10.95,67.8,-100.0,67.8,760,3805
ATP_CHALL_leader_55-59,25,1,A,88,80.7,-3.47,1.69,1.69,18.42,760,-2370
ATP_CHALL_leader_55-59,25,1,B,88,80.7,-6.52,1.69,1.69,2.63,760,-4410
ATP_CHALL_leader_55-59,25,2,A,88,80.7,-3.76,3.39,3.39,16.14,760,-2605
ATP_CHALL_leader_55-59,25,2,B,88,80.7,-6.09,3.39,3.39,4.3,760,-4165
ATP_CHALL_leader_55-59,25,3,A,88,81.8,-1.67,5.08,5.08,22.37,760,-1570
ATP_CHALL_leader_55-59,25,3,B,88,83.0,-3.15,5.08,5.08,6.58,760,-2560
ATP_CHALL_leader_55-59,25,4,A,88,80.7,-2.74,6.78,6.78,6.78,760,-2325
ATP_CHALL_leader_55-59,25,4,B,88,81.8,-3.83,6.78,6.78,6.78,760,-3060
ATP_CHALL_leader_55-59,25,5,A,88,83.0,0.49,8.47,8.47,8.47,760,-390
ATP_CHALL_leader_55-59,25,5,B,88,84.1,-0.76,8.47,8.47,8.47,760,-1230
ATP_CHALL_leader_55-59,26,hold99,A,88,60.2,11.27,67.8,-100.0,67.8,755,4070
ATP_CHALL_leader_55-59,26,hold99,B,88,60.2,11.27,67.8,-100.0,67.8,755,4070
ATP_CHALL_leader_55-59,26,1,A,88,79.5,-4.67,1.69,1.69,19.21,755,-3150
ATP_CHALL_leader_55-59,26,1,B,88,79.5,-7.92,1.69,1.32,1.69,755,-5310
ATP_CHALL_leader_55-59,26,2,A,88,79.5,-5.02,3.39,3.39,3.39,755,-3420
ATP_CHALL_leader_55-59,26,2,B,88,79.5,-7.46,3.39,3.31,3.39,755,-5040
