cell_id,dca_drop,exit_target,strategy_AB,n_trades,win_rate,mean_roi,median_roi,p25_roi,p75_roi,max_loss,total_pnl_baby
ATP_CHALL_leader_55-59,,hold99,NA,88,60.2,4.22,67.8,-100.0,67.8,590,2190
ATP_CHALL_leader_55-59,,5,NA,88,79.5,-4.31,8.47,8.47,8.47,590,-2240
ATP_CHALL_leader_55-59,,10,NA,88,78.4,-1.98,16.95,16.95,16.95,590,-1030
ATP_CHALL_leader_55-59,,15,NA,88,75.0,-1.69,25.42,-1.27,25.42,590,-880
ATP_CHALL_leader_55-59,,20,NA,88,73.9,3.2,33.9,-3.39,33.9,590,1660
ATP_CHALL_leader_55-59,,25,NA,88,68.2,0.98,42.37,-100.0,42.37,590,510
ATP_CHALL_leader_55-59,,30,NA,88,64.8,1.44,50.85,-100.0,50.85,590,750
ATP_CHALL_leader_55-59,5,hold99,A,88,60.2,6.79,72.67,-100.0,72.67,860,4135
ATP_CHALL_leader_55-59,5,hold99,B,88,60.2,6.79,72.67,-100.0,72.67,860,4135
ATP_CHALL_leader_55-59,5,5,A,88,88.6,2.84,11.63,8.47,11.63,860,1610
ATP_CHALL_leader_55-59,5,5,B,88,89.8,2.01,8.14,8.14,8.47,860,980
ATP_CHALL_leader_55-59,5,10,A,88,80.7,0.87,20.35,16.95,20.35,860,-405
ATP_CHALL_leader_55-59,5,10,B,88,83.0,1.5,16.86,16.86,16.86,860,75
ATP_CHALL_leader_55-59,5,15,A,88,77.3,2.28,29.07,25.42,29.07,860,720
ATP_CHALL_leader_55-59,5,15,B,88,79.5,3.11,25.58,25.42,25.58,860,1350
ATP_CHALL_leader_55-59,5,20,A,88,75.0,6.23,37.79,-1.27,37.79,860,3620
ATP_CHALL_leader_55-59,5,20,B,88,77.3,6.57,34.3,14.58,34.3,860,3875
ATP_CHALL_leader_55-59,5,25,A,88,69.3,4.36,46.51,-88.66,46.51,860,2245
ATP_CHALL_leader_55-59,5,25,B,88,71.6,5.67,43.02,-37.27,43.02,860,3235
ATP_CHALL_leader_55-59,5,30,A,88,64.8,3.76,55.23,-100.0,55.23,860,2110
ATP_CHALL_leader_55-59,5,30,B,88,64.8,1.81,51.74,-100.0,51.74,860,640
