ticker,cell,fill_price,anchor_source,play_type,ts
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,ATP_CHALL_leader_80-84,80,,C_discount,2026-04-26 01:41:34 AM ET
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,ATP_CHALL_underdog_20-24,21,,C_discount,2026-04-26 02:08:11 AM ET
KXATPMATCH-26APR26GRIMUS-GRI,ATP_MAIN_underdog_20-24,20,,C_discount,2026-04-26 02:30:57 AM ET
KXWTAMATCH-26APR26PEGKOS-KOS,WTA_MAIN_underdog_40-44,42,,C_discount,2026-04-26 02:37:23 AM ET
KXATPMATCH-26APR26KOPRIN-RIN,ATP_MAIN_leader_55-59,59,,C_discount,2026-04-26 02:42:06 AM ET
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,WTA_CHALL_leader_60-64,62,,C_discount,2026-04-26 03:16:38 AM ET
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,WTA_CHALL_leader_60-64,61,,C_discount,2026-04-26 03:32:13 AM ET
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,ATP_CHALL_underdog_25-29,25,,C_discount,2026-04-26 03:42:07 AM ET
KXWTAMATCH-26APR25NOSSAM-SAM,WTA_MAIN_underdog_35-39,39,,C_discount,2026-04-26 04:09:50 AM ET
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,ATP_CHALL_underdog_45-49,49,,C_discount,2026-04-26 04:10:36 AM ET
KXWTAMATCH-26APR26SINMCC-MCC,WTA_MAIN_leader_55-59,56,,C_discount,2026-04-26 04:36:42 AM ET
KXWTAMATCH-26APR25NOSSAM-NOS,WTA_MAIN_leader_60-64,61,,C_discount,2026-04-26 04:46:39 AM ET
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,ATP_CHALL_underdog_25-29,28,,C_discount,2026-04-26 05:48:48 AM ET
KXATPMATCH-26APR26FONJOD-FON,ATP_MAIN_underdog_45-49,46,,C_discount,2026-04-26 05:55:42 AM ET
KXWTAMATCH-26APR25POTOST-POT,WTA_MAIN_underdog_45-49,47,,C_discount,2026-04-26 06:09:21 AM ET
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,WTA_CHALL_leader_60-64,60,,C_discount,2026-04-26 08:12:29 AM ET
