cell,status,N,avg_entry,TWP,mispricing,scalp_WR_pct,exit_cents,ROI_pct,dollar_per_fill,daily_fires,daily_dollar,dca_A_roi,dca_A_trigger,dca_A_fire_rate,dca_A_win_rate,dca_B_roi,dca_B_trigger,dca_B_fire_rate,dca_B_win_rate,avg_duration_h,win_count,loss_count,confidence,recommendation
ATP_CHALL_leader_50-54,ACTIVE,119,51.9,0.454,-6.5,74.8,15,18.5,0.96,2.12,2.04,-0.9,7,7.1,67.2,-1.0,7,7.1,68.8,14.6,54,65,HIGH,KEEP
ATP_CHALL_leader_55-59,ACTIVE,145,56.9,0.510,-5.9,75.2,20,23.8,1.36,2.59,3.51,-3.0,20,8.2,46.5,-3.0,20,8.2,51.2,13.8,74,71,HIGH,KEEP
ATP_CHALL_leader_60-64,disabled,129,62.1,0.690,6.9,96.1,6,9.7,0.60,2.30,1.39,0.1,10,4.6,88.1,-0.2,10,4.6,88.1,15.1,89,40,HIGH,RE-ENABLE
ATP_CHALL_leader_65-69,ACTIVE,131,66.9,0.664,-0.5,69.5,30,30.8,2.06,2.34,4.82,-1.9,20,7.9,50.6,-0.4,10,9.8,65.6,13.3,87,44,HIGH,KEEP
ATP_CHALL_leader_70-74,ACTIVE,99,72.0,0.818,9.8,80.8,25,30.5,2.20,1.77,3.88,-1.6,15,8.5,59.4,-0.9,7,11.0,68.7,12.9,81,18,HIGH,KEEP
ATP_CHALL_leader_75-79,ACTIVE,89,76.8,0.730,-3.7,88.8,10,10.9,0.84,1.59,1.34,-0.9,20,6.6,72.2,-0.7,20,6.6,80.6,12.4,65,24,HIGH,KEEP
ATP_CHALL_leader_80-84,ACTIVE,79,82.0,0.810,-1.0,84.8,15,15.2,1.25,1.41,1.76,-2.8,15,9.9,63.0,-1.8,7,13.5,76.2,11.5,64,15,HIGH,KEEP
ATP_CHALL_leader_85-89,ACTIVE,62,86.0,0.806,-5.3,91.9,7,6.9,0.60,1.11,0.66,0.1,15,5.3,88.2,-0.2,10,6.5,90.5,14.4,50,12,HIGH,KEEP
ATP_CHALL_underdog_10-14,ACTIVE,38,11.9,0.053,-6.6,36.8,30,62.5,0.74,0.68,0.50,8.3,5,14.6,34.5,7.3,5,14.6,34.5,13.2,2,36,MEDIUM,KEEP
ATP_CHALL_underdog_15-19,disabled,65,17.2,0.169,-0.3,43.1,31,79.0,1.36,1.16,1.58,-5.2,3,24.2,27.0,-5.8,3,24.2,27.0,11.8,11,54,HIGH,STAY-OFF
ATP_CHALL_underdog_20-24,ACTIVE,70,22.2,0.271,4.9,60.0,15,50.2,1.12,1.25,1.39,-3.2,7,17.1,43.6,-3.5,5,18.8,47.5,11.9,19,51,HIGH,KEEP
ATP_CHALL_underdog_25-29,disabled,91,26.7,0.187,-8.0,53.8,21,29.6,0.79,1.62,1.28,-0.1,3,23.0,52.7,-0.8,3,23.0,52.7,13.2,17,74,HIGH,STAY-OFF
ATP_CHALL_underdog_30-34,disabled,101,32.2,0.198,-12.4,62.4,15,15.2,0.49,1.80,0.89,-3.2,3,18.6,57.3,-3.7,3,18.6,57.3,13.6,20,81,HIGH,STAY-OFF
ATP_CHALL_underdog_35-39,ACTIVE,132,36.9,0.303,-6.6,75.0,11,18.1,0.67,2.36,1.58,-1.0,5,16.6,69.9,-0.8,10,13.0,71.6,14.1,40,92,HIGH,KEEP
ATP_CHALL_underdog_40-44,ACTIVE,139,41.7,0.417,-0.0,62.6,30,45.1,1.88,2.48,4.67,-1.6,5,16.6,51.7,-1.8,5,16.6,52.4,13.2,58,81,HIGH,KEEP
ATP_CHALL_underdog_45-49,ACTIVE,134,46.8,0.537,6.9,73.9,13,24.3,1.14,2.39,2.72,-1.5,5,11.2,68.1,-1.7,5,11.2,69.2,14.8,72,62,HIGH,KEEP
ATP_MAIN_leader_50-54,ACTIVE,43,51.7,0.442,-7.5,74.4,12,13.6,0.70,0.77,0.54,-1.7,25,2.5,30.8,-1.7,20,2.5,38.5,27.6,19,24,MEDIUM,KEEP
ATP_MAIN_leader_55-59,disabled,27,57.1,0.556,-1.6,66.7,13,14.2,0.81,0.48,0.39,-1.4,10,3.7,56.0,-1.1,20,2.5,52.9,29.4,15,12,LOW,STAY-OFF
ATP_MAIN_leader_60-64,disabled,31,61.7,0.677,6.0,80.6,15,21.4,1.32,0.55,0.73,-0.8,10,4.9,66.7,-0.5,10,4.9,74.1,33.4,21,10,MEDIUM,RE-ENABLE
