ticker,cell,type,entry_price,exit_price,result,pnl_cents,pnl_dollars,ts
KXATPCHALLENGERMATCH-26APR20ATLCHE-CHE,?,settlement,27,1,LOSS,-260,-2.6,2026-04-20 05:50:08 AM ET
KXATPCHALLENGERMATCH-26APR20RIBROM-RIB,?,settlement,68,1,LOSS,-670,-6.7,2026-04-20 05:54:30 AM ET
KXATPCHALLENGERMATCH-26APR20RIBROM-ROM,?,settlement,31,99,WIN,680,6.8,2026-04-20 05:54:30 AM ET
KXATPCHALLENGERMATCH-26APR20LAOST-LA,?,settlement,51,1,LOSS,-750,-7.5,2026-04-20 06:26:39 AM ET
KXATPCHALLENGERMATCH-26APR20LAOST-OST,?,settlement,37,99,WIN,620,6.2,2026-04-20 06:26:39 AM ET
KXATPCHALLENGERMATCH-26APR20MARGUE-GUE,?,settlement,53,99,WIN,690,6.9,2026-04-20 06:45:16 AM ET
KXATPCHALLENGERMATCH-26APR20MARGUE-MAR,?,settlement,36,1,LOSS,-350,-3.5,2026-04-20 06:45:16 AM ET
KXATPMATCH-26APR20MOLGAS-GAS,?,settlement,72,1,LOSS,-1420,-14.2,2026-04-20 07:01:35 AM ET
KXATPMATCH-26APR20MOLGAS-MOL,?,settlement,32,99,WIN,670,6.7,2026-04-20 07:01:51 AM ET
KXATPCHALLENGERMATCH-26APR20KRUVAS-VAS,?,settlement,41,99,WIN,870,8.7,2026-04-20 07:03:31 AM ET
KXATPMATCH-26APR20VIRDRO-VIR,?,settlement,44,1,LOSS,-430,-4.3,2026-04-20 07:19:34 AM ET
KXATPMATCH-26APR20VUKLLA-VUK,?,settlement,22,1,LOSS,-210,-2.1,2026-04-20 07:23:51 AM ET
KXATPMATCH-26APR20VUKLLA-LLA,?,settlement,76,99,WIN,207,2.07,2026-04-20 07:26:16 AM ET
KXATPCHALLENGERMATCH-26APR20BERSEL-SEL,?,settlement,53,99,WIN,230,2.3,2026-04-20 07:47:37 AM ET
KXATPCHALLENGERMATCH-26APR20BARBRO-BRO,?,settlement,68,1,LOSS,-670,-6.7,2026-04-20 08:19:28 AM ET
KXATPCHALLENGERMATCH-26APR20BARBRO-BAR,?,settlement,32,99,WIN,670,6.7,2026-04-20 08:19:28 AM ET
KXATPMATCH-26APR20HARMCD-MCD,?,settlement,43,1,LOSS,-420,-4.2,2026-04-20 08:26:51 AM ET
KXATPCHALLENGERMATCH-26APR20FORCAR-FOR,?,settlement,63,99,WIN,540,5.4,2026-04-20 08:38:23 AM ET
KXATPCHALLENGERMATCH-26APR20FORCAR-CAR,?,settlement,32,1,LOSS,-310,-3.1,2026-04-20 08:41:53 AM ET
KXATPMATCH-26APR20HARMER-HAR,?,settlement,22,1,LOSS,-210,-2.1,2026-04-20 09:28:33 AM ET
KXATPMATCH-26APR20HARMER-MER,?,settlement,79,99,WIN,200,2.0,2026-04-20 09:28:33 AM ET
KXATPCHALLENGERMATCH-26APR20SVRVAS-SVR,?,settlement,108,99,WIN,-36,-0.36,2026-04-20 09:51:15 AM ET
