ticker,fill_ts,cell,fill_price,exit_cents_at_fill,config_hash,config_date,days_since_config_change,outcome,pnl_cents,pnl_dollars,pnl_pct,before_apr26_retune
KXATPCHALLENGERMATCH-26APR24ERESTE-STE,2026-04-24 02:21:26 PM ET,ATP_CHALL_underdog_40-44,48,6,f79697f4,2026-04-24 00:15,0.6,scalp,60,6.00,125.0,True
KXATPCHALLENGERMATCH-26APR24BAXHEM-BAX,2026-04-24 02:55:57 PM ET,ATP_CHALL_underdog_35-39,38,11,f79697f4,2026-04-24 00:15,0.6,scalp,310,31.00,815.8,True
KXATPCHALLENGERMATCH-26APR24CHABEN-BEN,2026-04-24 03:38:06 PM ET,ATP_CHALL_leader_55-59,57,5,f79697f4,2026-04-24 00:15,0.6,scalp,50,5.00,87.7,True
KXATPCHALLENGERMATCH-26APR24KWONHSU-HSU,2026-04-24 10:06:06 PM ET,ATP_CHALL_underdog_25-29,28,21,f79697f4,2026-04-24 00:15,0.9,settle_loss,-270,-27.00,-964.3,True
KXATPCHALLENGERMATCH-26APR24HOLRIE-HOL,2026-04-24 10:17:23 PM ET,ATP_CHALL_underdog_25-29,38,21,f79697f4,2026-04-24 00:15,0.9,scalp,210,21.00,552.6,True
KXATPCHALLENGERMATCH-26APR25SKAFOM-FOM,2026-04-25 02:09:33 AM ET,ATP_CHALL_underdog_20-24,23,25,f79697f4,2026-04-24 00:15,1.1,scalp,260,26.00,1130.4,True
KXATPMATCH-26APR24CERHAN-HAN,2026-04-25 02:10:01 AM ET,ATP_MAIN_underdog_30-34,28,15,f79697f4,2026-04-24 00:15,1.1,settle_loss,-270,-27.00,-964.3,True
KXWTAMATCH-26APR25BENSHN-BEN,2026-04-25 02:26:06 AM ET,WTA_MAIN_leader_60-64,61,8,f79697f4,2026-04-24 00:15,1.1,scalp,80,8.00,131.1,True
KXATPMATCH-26APR24MUNRUU-MUN,2026-04-25 02:33:47 AM ET,ATP_MAIN_underdog_30-34,30,15,f79697f4,2026-04-24 00:15,1.1,settle_loss,-290,-29.00,-966.7,True
KXWTAMATCH-26APR25SAMBON-BON,2026-04-25 02:33:51 AM ET,WTA_MAIN_leader_70-74,74,25,f79697f4,2026-04-24 00:15,1.1,scalp,240,24.00,324.3,True
KXWTAMATCH-26APR25BENSHN-SHN,2026-04-25 02:50:34 AM ET,WTA_MAIN_underdog_35-39,38,11,f79697f4,2026-04-24 00:15,1.1,settle_loss,-370,-37.00,-973.7,True
KXATPMATCH-26APR24DAVCAR-CAR,2026-04-25 02:51:07 AM ET,ATP_MAIN_underdog_35-39,35,12,f79697f4,2026-04-24 00:15,1.1,settle_loss,-340,-34.00,-971.4,True
KXATPMATCH-26APR24CERHAN-CER,2026-04-25 02:59:35 AM ET,ATP_MAIN_leader_70-74,71,17,f79697f4,2026-04-24 00:15,1.1,scalp,170,17.00,239.4,True
KXWTAMATCH-26APR25FERJOV-FER,2026-04-25 03:16:14 AM ET,WTA_MAIN_underdog_35-39,39,11,f79697f4,2026-04-24 00:15,1.1,scalp,110,11.00,282.1,True
KXATPMATCH-26APR24HUMATM-HUM,2026-04-25 04:09:45 AM ET,ATP_MAIN_underdog_40-44,44,9,f79697f4,2026-04-24 00:15,1.2,scalp,90,9.00,204.5,True
KXATPMATCH-26APR24NAKBLO-NAK,2026-04-25 04:55:08 AM ET,ATP_MAIN_underdog_40-44,41,9,f79697f4,2026-04-24 00:15,1.2,scalp,100,10.00,243.9,True
KXATPMATCH-26APR25CERDAR-CER,2026-04-25 05:39:16 AM ET,ATP_MAIN_underdog_35-39,40,12,f79697f4,2026-04-24 00:15,1.2,scalp,120,12.00,300.0,True
KXATPMATCH-26APR24GAUAUG-GAU,2026-04-25 05:59:56 AM ET,ATP_MAIN_underdog_20-24,23,25,f79697f4,2026-04-24 00:15,1.2,settle_loss,-210,-21.00,-913.0,True
KXWTAMATCH-26APR25BAPPAO-BAP,2026-04-25 08:54:29 AM ET,WTA_MAIN_underdog_40-44,41,5,f79697f4,2026-04-24 00:15,1.4,scalp,60,6.00,146.3,True
KXATPMATCH-26APR24BUBTSI-TSI,2026-04-25 11:36:39 AM ET,ATP_MAIN_underdog_35-39,37,12,f79697f4,2026-04-24 00:15,1.5,scalp,120,12.00,324.3,True
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,2026-04-25 12:20:23 PM ET,ATP_CHALL_leader_70-74,70,7,f79697f4,2026-04-24 00:15,1.5,scalp,70,7.00,100.0,True
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,2026-04-25 12:48:05 PM ET,ATP_CHALL_leader_65-69,65,6,f79697f4,2026-04-24 00:15,1.5,scalp,60,6.00,92.3,True
KXWTAMATCH-26APR25KALOSA-OSA,2026-04-25 01:01:33 PM ET,WTA_MAIN_leader_60-64,58,8,f79697f4,2026-04-24 00:15,1.5,scalp,80,8.00,137.9,True
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,2026-04-25 07:35:13 PM ET,ATP_CHALL_underdog_35-39,39,11,c6bc89d9,2026-04-25 15:54,0.2,scalp,110,11.00,282.1,True
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,2026-04-25 09:33:34 PM ET,ATP_CHALL_underdog_30-34,30,15,c6bc89d9,2026-04-25 15:54,0.2,scalp,150,15.00,500.0,True
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,2026-04-25 09:44:56 PM ET,ATP_CHALL_leader_70-74,72,7,c6bc89d9,2026-04-25 15:54,0.2,scalp,70,7.00,97.2,True
KXATPMATCH-26APR26PRIETC-ETC,2026-04-25 09:57:21 PM ET,ATP_MAIN_leader_50-54,53,12,c6bc89d9,2026-04-25 15:54,0.3,scalp,120,12.00,226.4,True
KXATPMATCH-26APR26LEHMIC-LEH,2026-04-25 11:15:46 PM ET,ATP_MAIN_leader_70-74,69,17,c6bc89d9,2026-04-25 15:54,0.3,scalp,170,17.00,246.4,True
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,2026-04-25 11:20:17 PM ET,ATP_CHALL_underdog_10-14,10,34,c6bc89d9,2026-04-25 15:54,0.3,settle_loss,-90,-9.00,-900.0,True
KXWTAMATCH-26APR26PEGKOS-PEG,2026-04-25 11:21:58 PM ET,WTA_MAIN_leader_55-59,58,10,c6bc89d9,2026-04-25 15:54,0.3,settle_loss,-570,-57.00,-982.8,True
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,2026-04-25 11:33:06 PM ET,ATP_CHALL_underdog_10-14,10,34,c6bc89d9,2026-04-25 15:54,0.3,settle_loss,-90,-9.00,-900.0,True
KXATPMATCH-26APR26LEHMIC-MIC,2026-04-25 11:40:35 PM ET,ATP_MAIN_underdog_30-34,31,15,c6bc89d9,2026-04-25 15:54,0.3,settle_loss,-300,-30.00,-967.7,True
KXATPMATCH-26APR26PRIETC-PRI,2026-04-25 11:50:44 PM ET,ATP_MAIN_underdog_45-49,47,4,c6bc89d9,2026-04-25 15:54,0.3,scalp,40,4.00,85.1,True
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,2026-04-26 12:14:08 AM ET,ATP_CHALL_leader_55-59,58,5,c6bc89d9,2026-04-25 15:54,0.3,scalp,50,5.00,86.2,True
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,2026-04-26 12:14:09 AM ET,ATP_CHALL_underdog_45-49,44,13,c6bc89d9,2026-04-25 15:54,0.3,scalp,130,13.00,295.5,True
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,2026-04-26 12:14:09 AM ET,ATP_CHALL_leader_85-89,91,7,c6bc89d9,2026-04-25 15:54,0.3,settle_win,80,8.00,87.9,True
KXWTAMATCH-26APR25CIRGAU-CIR,2026-04-26 12:32:03 AM ET,WTA_MAIN_underdog_20-24,19,22,c6bc89d9,2026-04-25 15:54,0.4,scalp,220,22.00,1157.9,True
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,2026-04-26 12:35:12 AM ET,ATP_CHALL_underdog_30-34,31,15,c6bc89d9,2026-04-25 15:54,0.4,settle_loss,-300,-30.00,-967.7,True
KXWTAMATCH-26APR25CIRGAU-GAU,2026-04-26 12:43:51 AM ET,WTA_MAIN_leader_80-84,80,17,c6bc89d9,2026-04-25 15:54,0.4,scalp,170,17.00,212.5,True
KXATPMATCH-26APR26NORTIR-TIR,2026-04-26 12:50:31 AM ET,ATP_MAIN_underdog_40-44,43,9,c6bc89d9,2026-04-25 15:54,0.4,scalp,90,9.00,209.3,True
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,2026-04-26 01:00:45 AM ET,ATP_CHALL_underdog_25-29,29,21,73a94c31,2026-04-26 00:57,0.0,settle_loss,-280,-28.00,-965.5,True
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,2026-04-26 01:09:15 AM ET,WTA_CHALL_leader_50-54,54,20,73a94c31,2026-04-26 00:57,0.0,settle_loss,-530,-53.00,-981.5,True
KXWTAMATCH-26APR25SIESON-SIE,2026-04-26 01:19:49 AM ET,WTA_MAIN_underdog_40-44,40,5,73a94c31,2026-04-26 00:57,0.0,scalp,50,5.00,125.0,True
KXWTAMATCH-26APR25SIESON-SON,2026-04-26 01:21:17 AM ET,WTA_MAIN_leader_55-59,59,10,73a94c31,2026-04-26 00:57,0.0,scalp,100,10.00,169.5,True
