ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXATPMATCH-26APR24CERHAN-CER,71,0,,ATP_MAIN_leader_70-74,ATP_MAIN_leader_70-74,,,scalp,88,170,17.00,leader,2026-04-25 02:59:35 AM ET
KXWTAMATCH-26APR25FERJOV-FER,39,0,,WTA_MAIN_underdog_35-39,WTA_MAIN_underdog_35-39,,,scalp,50,110,11.00,underdog,2026-04-25 03:16:14 AM ET
KXATPMATCH-26APR24HUMATM-HUM,44,0,,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,,,scalp,53,90,9.00,underdog,2026-04-25 04:09:45 AM ET
KXATPMATCH-26APR24NAKBLO-NAK,41,0,,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,,,scalp,50,100,10.00,underdog,2026-04-25 04:55:08 AM ET
KXATPMATCH-26APR25CERDAR-CER,40,0,,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_35-39,,,scalp,52,120,12.00,underdog,2026-04-25 05:39:16 AM ET
KXATPMATCH-26APR24GAUAUG-GAU,23,0,,ATP_MAIN_underdog_20-24,ATP_MAIN_underdog_20-24,,,settle_loss,1,-210,-21.00,underdog,2026-04-25 05:59:56 AM ET
KXWTAMATCH-26APR25BAPPAO-BAP,41,0,,WTA_MAIN_underdog_40-44,WTA_MAIN_underdog_40-44,,,scalp,46,60,6.00,underdog,2026-04-25 08:54:29 AM ET
KXATPMATCH-26APR24BUBTSI-TSI,37,0,,ATP_MAIN_underdog_35-39,ATP_MAIN_underdog_35-39,,,scalp,49,120,12.00,underdog,2026-04-25 11:36:39 AM ET
KXATPCHALLENGERMATCH-26APR25ONCHEM-ONC,70,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,scalp,77,70,7.00,leader,2026-04-25 12:20:23 PM ET
KXATPCHALLENGERMATCH-26APR25CHASTE-STE,65,0,,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,,,scalp,71,60,6.00,leader,2026-04-25 12:48:05 PM ET
KXWTAMATCH-26APR25KALOSA-OSA,58,0,,WTA_MAIN_leader_55-59,WTA_MAIN_leader_60-64,,,scalp,66,80,8.00,leader,2026-04-25 01:01:33 PM ET
KXATPCHALLENGERMATCH-26APR25PEAPEL-PEA,39,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,scalp,50,110,11.00,underdog,2026-04-25 07:35:13 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-HOL,30,0,,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,,,scalp,45,150,15.00,underdog,2026-04-25 09:33:34 PM ET
KXATPCHALLENGERMATCH-26APR25HOLKWON-KWON,72,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,scalp,79,70,7.00,leader,2026-04-25 09:44:56 PM ET
KXATPMATCH-26APR26PRIETC-ETC,53,0,,ATP_MAIN_leader_50-54,ATP_MAIN_leader_50-54,,,scalp,65,120,12.00,leader,2026-04-25 09:57:21 PM ET
KXATPMATCH-26APR26LEHMIC-LEH,69,0,,ATP_MAIN_leader_65-69,ATP_MAIN_leader_70-74,,,scalp,86,170,17.00,leader,2026-04-25 11:15:46 PM ET
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,10,0,,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,,,settle_loss,1,-90,-9.00,underdog,2026-04-25 11:20:17 PM ET
