cell,N,avg_fill_price,cost_basis,real_pnl_per_fill_pct,real_daily_pct_return,analysis_pnl_per_fill_pct,delta_pct
ATP_CHALL_leader_50-54,4,52.0,5.20,-346.2,-1.3846,-3.1,-343.1
ATP_CHALL_leader_55-59,9,56.4,5.64,-9.8,-0.0886,2.0,-11.9
ATP_CHALL_leader_60-64,1,64.0,6.40,468.8,0.4688,6.8,462.0
ATP_CHALL_leader_65-69,5,66.8,6.68,374.3,1.8713,1.1,373.2
ATP_CHALL_leader_70-74,8,72.4,7.24,-98.4,-0.7876,11.6,-110.0
ATP_CHALL_leader_75-79,3,78.7,7.87,-288.1,-0.8644,0.5,-288.6
ATP_CHALL_leader_80-84,4,81.5,8.15,184.0,0.7362,1.4,182.6
ATP_CHALL_leader_85-89,1,85.0,8.50,82.4,0.0824,-0.5,82.8
ATP_CHALL_leader_90-94,1,91.0,9.10,87.9,0.0879,,
ATP_CHALL_underdog_10-14,5,11.2,1.12,-17.9,-0.0893,35.1,-52.9
ATP_CHALL_underdog_20-24,10,21.9,2.19,16.0,0.1598,2.3,13.7
ATP_CHALL_underdog_25-29,4,27.5,2.75,-554.5,-2.2182,0.4,-555.0
ATP_CHALL_underdog_30-34,3,31.0,3.10,0.0,0.0000,-7.4,7.4
ATP_CHALL_underdog_35-39,8,37.9,3.79,353.1,2.8251,-2.0,355.1
ATP_CHALL_underdog_40-44,4,42.0,4.20,23.8,0.0952,8.8,15.0
ATP_CHALL_underdog_45-49,6,47.5,4.75,-66.3,-0.3979,-5.1,-61.3
ATP_MAIN_leader_50-54,2,53.5,5.35,112.1,0.2243,-7.8,120.0
ATP_MAIN_leader_55-59,1,59.0,5.90,-983.1,-0.9831,-9.6,-973.4
ATP_MAIN_leader_65-69,1,69.0,6.90,246.4,0.2464,,
ATP_MAIN_leader_70-74,1,71.0,7.10,239.4,0.2394,1.1,238.3
ATP_MAIN_underdog_20-24,2,21.5,2.15,-930.2,-1.8605,-20.3,-909.9
ATP_MAIN_underdog_25-29,1,28.0,2.80,-964.3,-0.9643,18.4,-982.7
ATP_MAIN_underdog_30-34,4,31.2,3.12,-352.0,-1.4080,-0.6,-351.4
ATP_MAIN_underdog_35-39,2,36.0,3.60,-305.6,-0.6111,20.9,-326.4
ATP_MAIN_underdog_40-44,5,41.8,4.18,239.2,1.1962,-4.3,243.5
ATP_MAIN_underdog_45-49,3,46.3,4.63,100.7,0.3022,-4.6,105.3
WTA_CHALL_leader_50-54,1,54.0,5.40,-981.5,-0.9815,,
WTA_CHALL_leader_55-59,3,57.3,5.73,-87.2,-0.2616,-31.6,-55.6
WTA_CHALL_leader_60-64,3,61.0,6.10,-551.9,-1.6557,,
WTA_CHALL_underdog_40-44,2,41.5,4.15,-144.6,-0.2892,-2.4,-142.2
WTA_MAIN_leader_55-59,4,57.8,5.78,-125.5,-0.5022,-7.6,-117.9
WTA_MAIN_leader_60-64,3,61.7,6.17,86.5,0.2595,7.3,79.2
WTA_MAIN_leader_65-69,1,68.0,6.80,338.2,0.3382,19.2,319.1
WTA_MAIN_leader_70-74,2,72.0,7.20,166.7,0.3333,3.5,163.1
WTA_MAIN_leader_80-84,2,81.5,8.15,196.3,0.3926,,
WTA_MAIN_leader_85-89,1,87.0,8.70,0.0,0.0000,,
WTA_MAIN_underdog_15-19,1,19.0,1.90,1157.9,1.1579,,
WTA_MAIN_underdog_20-24,1,21.0,2.10,1047.6,1.0476,,
WTA_MAIN_underdog_30-34,1,31.0,3.10,677.4,0.6774,-5.2,682.6
WTA_MAIN_underdog_35-39,3,38.7,3.87,-224.1,-0.6724,-0.8,-223.3
WTA_MAIN_underdog_40-44,3,41.0,4.10,130.1,0.3902,-18.6,148.7
WTA_MAIN_underdog_45-49,1,47.0,4.70,-38.3,-0.0383,2.5,-40.8
