cell,ticker,entry_mid,entry_bid,side,last_mid,exit_c,target,scalp_phase,theta_pregame,theta_early,gamma_excursion_pct,vega,pregame_min,total_min,n_snapshots
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR21ANDCRA-AND,52.5,51,winner,97.5,7,58,pregame,0.0228,0.1333,66.7,11.0,285,391,77
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR21BOUSCH-BOU,50.0,4,winner,95.5,7,11,pregame,0.2084,,,20.2,218,213,41
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR21BOUSCH-SCH,50.0,4,loser,2.0,7,11,pregame,-0.2199,,,19.1,218,213,41
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR21GIMVIS-VIS,51.5,50,winner,97.5,7,57,pregame,-0.0022,0.7667,44.7,8.8,465,492,97
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR22BITCHA-BIT,50.0,6,loser,2.5,7,13,pregame,-0.0217,0.0167,70.0,14.8,874,2719,522
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR22CADVAS-CAD,52.5,51,loser,7.5,7,58,none,0.0000,0.0333,95.2,6.9,885,1077,214
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23BICERE-BIC,50.5,49,loser,5.0,7,56,pregame,0.0117,-1.0667,111.9,8.8,768,832,154
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23MCCRIE-MCC,50.0,4,loser,1.5,7,11,pregame,-0.0546,,,5.0,888,779,145
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23MCCRIE-RIE,50.0,4,winner,98.5,7,11,pregame,0.0546,,,5.0,888,789,145
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23SHIHOL-HOL,50.0,4,winner,97.5,7,11,pregame,0.0535,,,6.0,888,819,153
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23SHIHOL-SHI,50.0,4,loser,2.5,7,11,pregame,-0.0535,,,6.2,888,819,153
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23SHIKRU-KRU,50.0,4,winner,97.5,7,11,pregame,0.0456,0.2667,44.0,7.4,888,908,169
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR23SHIKRU-SHI,50.0,4,loser,2.5,7,11,pregame,-0.0456,-0.2667,41.0,7.8,888,908,169
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR24CHABEN-BEN,50.0,1,loser,4.5,7,8,pregame,0.0090,-1.8833,113.0,8.1,888,910,181
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR24CHABEN-CHA,50.0,1,winner,98.5,7,8,pregame,-0.0073,1.9667,118.0,9.0,888,915,182
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR24VASSAK-SAK,54.5,44,loser,2.0,7,51,pregame,-0.0592,,,9.5,887,816,163
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR25SAUFUK-FUK,50.0,4,winner,98.0,7,11,early_match,,-0.0333,101.0,17.8,-3,1143,212
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR25SAUFUK-SAU,50.0,4,loser,2.0,7,11,early_match,,-0.0333,97.0,22.2,-3,1143,212
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR25TREVIT-TRE,50.0,4,loser,1.5,7,11,mid_match,,,97.0,21.8,-73,1092,204
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR25TREVIT-VIT,50.0,4,winner,97.5,7,11,mid_match,,,101.0,17.7,-73,1092,202
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26DAMPIN-PIN,50.0,1,loser,2.5,7,8,pregame,-0.0535,,,19.7,888,803,148
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26IANOBR-OBR,50.0,1,loser,10.0,7,8,pregame,-0.0451,,,9.0,888,869,163
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26KRUOST-KRU,50.0,1,winner,93.0,7,8,pregame,0.0366,0.0000,0.0,6.0,888,894,168
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26KRUOST-OST,50.0,1,loser,6.5,7,8,pregame,-0.0383,0.0000,0.0,8.5,888,894,168
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26LAKEL-KEL,50.0,1,loser,1.5,7,8,pregame,-0.0214,-0.7833,83.0,9.9,888,930,175
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR26LAKEL-LA,50.0,1,winner,98.5,7,8,pregame,0.0191,0.8000,85.0,6.6,888,930,175
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ANDBAR-AND,50.0,4,loser,1.5,7,11,pregame,-0.0546,,,11.2,888,859,166
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ANDBAR-BAR,50.0,4,winner,98.5,7,11,pregame,0.0546,,,11.9,888,859,166
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,50.0,4,winner,98.0,7,11,pregame,0.0542,,,4.8,885,764,147
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ARNCAS-CAS,50.0,4,loser,1.5,7,11,pregame,-0.0548,,,13.2,885,780,150
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BALMAR-BAL,50.0,4,loser,2.5,7,11,pregame,-0.0535,,,9.4,888,880,170
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BALMAR-MAR,50.0,4,winner,97.5,7,11,pregame,0.0535,,,9.3,888,880,170
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BARSOR-BAR,50.0,6,winner,93.5,7,13,pregame,0.0355,0.1167,7.0,5.8,888,896,173
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BARSOR-SOR,50.0,6,loser,7.0,7,13,pregame,-0.0355,-0.0667,4.0,6.3,888,896,173
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,50.0,4,winner,92.0,7,11,pregame,0.0000,0.3167,23.0,8.9,886,898,173
