ticker,fill_price,first_price,bias,in_historical_events,he_first_ts,cell_by_fill_price,cell_by_first_price,cell_match,cell_at_fill_time_from_bot
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,58,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,44,,,NO,,ATP_CHALL_underdog_40-44,,N/A,ATP_CHALL_underdog_45-49
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,91,,,NO,,ATP_CHALL_leader_90-94,,N/A,ATP_CHALL_leader_85-89
KXWTAMATCH-26APR25CIRGAU-CIR,19,,,NO,,WTA_MAIN_underdog_15-19,,N/A,WTA_MAIN_underdog_20-24
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,31,,,NO,,ATP_CHALL_underdog_30-34,,N/A,ATP_CHALL_underdog_30-34
KXWTAMATCH-26APR25CIRGAU-GAU,80,,,NO,,WTA_MAIN_leader_80-84,,N/A,WTA_MAIN_leader_80-84
KXATPMATCH-26APR26NORTIR-TIR,43,,,NO,,ATP_MAIN_underdog_40-44,,N/A,ATP_MAIN_underdog_40-44
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,29,,,NO,,ATP_CHALL_underdog_25-29,,N/A,ATP_CHALL_underdog_25-29
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,54,,,NO,,WTA_CHALL_leader_50-54,,N/A,WTA_CHALL_leader_50-54
KXWTAMATCH-26APR25SIESON-SIE,40,,,NO,,WTA_MAIN_underdog_40-44,,N/A,WTA_MAIN_underdog_40-44
KXWTAMATCH-26APR25SIESON-SON,59,,,NO,,WTA_MAIN_leader_55-59,,N/A,WTA_MAIN_leader_55-59
KXWTAMATCH-26APR25MERPLI-MER,68,,,NO,,WTA_MAIN_leader_65-69,,N/A,WTA_MAIN_leader_65-69
KXATPCHALLENGERMATCH-26APR26KUSDEL-DEL,80,,,NO,,ATP_CHALL_leader_80-84,,N/A,ATP_CHALL_leader_80-84
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,21,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPMATCH-26APR26GRIMUS-GRI,20,,,NO,,ATP_MAIN_underdog_20-24,,N/A,ATP_MAIN_underdog_20-24
KXWTAMATCH-26APR26PEGKOS-KOS,42,,,NO,,WTA_MAIN_underdog_40-44,,N/A,WTA_MAIN_underdog_40-44
KXATPMATCH-26APR26KOPRIN-RIN,59,,,NO,,ATP_MAIN_leader_55-59,,N/A,ATP_MAIN_leader_55-59
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,62,,,NO,,WTA_CHALL_leader_60-64,,N/A,WTA_CHALL_leader_60-64
KXWTACHALLENGERMATCH-26APR26KUDFER-KUD,61,,,NO,,WTA_CHALL_leader_60-64,,N/A,WTA_CHALL_leader_60-64
KXATPCHALLENGERMATCH-26APR26ZHUTAK-TAK,25,,,NO,,ATP_CHALL_underdog_25-29,,N/A,ATP_CHALL_underdog_25-29
KXWTAMATCH-26APR25NOSSAM-SAM,39,,,NO,,WTA_MAIN_underdog_35-39,,N/A,WTA_MAIN_underdog_35-39
KXATPCHALLENGERMATCH-26APR26NICMOE-MOE,49,,,NO,,ATP_CHALL_underdog_45-49,,N/A,ATP_CHALL_underdog_45-49
KXWTAMATCH-26APR26SINMCC-MCC,56,,,NO,,WTA_MAIN_leader_55-59,,N/A,WTA_MAIN_leader_55-59
KXWTAMATCH-26APR25NOSSAM-NOS,61,,,NO,,WTA_MAIN_leader_60-64,,N/A,WTA_MAIN_leader_60-64
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,28,,,NO,,ATP_CHALL_underdog_25-29,,N/A,ATP_CHALL_underdog_25-29
KXATPMATCH-26APR26FONJOD-FON,46,,,NO,,ATP_MAIN_underdog_45-49,,N/A,ATP_MAIN_underdog_45-49
KXWTAMATCH-26APR25POTOST-POT,47,,,NO,,WTA_MAIN_underdog_45-49,,N/A,WTA_MAIN_underdog_45-49
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,60,,,NO,,WTA_CHALL_leader_60-64,,N/A,WTA_CHALL_leader_60-64
KXATPMATCH-26APR26KOPRIN-KOP,41,,,NO,,ATP_MAIN_underdog_40-44,,N/A,ATP_MAIN_underdog_40-44
KXWTAMATCH-26APR25ZHERYB-ZHE,21,,,NO,,WTA_MAIN_underdog_20-24,,N/A,WTA_MAIN_underdog_20-24
KXATPCHALLENGERMATCH-26APR26KENBAS-KEN,32,,,NO,,ATP_CHALL_underdog_30-34,,N/A,ATP_CHALL_underdog_30-34
KXATPCHALLENGERMATCH-26APR26KENBAS-BAS,70,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_70-74
KXATPCHALLENGERMATCH-26APR26NEUFON-NEU,79,,,NO,,ATP_CHALL_leader_75-79,,N/A,ATP_CHALL_leader_80-84
KXATPCHALLENGERMATCH-26APR26ONCSTE-ONC,73,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_75-79
KXATPCHALLENGERMATCH-26APR26BUSSUA-BUS,20,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXWTAMATCH-26APR27SIEPLI-PLI,63,,,NO,,WTA_MAIN_leader_60-64,,N/A,WTA_MAIN_leader_60-64
KXATPCHALLENGERMATCH-26APR26KUHSAN-SAN,24,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR26ILAPEA-PEA,14,,,NO,,ATP_CHALL_underdog_10-14,,N/A,ATP_CHALL_underdog_10-14
KXWTAMATCH-26APR27BENBAP-BEN,70,,,NO,,WTA_MAIN_leader_70-74,,N/A,WTA_MAIN_leader_70-74
KXATPCHALLENGERMATCH-26APR26ILAPEA-ILA,84,,,NO,,ATP_CHALL_leader_80-84,,N/A,ATP_CHALL_leader_80-84
KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,22,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,22,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR26SHAMOR-MOR,22,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
