cell,n,avg_entry,5%,7%,10%,12%,15%,20%,25%,30%,35%,40%,50%,60%,75%,100%,125%,150%,200%,250%,300%,400%
ATP_CHALL_leader_55-59,15,58.3,-8.9,-7.2,-11.8,-32.6,-30.8,-27.8,-24.8,-21.8,-18.8,-15.8,-19.9,-14.6,-53.9,-53.9,-53.9,-53.9,-53.9,-53.9,-53.9,-53.9
ATP_CHALL_leader_60-64,30,60.9,1.6,3.5,6.4,8.4,11.3,-3.9,-3.9,-0.1,-0.7,-6.4,-9.5,-24.7,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4
ATP_CHALL_leader_65-69,9,67.9,-6.6,-4.8,-2.2,-0.4,2.3,-6.4,-2.5,1.4,5.3,9.2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
ATP_CHALL_leader_70-74,18,71.8,-6.6,-4.8,-8.2,-6.5,-4.0,-6.5,-2.6,1.3,5.3,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1,-15.1
ATP_CHALL_leader_75-79,17,77.8,5.0,0.6,3.5,5.3,8.2,12.9,17.6,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1
ATP_CHALL_leader_80-84,29,80.9,-2.2,-0.3,3.2,1.2,-0.2,3.8,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6,-6.6
ATP_CHALL_underdog_15-19,16,18.0,-1.4,0.5,-10.1,-8.5,-6.0,-9.7,-6.0,-2.3,1.5,5.2,12.7,10.3,10.4,-10.9,-28.6,-20.8,-24.0,-11.6,-22.7,-66.1
ATP_CHALL_underdog_20-24,25,23.4,1.1,-1.3,-2.6,-5.3,-2.8,-3.4,0.6,-0.7,3.2,1.3,-2.7,-2.7,6.3,13.3,-0.2,1.5,9.2,27.2,-3.9,-30.1
ATP_CHALL_underdog_25-29,24,26.7,0.8,2.7,5.6,7.5,5.5,5.2,9.6,14.0,13.0,17.1,6.7,7.4,10.4,1.2,-4.3,-4.7,1.1,-10.5,-20.8,-20.8
ATP_CHALL_underdog_30-34,14,32.2,-9.4,-7.7,-5.1,-3.4,-0.8,-5.2,-10.0,-6.5,-2.9,0.7,7.9,3.8,1.2,-12.6,-1.8,9.0,-13.0,-10.8,-10.8,-10.8
ATP_CHALL_underdog_35-39,24,37.9,5.0,7.0,10.0,12.0,15.0,15.0,14.8,19.4,7.2,5.4,-5.7,-12.7,-11.8,-15.9,-24.2,-25.8,-44.3,-44.3,-44.3,-44.3
ATP_CHALL_underdog_40-44,13,43.2,5.0,7.0,10.0,12.0,6.1,10.7,5.6,9.8,3.6,-3.5,3.4,-1.9,-5.7,-7.2,-11.7,-28.4,-28.4,-28.4,-28.4,-28.4
ATP_MAIN_leader_60-64,28,62.7,-9.8,-8.1,-5.5,-3.8,-1.2,-1.2,-5.8,-6.7,-8.1,-9.7,-3.3,-20.5,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2
ATP_MAIN_leader_65-69,18,67.1,-6.6,-4.8,-20.2,-25.0,-23.0,-26.2,-29.9,-27.1,-31.9,-37.0,-41.9,-41.9,-41.9,-41.9,-41.9,-41.9,-41.9,-41.9,-41.9,-41.9
