cell,n,avg_entry,5%,7%,10%,12%,15%,20%,25%,30%,35%,40%,50%,60%,75%,100%,125%,150%,200%,250%,300%,400%
ATP_CHALL_leader_55-59,15,58.3,87%,87%,80%,60%,60%,60%,60%,60%,60%,60%,53%,53%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_CHALL_leader_60-64,30,60.9,97%,97%,97%,97%,97%,80%,77%,77%,73%,67%,60%,27%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_CHALL_leader_65-69,9,67.9,89%,89%,89%,89%,89%,78%,78%,78%,78%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_CHALL_leader_70-74,18,71.8,89%,89%,83%,83%,83%,78%,78%,78%,72%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_CHALL_leader_75-79,17,77.8,100%,94%,94%,94%,94%,94%,94%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
ATP_CHALL_leader_80-84,29,80.9,93%,93%,86%,83%,79%,76%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
ATP_CHALL_underdog_15-19,16,18.0,94%,94%,81%,81%,81%,75%,75%,75%,75%,75%,75%,69%,62%,44%,31%,31%,25%,25%,19%,6%
ATP_CHALL_underdog_20-24,25,23.4,96%,92%,88%,84%,84%,80%,80%,76%,76%,72%,64%,60%,60%,56%,44%,40%,36%,36%,24%,0%
ATP_CHALL_underdog_25-29,24,26.7,96%,96%,96%,96%,92%,88%,88%,88%,83%,83%,71%,67%,62%,50%,42%,38%,33%,25%,0%,0%
ATP_CHALL_underdog_30-34,14,32.2,86%,86%,86%,86%,86%,79%,71%,71%,71%,71%,71%,64%,57%,43%,43%,43%,21%,7%,7%,7%
ATP_CHALL_underdog_35-39,24,37.9,100%,100%,100%,100%,100%,96%,92%,92%,79%,75%,62%,54%,50%,42%,33%,25%,0%,0%,0%,0%
ATP_CHALL_underdog_40-44,13,43.2,100%,100%,100%,100%,92%,92%,85%,85%,77%,69%,69%,62%,54%,46%,8%,0%,0%,0%,0%,0%
ATP_MAIN_leader_60-64,28,62.7,86%,86%,86%,86%,86%,82%,75%,71%,68%,64%,64%,7%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_MAIN_leader_65-69,18,67.1,89%,89%,72%,67%,67%,61%,56%,56%,50%,44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_MAIN_leader_70-74,9,70.6,100%,100%,89%,89%,89%,89%,78%,78%,67%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_MAIN_leader_75-79,9,76.0,89%,89%,89%,89%,89%,89%,89%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ATP_MAIN_underdog_20-24,11,22.9,91%,91%,91%,82%,82%,82%,82%,82%,82%,82%,82%,82%,64%,64%,36%,27%,27%,27%,27%,0%
ATP_MAIN_underdog_25-29,8,26.4,100%,100%,100%,100%,100%,88%,88%,75%,75%,50%,50%,50%,38%,38%,38%,38%,12%,12%,12%,12%
ATP_MAIN_underdog_30-34,11,32.3,82%,82%,82%,82%,82%,82%,73%,73%,73%,73%,64%,55%,45%,36%,36%,36%,27%,0%,0%,0%
ATP_MAIN_underdog_35-39,16,38.1,94%,94%,94%,94%,94%,94%,88%,81%,75%,75%,75%,75%,69%,50%,38%,25%,0%,0%,0%,0%
ATP_MAIN_underdog_40-44,9,40.9,100%,100%,100%,100%,100%,100%,78%,78%,67%,67%,56%,56%,56%,56%,56%,11%,11%,11%,11%,11%
WTA_MAIN_leader_55-59,6,56.0,83%,67%,67%,67%,67%,67%,67%,50%,50%,50%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%
WTA_MAIN_leader_60-64,7,63.0,71%,71%,57%,57%,57%,57%,57%,57%,57%,57%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WTA_MAIN_leader_65-69,15,67.0,73%,73%,73%,73%,73%,73%,73%,67%,67%,53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WTA_MAIN_leader_70-74,11,71.1,91%,91%,91%,91%,91%,91%,91%,91%,82%,27%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
WTA_MAIN_leader_80-84,5,82.2,80%,80%,80%,80%,80%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WTA_MAIN_leader_85-89,5,86.0,80%,80%,80%,80%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WTA_MAIN_underdog_15-19,9,17.3,89%,89%,89%,89%,89%,89%,89%,78%,78%,78%,78%,78%,56%,44%,33%,33%,33%,33%,33%,33%
WTA_MAIN_underdog_20-24,8,23.0,100%,100%,100%,75%,75%,62%,62%,62%,50%,38%,38%,25%,25%,25%,12%,12%,12%,12%,12%,0%
WTA_MAIN_underdog_25-29,9,26.1,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,67%,67%,56%,56%,22%,22%,0%,0%
WTA_MAIN_underdog_30-34,10,32.0,80%,80%,80%,70%,70%,60%,60%,60%,50%,40%,30%,30%,30%,30%,20%,20%,20%,0%,0%,0%
WTA_MAIN_underdog_35-39,9,36.0,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,44%,33%,33%,0%,0%,0%,0%
WTA_MAIN_underdog_40-44,13,42.5,69%,69%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,54%,23%,0%,0%,0%,0%,0%
