ts_epoch,exchange_ts,price_cents,size,trade_id,true_print,taker_side
1783882244,2026-07-12T18:50:44.001216Z,31,12.0,9f6c035d-5f5f-5a47-51bd-290555d02c65,True,no
1783882244,2026-07-12T18:50:44.001216Z,31,120.0,72935866-c41f-56d6-683e-ee3a50962c26,True,no
1783885999,2026-07-12T19:53:19.917675Z,31,10.0,1a581bf9-afc9-7e38-a8ed-20acd4f7414e,True,yes
1783887642,2026-07-12T20:20:42.528299Z,31,1.0,2431b0ed-3129-6184-bd58-a5d4d1eb5a2a,True,yes
1783888515,2026-07-12T20:35:15.510535Z,31,1.0,f4d41231-44a9-4614-0bfe-05f101405086,True,yes
1783889671,2026-07-12T20:54:31.614195Z,28,13.0,d2cfdaf0-ee5f-7527-b560-cdd40b804b43,True,yes
1783893637,2026-07-12T22:00:37.260459Z,26,2.0,54397209-1b46-7c96-e7ed-e72e6afa9cec,True,no
1783894894,2026-07-12T22:21:34.946570Z,27,5.0,ec28384c-b251-6a2f-b9bc-428c45f3b55e,True,yes
1783895397,2026-07-12T22:29:57.444781Z,26,82.5,ee0a1e2c-02cb-5e5b-5ae3-e19621954153,True,no
1783895397,2026-07-12T22:29:57.444781Z,26,6.5,d8bf5529-5077-580b-71d6-e9f4052f3570,True,no
1783895658,2026-07-12T22:34:18.348626Z,26,3.0,c79362d3-19fa-6d5f-ed79-9380bd25d29b,True,no
1783897604,2026-07-12T23:06:44.673801Z,24,98.9,51cac554-ecb5-506e-a557-5c21f28b8acb,True,yes
1783902539,2026-07-13T00:28:59.164170Z,24,0.92,ed96b82c-b4bd-745e-a1a4-fde3b675b9bb,True,yes
1783902972,2026-07-13T00:36:12.703588Z,23,82.5,bf9c48d1-864f-70e0-1ba2-85b5a3c4629b,True,yes
1783906277,2026-07-13T01:31:17.435966Z,23,20.62,6de28815-0842-50bf-57e9-baa89ee955f7,True,yes
1783914589,2026-07-13T03:49:49.265767Z,23,94.38,e54b940e-91c2-4be8-e21a-b99db0c08666,True,yes
1783914589,2026-07-13T03:49:49.265767Z,23,29.38,51b02d2c-ed0e-4b33-c224-3d54b470224f,True,yes
1783916679,2026-07-13T04:24:39.822160Z,23,8.25,f90367db-730b-70a4-aa68-97573444c8b5,True,yes
1783916781,2026-07-13T04:26:21.720381Z,23,1.33,ecf0d7d2-a4f0-7e77-e4cd-ee473a9998c4,True,yes
1783916781,2026-07-13T04:26:21.720381Z,23,2.75,d313ab92-7333-7050-e8e9-2049defa57d9,True,yes
1783919819,2026-07-13T05:16:59.680416Z,22,315.0,8238dc11-f42f-5730-c81e-cceae4ae49ae,True,no
1783922739,2026-07-13T06:05:39.367970Z,23,4.12,57fbbb9e-e9ca-565c-844c-94ba10ded8c1,True,yes
1783926264,2026-07-13T07:04:24.692298Z,23,8.0,ad530d7f-e02a-46d0-7cc8-ee3a481c34e9,True,yes
1783926285,2026-07-13T07:04:45.021505Z,23,4.88,726d3837-51ce-63ec-56cc-0b7ca4f95175,True,yes
1783926285,2026-07-13T07:04:45.021505Z,23,407.66,3d57fc13-cb54-6a52-552c-66029053ef9b,True,yes
1783934656,2026-07-13T09:24:16.511995Z,23,4.34,8bdd325a-4671-4d0b-b71a-a1b26152fc69,True,yes
1783934665,2026-07-13T09:24:25.494169Z,23,24.0,a3b192bd-ccf5-467f-30e0-356579778b05,True,yes
1783934671,2026-07-13T09:24:31.133622Z,23,4.0,6fac166a-dee1-44b7-bb85-a7e08e376f19,True,yes
1783934675,2026-07-13T09:24:35.754406Z,23,500.0,4bb17097-13ad-78c7-a623-f93dae34c0a5,True,yes
1783934683,2026-07-13T09:24:43.587454Z,23,1.0,35cc39c9-243d-6c25-fa4d-c935bf73b6f5,True,yes
1783936298,2026-07-13T09:51:38.812592Z,25,68.0,7e018355-2bb8-4d98-4f90-847919fdb8e5,True,yes
1783936298,2026-07-13T09:51:38.812592Z,25,22.0,5e76bf2a-eb91-4b5b-593b-5453117cdd2f,True,yes
1783936298,2026-07-13T09:51:38.812592Z,25,4.0,3de5ea2a-671a-467f-4a63-d05378ffb0c0,True,yes
1783936298,2026-07-13T09:51:38.812592Z,25,1.01,1f556075-71da-422d-436e-7238d3114e8e,True,yes
1783937330,2026-07-13T10:08:50.605133Z,25,114.01,675710f1-23b2-7d2d-b07f-a3a8b96a9aba,True,yes
1783939208,2026-07-13T10:40:08.052662Z,25,65.25,cc313099-585e-676a-eef3-ae2671c130fc,True,yes
1783939208,2026-07-13T10:40:08.052662Z,25,84.0,3acc4dcd-15fb-6aa6-dd53-d606c7c4528a,True,yes
1783939208,2026-07-13T10:40:08.052662Z,25,96.0,21bd2703-cc65-67a3-edf9-3bf58ea3b824,True,yes
1783939208,2026-07-13T10:40:08.052662Z,25,35.98,0229962a-a34a-6ffd-e716-b82d3243aa92,True,yes
1783941659,2026-07-13T11:20:59.007301Z,25,190.02,1de026bf-1cda-65d6-072f-d157db4795b0,True,yes
1783941818,2026-07-13T11:23:38.941731Z,25,19.0,8bae86fd-bf9a-4e66-dfc8-a7f11304f380,True,yes
1783942048,2026-07-13T11:27:28.026773Z,25,93.73,b9ffae82-6812-798a-d396-2a5466992520,True,yes
1783942048,2026-07-13T11:27:28.026773Z,25,103.0,5a6a9b42-eab2-7eaa-dde4-61379a5199d6,True,yes
1783942048,2026-07-13T11:27:28.026773Z,25,22.31,4cb58ede-e0cb-7b7d-fc65-440fb57ba54b,True,yes
1783942048,2026-07-13T11:27:28.026773Z,25,80.0,28be01c3-5ce4-7c55-fe25-c4a021164e47,True,yes
1783942048,2026-07-13T11:27:28.026773Z,25,81.0,16d80b61-f2ee-792e-ecfd-8905334b76d9,True,yes
