ts_epoch,anchor,level_cents
1783870590,FIRST_ACTION,
1783880046,DEEP_GAP_WITHHOLD_FIRST,
1783880046,DEEP_GAP_WITHHOLD_LAST_LIFT,
1783881879,JOIN_ARM,31
1783882244.001,FILL_CREDITED,31
