ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1783870590,2026-07-12 11:36:30 AM,6,200,94,200
1783870650,2026-07-12 11:37:30 AM,6,217,94,200
1783871486,2026-07-12 11:51:26 AM,6,217,93,10
1783874768,2026-07-12 12:46:08 PM,6,217,94,200
1783875080,2026-07-12 12:51:20 PM,6,217,93,10
1783878374,2026-07-12 01:46:14 PM,6,217,94,200
1783878680,2026-07-12 01:51:20 PM,6,217,93,10
1783880046,2026-07-12 02:14:06 PM,58,500,68,500
1783880046,2026-07-12 02:14:06 PM,58,500,93,10
1783880048,2026-07-12 02:14:08 PM,58,500,68,500
1783880060,2026-07-12 02:14:20 PM,58,500,68,544
1783880060,2026-07-12 02:14:20 PM,58,512,68,544
1783880145,2026-07-12 02:15:45 PM,11,83,68,44
1783880145,2026-07-12 02:15:45 PM,58,12,68,44
1783880145,2026-07-12 02:15:45 PM,58,12,68,544
1783880146,2026-07-12 02:15:46 PM,59,500,68,44
1783880170,2026-07-12 02:16:10 PM,60,12,68,44
1783880178,2026-07-12 02:16:18 PM,60,20,68,44
1783880183,2026-07-12 02:16:23 PM,60,28,68,44
1783880184,2026-07-12 02:16:24 PM,60,28,68,45
1783880218,2026-07-12 02:16:58 PM,60,28,68,44
1783880454,2026-07-12 02:20:54 PM,58,44,68,44
1783880454,2026-07-12 02:20:54 PM,60,12,68,44
1783880454,2026-07-12 02:20:54 PM,60,20,68,44
1783880454,2026-07-12 02:20:54 PM,60,28,68,44
1783880455,2026-07-12 02:20:55 PM,60,500,68,44
1783880456,2026-07-12 02:20:56 PM,61,20,68,44
1783880459,2026-07-12 02:20:59 PM,61,20,68,45
1783880715,2026-07-12 02:25:15 PM,62,54,68,45
1783880715,2026-07-12 02:25:15 PM,62,66,68,45
1783880960,2026-07-12 02:29:20 PM,62,66,68,1
1783881058,2026-07-12 02:30:58 PM,62,66,69,11
1783881673,2026-07-12 02:41:13 PM,62,66,68,240
1783881674,2026-07-12 02:41:14 PM,63,120,68,240
1783881674,2026-07-12 02:41:14 PM,63,120,69,251
1783881674,2026-07-12 02:41:14 PM,64,120,69,251
1783881675,2026-07-12 02:41:15 PM,65,120,69,251
1783881675,2026-07-12 02:41:15 PM,66,120,69,251
1783881675,2026-07-12 02:41:15 PM,67,120,69,251
1783881676,2026-07-12 02:41:16 PM,67,120,68,240
1783881676,2026-07-12 02:41:16 PM,67,120,69,251
1783881689,2026-07-12 02:41:29 PM,67,120,68,240
1783881879,2026-07-12 02:44:39 PM,67,120,69,251
1783882244,2026-07-12 02:50:44 PM,67,120,69,11
1783882244,2026-07-12 02:50:44 PM,67,120,70,140
1783882244,2026-07-12 02:50:44 PM,67,120,70,248
1783882244,2026-07-12 02:50:44 PM,67,120,70,260
