ts_epoch,anchor,level_cents
1783870590,FIRST_ACTION,
1783880046,DEEP_GAP_WITHHOLD_FIRST,
1783880046,DEEP_GAP_WITHHOLD_LAST_LIFT,
1783935521,JOIN_ARM,75
1783942500,TERMINAL_REST_AT_EDGE,68
