category,anchor_regime,anchor_low_cents,anchor_high_cents,placement_minute,bid_offset_cents,expected_fill_rate,expected_net_roi_pct
ATP_CHALL,r05_14,5,14,240,3,0.3873239436619718,82.09441128594682
ATP_CHALL,r15_24,15,24,240,2,0.624750499001996,45.50964187327824
ATP_CHALL,r25_34,25,34,180,2,0.5618892508143323,17.526721066544074
ATP_CHALL,r35_44,35,44,90,3,0.4252199413489736,13.360134264860854
ATP_CHALL,r45_54,45,54,60,7,0.2257001647446458,11.42366706368668
ATP_CHALL,r55_64,55,64,90,4,0.3419689119170984,5.555303099154776
ATP_CHALL,r65_74,65,74,180,2,0.7139141742522757,9.780399739557645
ATP_CHALL,r75_84,75,84,90,3,0.6095238095238096,6.793435379517121
ATP_CHALL,r85_94,85,94,120,7,0.6093023255813953,1.5117778038204617
ATP_MAIN,r05_14,5,14,240,1,0.7768595041322314,83.56294536817101
ATP_MAIN,r15_24,15,24,240,2,0.5431034482758621,43.14033983637508
ATP_MAIN,r25_34,25,34,240,1,0.7947154471544715,20.909352104582677
ATP_MAIN,r35_44,35,44,120,1,0.8428805237315876,9.480109086186744
ATP_MAIN,r45_54,45,54,120,2,0.6594911937377691,10.90626574836217
ATP_MAIN,r55_64,55,64,180,2,0.669218989280245,9.854181827983073
ATP_MAIN,r65_74,65,74,240,1,0.924006908462867,4.008466382711855
ATP_MAIN,r75_84,75,84,180,7,0.3611738148984199,4.086293632912564
ATP_MAIN,r85_94,85,94,90,1,0.9224806201550388,7.801039490940884
WTA_CHALL,r05_14,5,14,240,2,0.5121951219512195,102.02898550724638
WTA_CHALL,r15_24,15,24,240,3,0.4666666666666667,54.14563806777216
WTA_CHALL,r25_34,25,34,240,10,0.2307692307692307,48.72701555869872
WTA_CHALL,r35_44,35,44,120,2,0.6696428571428571,27.67083734359961
WTA_CHALL,r45_54,45,54,180,2,0.6421052631578947,20.82678049876432
WTA_CHALL,r55_64,55,64,60,2,0.5774647887323944,9.267990074441688
WTA_CHALL,r65_74,65,74,240,7,0.3220338983050847,7.495476867407598
WTA_CHALL,r75_84,75,84,60,12,0.4146341463414634,13.438464175522798
WTA_CHALL,r85_94,85,94,90,2,0.9090909090909092,6.806971390989806
WTA_MAIN,r05_14,5,14,240,2,0.5568627450980392,91.26170307623718
WTA_MAIN,r15_24,15,24,180,1,0.7793296089385475,42.1413659409484
WTA_MAIN,r25_34,25,34,240,1,0.7980997624703088,33.501853724300645
WTA_MAIN,r35_44,35,44,180,2,0.6037735849056604,12.54392325283061
WTA_MAIN,r45_54,45,54,60,1,0.7848605577689243,12.999216914643696
WTA_MAIN,r55_64,55,64,120,18,0.1420560747663551,11.7037085961494
WTA_MAIN,r65_74,65,74,60,1,0.7770961145194274,7.047276399671778
WTA_MAIN,r75_84,75,84,180,10,0.3685636856368564,6.04637292179229
WTA_MAIN,r85_94,85,94,120,1,0.927797833935018,4.727055141305349
