c,final_target,cur_offset,incr_ev_c_per_leg,n,gated_to_current,D@T-240,D@T-180,D@T-120,D@T-90,D@T-60,D@T-40,D@T-30,D@T-20,D@T-10,D@T-5
5,2,2,0.0,24,1,2,2,2,2,2,2,1,1,1,1
6,2,2,0.0,41,1,2,2,2,2,2,2,1,1,1,1
7,2,2,0.0,5,1,2,2,2,2,2,2,1,1,1,1
8,2,2,0.0,17,1,2,2,2,2,2,2,1,1,1,1
9,2,2,0.0,4,1,2,2,2,2,2,2,1,1,1,1
10,2,2,0.0,17,1,2,2,2,2,2,2,1,1,1,1
11,2,2,0.0,15,1,2,2,2,2,2,2,1,1,1,1
12,2,2,0.0,44,1,2,2,2,2,2,2,1,1,1,1
13,2,2,0.0,9,1,2,2,2,2,2,2,1,1,1,1
14,3,2,0.143,21,0,3,3,3,3,3,2,2,2,1,1
15,4,1,0.818,22,0,4,4,4,4,4,3,2,2,1,1
16,4,1,0.98,51,0,4,4,4,4,4,3,2,2,1,1
17,4,1,0.0,10,0,4,4,4,4,4,3,2,2,1,1
18,4,1,1.28,59,0,4,4,4,4,4,3,2,2,1,1
19,3,1,0.0,8,0,3,3,3,3,3,2,2,2,1,1
20,4,1,0.774,62,0,4,4,4,4,4,3,2,2,1,1
21,4,1,0.0,20,0,4,4,4,4,4,3,2,2,1,1
22,4,1,0.851,67,0,4,4,4,4,4,3,2,2,1,1
23,4,1,0.065,23,0,4,4,4,4,4,3,2,2,1,1
24,5,1,1.472,90,0,5,5,5,5,5,4,3,2,1,1
25,6,1,0.0,18,0,6,6,6,6,6,4,3,2,1,1
26,6,1,0.452,73,0,6,6,6,6,6,4,3,2,1,1
27,6,1,0.12,25,0,6,6,6,6,6,4,3,2,1,1
28,6,1,1.331,62,0,6,6,6,6,6,4,3,2,1,1
29,6,1,1.207,41,0,6,6,6,6,6,4,3,2,1,1
30,6,1,1.714,96,0,6,6,6,6,6,4,3,2,1,1
31,7,1,0.0,11,0,7,7,7,7,7,5,4,3,2,1
32,7,1,0.908,103,0,7,7,7,7,7,5,4,3,2,1
33,7,1,3.4,20,0,7,7,7,7,7,5,4,3,2,1
34,7,1,2.124,113,0,7,7,7,7,7,5,4,3,2,1
35,6,2,0.0,19,0,6,6,6,6,6,4,3,2,1,1
36,6,2,0.835,103,0,6,6,6,6,6,4,3,2,1,1
37,6,2,1.857,21,0,6,6,6,6,6,4,3,2,1,1
38,6,2,0.263,118,0,6,6,6,6,6,4,3,2,1,1
39,6,2,0.159,22,0,6,6,6,6,6,4,3,2,1,1
40,6,2,1.358,120,0,6,6,6,6,6,4,3,2,1,1
41,6,2,0.34,25,0,6,6,6,6,6,4,3,2,1,1
42,6,2,0.623,126,0,6,6,6,6,6,4,3,2,1,1
43,7,2,1.037,27,0,7,7,7,7,7,5,4,3,2,1
44,7,2,0.691,110,0,7,7,7,7,7,5,4,3,2,1
45,7,1,1.875,28,0,7,7,7,7,7,5,4,3,2,1
46,6,1,1.678,90,0,6,6,6,6,6,4,3,2,1,1
47,6,1,1.086,35,0,6,6,6,6,6,4,3,2,1,1
48,6,1,1.599,91,0,6,6,6,6,6,4,3,2,1,1
49,6,1,0.0,18,0,6,6,6,6,6,4,3,2,1,1
50,5,1,1.413,92,0,5,5,5,5,5,4,3,2,1,1
51,4,1,0.0,11,0,4,4,4,4,4,3,2,2,1,1
52,5,1,0.399,99,0,5,5,5,5,5,4,3,2,1,1
53,5,1,0.0,34,0,5,5,5,5,5,4,3,2,1,1
54,5,1,1.524,62,0,5,5,5,5,5,4,3,2,1,1
55,6,18,0.0,68,0,6,6,6,6,6,4,3,2,1,1
56,7,18,0.0,97,0,7,7,7,7,7,5,4,3,2,1
57,8,18,0.0,83,0,8,8,8,8,8,5,4,3,2,1
58,9,18,0.0,73,0,9,9,9,9,9,6,5,3,2,1
59,10,18,0.0,21,0,10,10,10,10,10,7,5,3,2,1
60,11,18,0.0,117,0,11,11,11,11,11,7,6,4,2,1
61,12,18,0.0,19,0,12,12,12,12,12,8,6,4,2,1
62,13,18,0.0,115,0,13,13,13,13,13,9,6,4,2,1
63,14,18,0.0,21,0,14,14,14,14,14,9,7,5,2,1
64,15,18,0.0,102,0,15,15,15,15,15,10,7,5,2,1
65,14,1,0.0,17,0,14,14,14,14,14,9,7,5,2,1
66,13,1,2.013,116,0,13,13,13,13,13,9,6,4,2,1
67,12,1,0.0,17,0,12,12,12,12,12,8,6,4,2,1
68,11,1,1.36,100,0,11,11,11,11,11,7,6,4,2,1
69,10,1,0.0,16,0,10,10,10,10,10,7,5,3,2,1
70,9,1,0.947,85,0,9,9,9,9,9,6,5,3,2,1
71,8,1,0.0,18,0,8,8,8,8,8,5,4,3,2,1
72,7,1,1.345,100,0,7,7,7,7,7,5,4,3,2,1
73,7,1,0.0,17,0,7,7,7,7,7,5,4,3,2,1
74,7,1,2.136,81,0,7,7,7,7,7,5,4,3,2,1
75,8,10,0.0,11,0,8,8,8,8,8,5,4,3,2,1
76,9,10,0.0,80,0,9,9,9,9,9,6,5,3,2,1
77,10,10,0.0,16,1,10,10,10,10,10,7,5,3,2,1
78,10,10,0.0,69,1,10,10,10,10,10,7,5,3,2,1
79,10,10,0.0,13,1,10,10,10,10,10,7,5,3,2,1
80,10,10,0.0,67,1,10,10,10,10,10,7,5,3,2,1
81,10,10,0.0,11,1,10,10,10,10,10,7,5,3,2,1
82,10,10,0.0,51,1,10,10,10,10,10,7,5,3,2,1
83,10,10,0.0,7,1,10,10,10,10,10,7,5,3,2,1
84,10,10,0.0,52,1,10,10,10,10,10,7,5,3,2,1
85,9,1,0.0,8,0,9,9,9,9,9,6,5,3,2,1
86,8,1,0.65,40,0,8,8,8,8,8,5,4,3,2,1
87,7,1,0.0,7,0,7,7,7,7,7,5,4,3,2,1
88,6,1,0.776,38,0,6,6,6,6,6,4,3,2,1,1
89,5,1,0.0,5,0,5,5,5,5,5,4,3,2,1,1
90,4,1,1.5,29,0,4,4,4,4,4,3,2,2,1,1
91,3,1,0.0,6,0,3,3,3,3,3,2,2,2,1,1
92,4,1,1.957,23,0,4,4,4,4,4,3,2,2,1,1
93,3,1,0.0,7,0,3,3,3,3,3,2,2,2,1,1
94,4,1,0.897,58,0,4,4,4,4,4,3,2,2,1,1
