category,c,regime,placement_minute,bid_offset_cents,expected_fill_rate,expected_net_roi_pct,fill_src
WTA_MAIN,30,r25_34,240,1,0.7647,33.5019,percell_dip
WTA_MAIN,31,r25_34,240,1,0.7639,33.5019,percell_dip
WTA_MAIN,32,r25_34,240,1,0.7635,33.5019,percell_dip
WTA_MAIN,33,r25_34,240,1,0.8088,33.5019,percell_dip
WTA_MAIN,34,r25_34,240,1,0.8083,33.5019,percell_dip
WTA_MAIN,35,r35_44,180,2,0.6175,12.5439,percell_dip
WTA_MAIN,36,r35_44,180,2,0.6271,12.5439,percell_dip
WTA_MAIN,37,r35_44,180,2,0.6299,12.5439,percell_dip
WTA_MAIN,38,r35_44,180,2,0.6332,12.5439,percell_dip
WTA_MAIN,39,r35_44,180,2,0.6494,12.5439,percell_dip
WTA_MAIN,40,r35_44,180,2,0.6478,12.5439,percell_dip
WTA_MAIN,41,r35_44,180,2,0.6712,12.5439,percell_dip
WTA_MAIN,42,r35_44,180,2,0.6874,12.5439,percell_dip
WTA_MAIN,43,r35_44,180,2,0.6917,12.5439,percell_dip
WTA_MAIN,44,r35_44,180,2,0.7007,12.5439,percell_dip
WTA_MAIN,45,r45_54,60,1,0.8706,12.9992,percell_dip
WTA_MAIN,46,r45_54,60,1,0.866,12.9992,percell_dip
WTA_MAIN,47,r45_54,60,1,0.863,12.9992,percell_dip
WTA_MAIN,48,r45_54,60,1,0.864,12.9992,percell_dip
WTA_MAIN,49,r45_54,60,1,0.8455,12.9992,percell_dip
WTA_MAIN,50,r45_54,60,1,0.8372,12.9992,percell_dip
WTA_MAIN,51,r45_54,60,1,0.837,12.9992,percell_dip
WTA_MAIN,52,r45_54,60,1,0.8278,12.9992,percell_dip
WTA_MAIN,53,r45_54,60,1,0.8071,12.9992,percell_dip
WTA_MAIN,54,r45_54,60,1,0.789,12.9992,percell_dip
WTA_MAIN,55,r55_64,120,18,0.1415,11.7037,percell_dip
WTA_MAIN,56,r55_64,120,18,0.1408,11.7037,percell_dip
WTA_MAIN,57,r55_64,120,18,0.1414,11.7037,percell_dip
WTA_MAIN,58,r55_64,120,18,0.133,11.7037,percell_dip
WTA_MAIN,59,r55_64,120,18,0.1323,11.7037,percell_dip
WTA_MAIN,60,r55_64,120,18,0.1323,11.7037,percell_dip
WTA_MAIN,61,r55_64,120,18,0.1226,11.7037,percell_dip
WTA_MAIN,62,r55_64,120,18,0.1355,11.7037,percell_dip
WTA_MAIN,63,r55_64,120,18,0.1394,11.7037,percell_dip
WTA_MAIN,64,r55_64,120,18,0.1422,11.7037,percell_dip
WTA_MAIN,65,r65_74,60,1,0.881,7.0473,percell_dip
WTA_MAIN,66,r65_74,60,1,0.8929,7.0473,percell_dip
WTA_MAIN,67,r65_74,60,1,0.9008,7.0473,percell_dip
WTA_MAIN,68,r65_74,60,1,0.8986,7.0473,percell_dip
WTA_MAIN,69,r65_74,60,1,0.896,7.0473,percell_dip
WTA_MAIN,70,r65_74,60,1,0.901,7.0473,percell_dip
WTA_MAIN,71,r65_74,60,1,0.8963,7.0473,percell_dip
