c,final_target,cur_offset,incr_ev_c_per_leg,n,gated_to_current,D@T-240,D@T-180,D@T-120,D@T-90,D@T-60,D@T-40,D@T-30,D@T-20,D@T-10,D@T-5
5,3,3,0.0,43,1,3,3,3,3,3,2,2,2,1,1
6,3,3,0.0,46,1,3,3,3,3,3,2,2,2,1,1
7,3,3,0.0,10,1,3,3,3,3,3,2,2,2,1,1
8,3,3,0.0,52,1,3,3,3,3,3,2,2,2,1,1
9,3,3,0.0,11,1,3,3,3,3,3,2,2,2,1,1
10,3,3,0.338,34,0,3,3,3,3,3,2,2,2,1,1
11,3,3,0.0,29,1,3,3,3,3,3,2,2,2,1,1
12,4,3,0.402,51,0,4,4,4,4,4,3,2,2,1,1
13,4,3,0.0,13,0,4,4,4,4,4,3,2,2,1,1
14,4,3,0.319,36,0,4,4,4,4,4,3,2,2,1,1
15,4,2,0.381,42,0,4,4,4,4,4,3,2,2,1,1
16,5,2,0.585,82,0,5,5,5,5,5,4,3,2,1,1
17,5,2,0.58,25,0,5,5,5,5,5,4,3,2,1,1
18,6,2,1.019,77,0,6,6,6,6,6,4,3,2,1,1
19,6,2,2.425,20,0,6,6,6,6,6,4,3,2,1,1
20,6,2,1.591,82,0,6,6,6,6,6,4,3,2,1,1
21,6,2,0.0,19,0,6,6,6,6,6,4,3,2,1,1
22,6,2,1.783,90,0,6,6,6,6,6,4,3,2,1,1
23,6,2,1.68,25,0,6,6,6,6,6,4,3,2,1,1
24,6,2,1.678,104,0,6,6,6,6,6,4,3,2,1,1
25,6,2,0.661,31,0,6,6,6,6,6,4,3,2,1,1
26,6,2,0.467,105,0,6,6,6,6,6,4,3,2,1,1
27,5,2,0.121,29,0,5,5,5,5,5,4,3,2,1,1
28,5,2,1.154,78,0,5,5,5,5,5,4,3,2,1,1
29,5,2,0.15,70,0,5,5,5,5,5,4,3,2,1,1
30,5,2,0.0,130,0,5,5,5,5,5,4,3,2,1,1
31,6,2,1.75,42,0,6,6,6,6,6,4,3,2,1,1
32,6,2,0.799,137,0,6,6,6,6,6,4,3,2,1,1
33,6,2,1.967,60,0,6,6,6,6,6,4,3,2,1,1
34,6,2,1.593,150,0,6,6,6,6,6,4,3,2,1,1
35,6,3,0.609,46,0,6,6,6,6,6,4,3,2,1,1
36,6,3,1.121,161,0,6,6,6,6,6,4,3,2,1,1
37,6,3,0.0,43,0,6,6,6,6,6,4,3,2,1,1
38,6,3,0.829,164,0,6,6,6,6,6,4,3,2,1,1
39,7,3,0.76,52,0,7,7,7,7,7,5,4,3,2,1
40,7,3,1.168,164,0,7,7,7,7,7,5,4,3,2,1
41,7,3,1.949,49,0,7,7,7,7,7,5,4,3,2,1
42,7,3,0.0,160,0,7,7,7,7,7,5,4,3,2,1
43,7,3,2.103,58,0,7,7,7,7,7,5,4,3,2,1
44,7,3,0.518,164,0,7,7,7,7,7,5,4,3,2,1
45,7,7,0.0,75,1,7,7,7,7,7,5,4,3,2,1
46,7,7,0.0,134,1,7,7,7,7,7,5,4,3,2,1
47,7,7,0.0,43,1,7,7,7,7,7,5,4,3,2,1
48,7,7,0.0,147,1,7,7,7,7,7,5,4,3,2,1
49,7,7,0.0,31,1,7,7,7,7,7,5,4,3,2,1
50,7,7,0.0,118,1,7,7,7,7,7,5,4,3,2,1
51,7,7,0.0,33,1,7,7,7,7,7,5,4,3,2,1
52,7,7,0.0,145,1,7,7,7,7,7,5,4,3,2,1
53,7,7,0.0,48,1,7,7,7,7,7,5,4,3,2,1
54,7,7,0.0,94,1,7,7,7,7,7,5,4,3,2,1
55,6,4,0.083,139,0,6,6,6,6,6,4,3,2,1,1
56,5,4,0.193,150,0,5,5,5,5,5,4,3,2,1,1
57,5,4,0.188,117,0,5,5,5,5,5,4,3,2,1,1
58,5,4,0.491,107,0,5,5,5,5,5,4,3,2,1,1
59,5,4,0.311,61,0,5,5,5,5,5,4,3,2,1,1
60,6,4,0.049,184,0,6,6,6,6,6,4,3,2,1,1
61,6,4,0.0,54,0,6,6,6,6,6,4,3,2,1,1
62,5,4,0.572,160,0,5,5,5,5,5,4,3,2,1,1
63,4,4,0.0,39,1,4,4,4,4,4,3,2,2,1,1
64,4,4,0.0,168,1,4,4,4,4,4,3,2,2,1,1
65,4,2,1.15,50,0,4,4,4,4,4,3,2,2,1,1
66,4,2,0.0,168,0,4,4,4,4,4,3,2,2,1,1
67,5,2,0.0,48,0,5,5,5,5,5,4,3,2,1,1
68,6,2,0.916,148,0,6,6,6,6,6,4,3,2,1,1
69,6,2,1.257,35,0,6,6,6,6,6,4,3,2,1,1
70,6,2,0.781,144,0,6,6,6,6,6,4,3,2,1,1
71,6,2,1.364,44,0,6,6,6,6,6,4,3,2,1,1
72,7,2,0.514,109,0,7,7,7,7,7,5,4,3,2,1
73,7,2,2.339,31,0,7,7,7,7,7,5,4,3,2,1
74,7,2,1.122,123,0,7,7,7,7,7,5,4,3,2,1
75,7,3,0.0,39,0,7,7,7,7,7,5,4,3,2,1
76,6,3,1.196,92,0,6,6,6,6,6,4,3,2,1,1
77,6,3,0.0,37,0,6,6,6,6,6,4,3,2,1,1
78,6,3,0.688,96,0,6,6,6,6,6,4,3,2,1,1
79,6,3,0.056,27,0,6,6,6,6,6,4,3,2,1,1
80,6,3,0.69,71,0,6,6,6,6,6,4,3,2,1,1
81,6,3,0.143,28,0,6,6,6,6,6,4,3,2,1,1
82,6,3,0.0,84,0,6,6,6,6,6,4,3,2,1,1
83,6,3,0.63,27,0,6,6,6,6,6,4,3,2,1,1
84,6,3,0.199,88,0,6,6,6,6,6,4,3,2,1,1
85,7,7,0.0,17,1,7,7,7,7,7,5,4,3,2,1
86,7,7,0.0,53,1,7,7,7,7,7,5,4,3,2,1
87,7,7,0.0,15,1,7,7,7,7,7,5,4,3,2,1
88,7,7,0.0,52,1,7,7,7,7,7,5,4,3,2,1
89,7,7,0.0,14,1,7,7,7,7,7,5,4,3,2,1
90,7,7,0.0,40,1,7,7,7,7,7,5,4,3,2,1
91,7,7,0.0,12,1,7,7,7,7,7,5,4,3,2,1
92,7,7,0.0,47,1,7,7,7,7,7,5,4,3,2,1
93,7,7,0.0,12,1,7,7,7,7,7,5,4,3,2,1
94,7,7,0.0,79,1,7,7,7,7,7,5,4,3,2,1
