category,c,regime,placement_minute,bid_offset_cents,prev_offset,envelope_off60,expected_fill_rate,expected_net_roi_pct,fill_src
ATP_MAIN,79,r75_84,180,1,3,3,0.557,4.0863,conservative
ATP_MAIN,80,r75_84,180,1,3,3,0.543,4.0863,conservative
ATP_MAIN,81,r75_84,180,1,3,3,0.537,4.0863,conservative
ATP_MAIN,82,r75_84,180,1,3,3,0.548,4.0863,conservative
ATP_MAIN,83,r75_84,180,1,3,3,0.561,4.0863,conservative
ATP_MAIN,84,r75_84,180,1,3,3,0.575,4.0863,conservative
ATP_MAIN,85,r85_94,90,1,1,3,0.575,7.801,conservative
ATP_MAIN,86,r85_94,90,1,1,3,0.563,7.801,conservative
ATP_MAIN,87,r85_94,90,1,1,4,0.556,7.801,conservative
ATP_MAIN,88,r85_94,90,1,1,4,0.551,7.801,conservative
ATP_MAIN,89,r85_94,90,1,1,3,0.549,7.801,conservative
ATP_MAIN,90,r85_94,90,1,1,5,0.563,7.801,conservative
ATP_MAIN,91,r85_94,90,1,1,6,0.55,7.801,conservative
ATP_MAIN,92,r85_94,90,1,1,6,0.526,7.801,conservative
ATP_MAIN,93,r85_94,90,1,1,5,0.495,7.801,conservative
ATP_MAIN,94,r85_94,90,1,1,4,0.471,7.801,conservative
WTA_MAIN,5,r05_14,240,1,2,2,0.43,91.2617,conservative
WTA_MAIN,6,r05_14,240,1,2,2,0.455,91.2617,conservative
WTA_MAIN,7,r05_14,240,1,2,2,0.472,91.2617,conservative
WTA_MAIN,8,r05_14,240,1,2,2,0.472,91.2617,conservative
WTA_MAIN,9,r05_14,240,1,2,2,0.49,91.2617,conservative
WTA_MAIN,10,r05_14,240,1,2,2,0.497,91.2617,conservative
WTA_MAIN,11,r05_14,240,1,2,2,0.503,91.2617,conservative
WTA_MAIN,12,r05_14,240,1,2,2,0.529,91.2617,conservative
WTA_MAIN,13,r05_14,240,1,2,2,0.534,91.2617,conservative
WTA_MAIN,14,r05_14,240,1,2,2,0.54,91.2617,conservative
WTA_MAIN,15,r15_24,180,1,1,2,0.536,42.1414,conservative
WTA_MAIN,16,r15_24,180,1,1,2,0.537,42.1414,conservative
WTA_MAIN,17,r15_24,180,1,1,2,0.553,42.1414,conservative
WTA_MAIN,18,r15_24,180,1,1,2,0.553,42.1414,conservative
WTA_MAIN,19,r15_24,180,1,1,2,0.566,42.1414,conservative
WTA_MAIN,20,r15_24,180,1,1,2,0.574,42.1414,conservative
WTA_MAIN,21,r15_24,180,1,1,3,0.569,42.1414,conservative
