category,c,regime,placement_minute,bid_offset_cents,expected_fill_rate,expected_net_roi_pct,fill_src
ATP_MAIN,5,r05_14,240,3,0.9412,83.5629,drift_surface
ATP_MAIN,6,r05_14,240,3,0.9722,83.5629,drift_surface
ATP_MAIN,7,r05_14,240,3,1.0,83.5629,drift_surface
ATP_MAIN,8,r05_14,240,3,0.9167,83.5629,drift_surface
ATP_MAIN,9,r05_14,240,3,1.0,83.5629,drift_surface
ATP_MAIN,10,r05_14,240,1,1.0,83.5629,drift_surface
ATP_MAIN,11,r05_14,240,3,0.9474,83.5629,drift_surface
ATP_MAIN,12,r05_14,240,3,1.0,83.5629,drift_surface
ATP_MAIN,13,r05_14,240,3,0.96,83.5629,drift_surface
ATP_MAIN,14,r05_14,240,3,1.0,83.5629,drift_surface
ATP_MAIN,15,r15_24,180,2,1.0,43.1403,drift_surface
ATP_MAIN,16,r15_24,240,1,1.0,43.1403,drift_surface
ATP_MAIN,17,r15_24,240,3,0.9524,43.1403,drift_surface
ATP_MAIN,18,r15_24,240,3,0.9818,43.1403,drift_surface
ATP_MAIN,19,r15_24,240,2,1.0,43.1403,drift_surface
ATP_MAIN,20,r15_24,240,3,0.9857,43.1403,drift_surface
ATP_MAIN,21,r15_24,240,3,1.0,43.1403,drift_surface
ATP_MAIN,22,r15_24,240,3,1.0,43.1403,drift_surface
ATP_MAIN,23,r15_24,240,2,1.0,43.1403,drift_surface
ATP_MAIN,24,r15_24,240,3,0.9286,43.1403,drift_surface
ATP_MAIN,25,r25_34,240,3,0.9364,20.9094,drift_surface
ATP_MAIN,26,r25_34,240,3,1.0,20.9094,drift_surface
ATP_MAIN,27,r25_34,240,3,0.0,20.9094,drift_surface
ATP_MAIN,28,r25_34,240,3,1.0,20.9094,drift_surface
ATP_MAIN,29,r25_34,240,3,0.9,20.9094,drift_surface
ATP_MAIN,30,r25_34,240,1,0.95,20.9094,drift_surface
ATP_MAIN,31,r25_34,240,3,1.0,20.9094,drift_surface
ATP_MAIN,32,r25_34,240,3,1.0,20.9094,drift_surface
ATP_MAIN,33,r25_34,240,3,0.9884,20.9094,drift_surface
ATP_MAIN,34,r25_34,240,2,1.0,20.9094,drift_surface
ATP_MAIN,35,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,36,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,37,r35_44,240,3,0.9811,9.4801,drift_surface
ATP_MAIN,38,r35_44,240,3,0.6667,9.4801,drift_surface
ATP_MAIN,39,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,40,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,41,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,42,r35_44,240,3,0.5,9.4801,drift_surface
ATP_MAIN,43,r35_44,240,3,0.9904,9.4801,drift_surface
ATP_MAIN,44,r35_44,240,3,1.0,9.4801,drift_surface
ATP_MAIN,45,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,46,r45_54,240,3,0.75,10.9063,drift_surface
ATP_MAIN,47,r45_54,240,3,0.6667,10.9063,drift_surface
ATP_MAIN,48,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,49,r45_54,240,3,0.6667,10.9063,drift_surface
ATP_MAIN,50,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,51,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,52,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,53,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,54,r45_54,240,3,1.0,10.9063,drift_surface
ATP_MAIN,55,r55_64,240,2,1.0,9.8542,drift_surface
ATP_MAIN,56,r55_64,120,2,0.9333,9.8542,drift_surface
ATP_MAIN,57,r55_64,240,3,0.75,9.8542,drift_surface
ATP_MAIN,58,r55_64,240,1,0.95,9.8542,drift_surface
ATP_MAIN,59,r55_64,240,2,0.8889,9.8542,drift_surface
ATP_MAIN,60,r55_64,240,3,1.0,9.8542,drift_surface
ATP_MAIN,61,r55_64,240,3,1.0,9.8542,drift_surface
ATP_MAIN,62,r55_64,240,3,1.0,9.8542,drift_surface
ATP_MAIN,63,r55_64,240,3,1.0,9.8542,drift_surface
ATP_MAIN,64,r55_64,240,3,0.6667,9.8542,drift_surface
ATP_MAIN,65,r65_74,240,3,0.0,4.0085,drift_surface
ATP_MAIN,66,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,67,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,68,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,69,r65_74,240,2,1.0,4.0085,drift_surface
ATP_MAIN,70,r65_74,240,1,1.0,4.0085,drift_surface
ATP_MAIN,71,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,72,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,73,r65_74,240,3,0.9879,4.0085,drift_surface
ATP_MAIN,74,r65_74,240,3,1.0,4.0085,drift_surface
ATP_MAIN,75,r75_84,240,3,0.9665,4.0863,drift_surface
ATP_MAIN,76,r75_84,240,3,0.9262,4.0863,drift_surface
ATP_MAIN,77,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,78,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,79,r75_84,240,3,0.9537,4.0863,drift_surface
ATP_MAIN,80,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,81,r75_84,240,1,0.9643,4.0863,drift_surface
ATP_MAIN,82,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,83,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,84,r75_84,240,3,1.0,4.0863,drift_surface
ATP_MAIN,85,r85_94,240,1,0.875,7.801,drift_surface
