category,anchor_regime,anchor_low_cents,anchor_high_cents,placement_minute,bid_offset_cents,expected_fill_rate,expected_improvement_cents
ATP_CHALL,r05_14,5,14,240,3,0.3873,1.162
ATP_CHALL,r15_24,15,24,240,5,0.2914,1.4571
ATP_CHALL,r25_34,25,34,240,3,0.4479,1.3436
ATP_CHALL,r35_44,35,44,240,8,0.1774,1.4194
ATP_CHALL,r45_54,45,54,90,15,0.1367,2.0511
ATP_CHALL,r55_64,55,64,240,3,0.5725,1.7176
ATP_CHALL,r65_74,65,74,240,15,0.1417,2.1261
ATP_CHALL,r75_84,75,84,180,15,0.2933,4.4
ATP_CHALL,r85_94,85,94,240,15,0.4651,6.9767
ATP_MAIN,r05_14,5,14,240,2,0.5289,1.0579
ATP_MAIN,r15_24,15,24,240,5,0.2356,1.1782
ATP_MAIN,r25_34,25,34,180,8,0.1463,1.1707
ATP_MAIN,r35_44,35,44,240,2,0.6334,1.2668
ATP_MAIN,r45_54,45,54,240,15,0.1233,1.8493
ATP_MAIN,r55_64,55,64,180,15,0.1164,1.7458
ATP_MAIN,r65_74,65,74,240,15,0.1485,2.228
ATP_MAIN,r75_84,75,84,180,15,0.316,4.7404
ATP_MAIN,r85_94,85,94,180,15,0.4186,6.2791
WTA_CHALL,r05_14,5,14,180,2,0.5122,1.0244
WTA_CHALL,r15_24,15,24,180,5,0.3467,1.7333
WTA_CHALL,r25_34,25,34,120,10,0.2308,2.3077
WTA_CHALL,r35_44,35,44,120,10,0.2054,2.0536
WTA_CHALL,r45_54,45,54,120,10,0.2316,2.3158
WTA_CHALL,r55_64,55,64,90,15,0.1549,2.3239
WTA_CHALL,r65_74,65,74,120,15,0.2034,3.0508
WTA_CHALL,r75_84,75,84,120,15,0.3902,5.8537
WTA_CHALL,r85_94,85,94,90,15,0.4545,6.8182
WTA_MAIN,r05_14,5,14,240,2,0.5569,1.1137
WTA_MAIN,r15_24,15,24,240,5,0.2737,1.3687
WTA_MAIN,r25_34,25,34,180,10,0.1544,1.5439
WTA_MAIN,r35_44,35,44,180,15,0.1384,2.0755
WTA_MAIN,r45_54,45,54,180,15,0.2191,3.2869
WTA_MAIN,r55_64,55,64,240,15,0.1551,2.3271
WTA_MAIN,r65_74,65,74,180,15,0.2168,3.2515
WTA_MAIN,r75_84,75,84,180,15,0.2927,4.3902
WTA_MAIN,r85_94,85,94,240,15,0.426,6.3899
