c,final_target,cur_offset,incr_ev_c_per_leg,n,gated_to_current,D@T-240,D@T-180,D@T-120,D@T-90,D@T-60,D@T-40,D@T-30,D@T-20,D@T-10,D@T-5
5,2,2,0.0,9,1,2,2,2,2,2,2,1,1,1,1
6,2,2,0.0,10,1,2,2,2,2,2,2,1,1,1,1
7,2,2,0.0,3,1,2,2,2,2,2,2,1,1,1,1
8,2,2,0.0,5,1,2,2,2,2,2,2,1,1,1,1
9,2,2,0.0,1,1,2,2,2,2,2,2,1,1,1,1
10,2,2,0.0,6,1,2,2,2,2,2,2,1,1,1,1
11,2,2,0.0,3,1,2,2,2,2,2,2,1,1,1,1
12,2,2,0.0,5,1,2,2,2,2,2,2,1,1,1,1
13,2,2,0.0,4,1,2,2,2,2,2,2,1,1,1,1
14,2,2,0.0,3,1,2,2,2,2,2,2,1,1,1,1
15,3,3,0.0,6,1,3,3,3,3,3,2,2,2,1,1
16,3,3,0.0,6,1,3,3,3,3,3,2,2,2,1,1
17,3,3,0.0,4,1,3,3,3,3,3,2,2,2,1,1
18,3,3,0.0,10,1,3,3,3,3,3,2,2,2,1,1
19,3,3,0.0,3,1,3,3,3,3,3,2,2,2,1,1
20,3,3,0.0,12,1,3,3,3,3,3,2,2,2,1,1
21,3,3,0.0,8,1,3,3,3,3,3,2,2,2,1,1
22,3,3,0.0,12,1,3,3,3,3,3,2,2,2,1,1
23,3,3,0.0,6,1,3,3,3,3,3,2,2,2,1,1
24,4,3,0.652,23,0,4,4,4,4,4,3,2,2,1,1
25,5,10,0.0,5,0,5,5,5,5,5,4,3,2,1,1
26,6,10,0.0,23,0,6,6,6,6,6,4,3,2,1,1
27,7,10,0.0,4,0,7,7,7,7,7,5,4,3,2,1
28,8,10,0.0,11,0,8,8,8,8,8,5,4,3,2,1
29,9,10,0.0,11,0,9,9,9,9,9,6,5,3,2,1
30,10,10,0.0,21,1,10,10,10,10,10,7,5,3,2,1
31,10,10,0.0,6,1,10,10,10,10,10,7,5,3,2,1
32,10,10,0.0,31,1,10,10,10,10,10,7,5,3,2,1
33,10,10,0.0,14,1,10,10,10,10,10,7,5,3,2,1
34,10,10,0.0,27,1,10,10,10,10,10,7,5,3,2,1
35,9,2,0.0,9,0,9,9,9,9,9,6,5,3,2,1
36,8,2,0.825,20,0,8,8,8,8,8,5,4,3,2,1
37,7,2,0.0,13,0,7,7,7,7,7,5,4,3,2,1
38,7,2,2.467,30,0,7,7,7,7,7,5,4,3,2,1
39,6,2,0.0,5,0,6,6,6,6,6,4,3,2,1,1
40,6,2,0.19,29,0,6,6,6,6,6,4,3,2,1,1
41,5,2,0.0,7,0,5,5,5,5,5,4,3,2,1,1
42,6,2,1.788,26,0,6,6,6,6,6,4,3,2,1,1
43,5,2,0.0,8,0,5,5,5,5,5,4,3,2,1,1
44,4,2,1.56,25,0,4,4,4,4,4,3,2,2,1,1
45,3,2,0.0,13,0,3,3,3,3,3,2,2,2,1,1
46,2,2,0.0,19,1,2,2,2,2,2,2,1,1,1,1
47,2,2,0.0,10,1,2,2,2,2,2,2,1,1,1,1
48,2,2,1.273,22,0,2,2,2,2,2,2,1,1,1,1
49,2,2,0.0,5,1,2,2,2,2,2,2,1,1,1,1
50,3,2,0.104,24,0,3,3,3,3,3,2,2,2,1,1
51,2,2,0.0,11,1,2,2,2,2,2,2,1,1,1,1
52,2,2,0.96,25,0,2,2,2,2,2,2,1,1,1,1
53,2,2,0.0,10,1,2,2,2,2,2,2,1,1,1,1
54,3,2,0.0,11,0,3,3,3,3,3,2,2,2,1,1
55,2,2,4.35,20,0,2,2,2,2,2,2,1,1,1,1
56,2,2,2.119,21,0,2,2,2,2,2,2,1,1,1,1
57,2,2,0.0,19,1,2,2,2,2,2,2,1,1,1,1
58,2,2,0.0,15,1,2,2,2,2,2,2,1,1,1,1
59,2,2,0.0,8,1,2,2,2,2,2,2,1,1,1,1
60,2,2,1.463,27,0,2,2,2,2,2,2,1,1,1,1
61,2,2,0.0,6,1,2,2,2,2,2,2,1,1,1,1
62,3,2,0.017,30,0,3,3,3,3,3,2,2,2,1,1
63,4,2,0.0,10,0,4,4,4,4,4,3,2,2,1,1
64,5,2,0.804,23,0,5,5,5,5,5,4,3,2,1,1
65,6,7,0.0,11,0,6,6,6,6,6,4,3,2,1,1
66,7,7,0.5,32,0,7,7,7,7,7,5,4,3,2,1
67,7,7,0.0,14,1,7,7,7,7,7,5,4,3,2,1
68,8,7,0.204,27,0,8,8,8,8,8,5,4,3,2,1
69,7,7,0.0,7,1,7,7,7,7,7,5,4,3,2,1
70,7,7,0.55,20,0,7,7,7,7,7,5,4,3,2,1
