ticker_idx,cell,regime,anchor,offset,match_start_ts
249367,30,r25_34,30,2,1769758200.0
249971,61,r55_64,61,2,1769764560.0
250275,41,r35_44,41,1,1769764560.0
251165,74,r65_74,74,6,1769837760.0
251333,78,r75_84,78,1,1769837760.0
251585,87,r85_94,87,2,1769838660.0
251493,94,r85_94,95,1,1769838660.0
255639,5,r05_14,5,2,1769840640.0
255434,94,r85_94,96,1,1769840640.0
254196,93,r85_94,93,1,1769841960.0
253755,7,r05_14,7,2,1769841960.0
252085,44,r35_44,44,3,1769847900.0
251847,60,r55_64,60,2,1769847900.0
254638,36,r35_44,36,2,1769848080.0
255027,67,r65_74,67,2,1769848080.0
128559,56,r55_64,56,1,1769924220.0
128837,48,r45_54,48,1,1769924220.0
127754,75,r75_84,75,1,1769924760.0
127547,28,r25_34,28,2,1769924760.0
129451,50,r45_54,50,1,1769931180.0
129123,53,r45_54,53,1,1769931180.0
128262,58,r55_64,58,1,1769936040.0
127948,44,r35_44,44,2,1769936040.0
130301,66,r65_74,66,2,1770014400.0
130554,39,r35_44,39,2,1770014400.0
131846,21,r15_24,21,3,1770021240.0
130793,69,r65_74,69,4,1770032520.0
131148,34,r25_34,34,6,1770032520.0
132961,15,r15_24,15,3,1770097020.0
133897,52,r45_54,52,1,1770097140.0
134227,51,r45_54,51,1,1770097140.0
138487,38,r35_44,38,1,1770101880.0
134854,44,r35_44,44,2,1770102660.0
132587,60,r55_64,60,1,1770109320.0
137330,7,r05_14,7,2,1770120360.0
137676,94,r85_94,95,1,1770120360.0
136220,18,r15_24,18,2,1770124500.0
139165,37,r35_44,37,2,1770197820.0
142500,78,r75_84,78,2,1770199320.0
140030,85,r85_94,85,1,1770207660.0
140625,18,r15_24,18,2,1770207660.0
141082,19,r15_24,19,3,1770211620.0
145535,63,r55_64,63,3,1770285660.0
143298,84,r75_84,84,2,1770287580.0
143031,18,r15_24,18,3,1770287580.0
144436,10,r05_14,10,1,1770292980.0
143988,16,r15_24,16,2,1770294600.0
145827,43,r35_44,43,2,1770371400.0
146145,60,r55_64,60,2,1770371400.0
146473,61,r55_64,61,1,1770371520.0
146765,41,r35_44,41,1,1770371520.0
147430,64,r55_64,64,1,1770377880.0
147076,40,r35_44,40,2,1770377880.0
148169,36,r35_44,36,1,1770381000.0
147821,66,r65_74,66,2,1770381000.0
148524,45,r45_54,45,1,1770457440.0
148814,57,r55_64,57,1,1770457440.0
149104,78,r75_84,78,2,1770465540.0
152713,64,r55_64,64,2,1770551400.0
152477,37,r35_44,37,3,1770551400.0
149862,45,r45_54,45,1,1770556440.0
150062,55,r55_64,55,1,1770556440.0
150254,58,r55_64,58,1,1770564180.0
150775,62,r55_64,62,2,1770567000.0
151498,8,r05_14,8,2,1770571200.0
152944,32,r25_34,32,3,1770573300.0
153252,68,r65_74,68,4,1770573300.0
155518,44,r35_44,44,2,1770638340.0
155732,60,r55_64,60,2,1770638340.0
154428,49,r45_54,49,2,1770640200.0
154214,55,r55_64,55,1,1770640200.0
156612,72,r65_74,72,5,1770642720.0
155949,44,r35_44,44,2,1770643380.0
156124,58,r55_64,58,1,1770643380.0
157753,7,r05_14,7,1,1770646200.0
158224,80,r75_84,80,4,1770647220.0
158667,22,r15_24,22,1,1770647220.0
156931,55,r55_64,55,2,1770648780.0
157338,47,r45_54,47,2,1770648780.0
153569,28,r25_34,28,3,1770659340.0
154667,34,r25_34,34,3,1770660180.0
155080,67,r65_74,67,2,1770660180.0
160504,75,r75_84,75,2,1770722760.0
161062,46,r45_54,46,1,1770724080.0
161147,55,r55_64,55,1,1770724080.0
159102,68,r65_74,68,3,1770725460.0
159225,33,r25_34,33,3,1770725580.0
160210,34,r25_34,34,3,1770729180.0
160324,69,r65_74,69,2,1770729180.0
160592,81,r75_84,81,4,1770730800.0
160642,21,r15_24,21,2,1770730800.0
160724,51,r45_54,51,1,1770731160.0
160893,52,r45_54,52,1,1770731160.0
160072,35,r35_44,35,1,1770733440.0
159939,67,r65_74,67,1,1770733440.0
159341,34,r25_34,34,1,1770734520.0
159492,26,r25_34,26,1,1770739020.0
159609,75,r75_84,75,1,1770739020.0
161307,56,r55_64,56,2,1770741780.0
159736,10,r05_14,10,2,1770743100.0
162022,37,r35_44,37,2,1770808920.0
161930,66,r65_74,66,2,1770809460.0
161372,39,r35_44,39,2,1770814860.0
161490,69,r65_74,69,3,1770814860.0
161620,46,r45_54,46,1,1770821520.0
162843,27,r25_34,27,2,1770897720.0
163039,77,r75_84,77,3,1770897720.0
163716,66,r65_74,66,2,1770900840.0
163489,39,r35_44,39,4,1770906000.0
163242,61,r55_64,61,1,1770906000.0
162475,31,r25_34,31,6,1770913620.0
164488,77,r75_84,77,3,1770983700.0
165479,68,r65_74,68,6,1770988380.0
164209,39,r35_44,39,2,1770993660.0
166245,38,r35_44,38,4,1770999240.0
165838,66,r65_74,66,4,1770999240.0
167099,37,r35_44,37,2,1771069020.0
166776,64,r55_64,64,3,1771069020.0
167742,86,r85_94,86,3,1771078200.0
167416,16,r15_24,16,1,1771078200.0
173281,49,r45_54,49,1,1771153080.0
173404,50,r45_54,50,2,1771153080.0
169213,15,r15_24,15,2,1771161720.0
169342,81,r75_84,81,4,1771161720.0
172582,79,r75_84,79,2,1771162200.0
169509,83,r75_84,83,5,1771165260.0
169611,23,r15_24,23,2,1771165260.0
167980,14,r05_14,14,1,1771167840.0
168988,80,r75_84,80,4,1771170600.0
169101,22,r15_24,22,1,1771170600.0
170970,38,r35_44,38,3,1771170840.0
170783,65,r65_74,65,3,1771170840.0
171927,39,r35_44,39,3,1771172400.0
171853,17,r15_24,17,2,1771174860.0
168888,27,r25_34,27,2,1771180920.0
168624,52,r45_54,52,1,1771183740.0
172395,68,r65_74,68,3,1771190220.0
172199,37,r35_44,37,3,1771190220.0
179045,18,r15_24,18,2,1771240620.0
179214,87,r85_94,87,1,1771240620.0
180519,76,r75_84,76,3,1771241520.0
180378,28,r25_34,28,2,1771241520.0
176269,48,r45_54,48,1,1771241700.0
176454,55,r55_64,55,2,1771241700.0
177985,72,r65_74,72,2,1771245480.0
177850,30,r25_34,30,2,1771245480.0
176762,5,r05_14,4,1,1771245660.0
176645,94,r85_94,95,1,1771245660.0
177762,61,r55_64,61,1,1771246380.0
180780,14,r05_14,14,2,1771247160.0
180656,88,r85_94,88,1,1771247160.0
180174,29,r25_34,29,1,1771247700.0
179982,73,r65_74,73,1,1771247700.0
173542,28,r25_34,28,4,1771253880.0
173889,75,r75_84,75,4,1771253880.0
176879,64,r55_64,64,2,1771256520.0
178807,83,r75_84,83,1,1771256700.0
178667,16,r15_24,16,2,1771256700.0
175559,65,r65_74,65,2,1771257420.0
175783,36,r35_44,36,2,1771257420.0
180964,62,r55_64,62,1,1771260780.0
181166,41,r35_44,41,2,1771260780.0
174719,59,r55_64,59,2,1771263240.0
174544,52,r45_54,52,2,1771267260.0
174365,50,r45_54,50,1,1771267260.0
175072,23,r15_24,23,1,1771268580.0
175301,78,r75_84,78,2,1771268580.0
179318,9,r05_14,9,2,1771274340.0
177455,65,r65_74,65,1,1771278720.0
189858,91,r85_94,91,1,1771324140.0
190071,11,r05_14,11,2,1771324140.0
188889,63,r55_64,63,1,1771324440.0
189110,39,r35_44,39,2,1771324440.0
181643,31,r25_34,31,2,1771328340.0
193795,16,r15_24,16,2,1771330920.0
193954,86,r85_94,86,4,1771330920.0
190625,75,r75_84,75,2,1771332660.0
190363,26,r25_34,26,2,1771332660.0
193660,46,r45_54,46,1,1771334700.0
193504,58,r55_64,58,1,1771334700.0
191869,62,r55_64,62,2,1771336440.0
191592,40,r35_44,40,3,1771336440.0
195462,28,r25_34,28,2,1771337160.0
195669,72,r65_74,72,3,1771337160.0
187588,62,r55_64,62,2,1771337760.0
181915,35,r35_44,35,2,1771339020.0
182170,69,r65_74,69,2,1771339020.0
182882,69,r65_74,69,2,1771339260.0
183149,33,r25_34,33,3,1771339260.0
