bucket,n,5%,7%,10%,12%,15%,20%,25%,30%,35%,40%,50%,60%,75%,100%,125%,150%,200%,250%,300%,400%
ATP_MAIN_underdog_40-44,16,-8.4,-6.7,-4.1,-2.3,0.3,4.6,-5.9,-2.2,-6.8,-12.2,-14.8,-9.1,-12.0,0.4,13.1,-25.3,-25.3,-25.3,-25.3,-25.3
WTA_MAIN_leader_50-54,6,-12.5,-10.8,-8.3,-6.7,-4.2,-0.0,4.1,8.3,12.4,16.6,-0.2,6.5,16.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4
WTA_MAIN_leader_55-59,11,-14.0,-21.9,-19.7,-18.2,-26.6,-34.5,-43.5,-52.7,-50.9,-49.1,-45.5,-42.0,-52.6,-83.4,-83.4,-83.4,-83.4,-83.4,-83.4,-83.4
WTA_MAIN_leader_60-64,14,-10.2,-8.5,-13.8,-12.3,-25.8,-22.6,-19.4,-16.2,-13.0,-9.8,-3.4,-8.8,-30.2,-30.2,-30.2,-30.2,-30.2,-30.2,-30.2,-30.2
WTA_MAIN_leader_65-69,16,-21.1,-19.6,-17.4,-15.9,-13.6,-9.9,-6.1,-10.6,-7.2,-21.0,-16.2,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
WTA_MAIN_leader_70-74,21,-10.0,-8.3,-5.7,-4.0,-1.5,2.8,1.1,5.1,-3.7,-15.0,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7
WTA_MAIN_leader_80-84,13,-11.0,-9.3,-6.8,-5.1,-2.6,1.5,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4
WTA_MAIN_leader_85-89,8,-6.9,-5.4,-3.2,-1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
WTA_MAIN_underdog_15-19,9,-5.4,-3.7,-1.0,0.8,3.5,8.0,12.5,2.3,6.2,10.1,17.9,25.8,2.2,-6.1,-21.6,-13.1,3.8,20.8,37.8,71.8
WTA_MAIN_underdog_20-24,10,5.0,7.0,10.0,-11.1,-18.7,-26.8,-23.8,-20.8,-32.0,-44.3,-53.6,-66.1,-63.1,-58.0,-75.9,-73.4,-68.5,-63.6,-58.7,-53.6
WTA_MAIN_underdog_25-29,17,-13.4,-11.8,-9.3,-7.7,-5.2,-1.1,3.0,7.1,11.2,15.3,14.5,22.1,13.9,18.0,6.4,18.1,-9.2,-36.7,-55.0,-55.0
WTA_MAIN_underdog_30-34,17,-7.2,-5.5,-2.8,-13.7,-11.4,-14.5,-11.0,-7.4,-12.0,-17.0,-28.9,-24.2,-17.2,-16.4,-31.6,-39.8,-28.4,-43.6,-43.6,-43.6
WTA_MAIN_underdog_35-39,13,-18.9,-17.4,-23.8,-22.4,-20.3,-16.9,-13.4,-10.0,-6.6,-3.1,3.8,10.7,7.1,-22.3,-30.0,-42.2,-57.0,-57.0,-57.0,-57.0
WTA_MAIN_underdog_40-44,13,-26.7,-25.3,-31.9,-30.7,-28.8,-25.8,-22.7,-19.6,-16.5,-13.5,-7.3,-1.2,8.0,7.6,4.2,8.6,8.6,8.6,8.6,8.6
WTA_MAIN_underdog_45-49,8,-8.0,-6.2,-3.6,-1.8,0.8,5.2,9.6,-2.1,-15.8,-12.7,-6.5,-20.1,-12.7,-24.5,-18.4,-18.4,-18.4,-18.4,-18.4,-18.4
