bucket,n,5%,7%,10%,12%,15%,20%,25%,30%,35%,40%,50%,60%,75%,100%,125%,150%,200%,250%,300%,400%
ATP_CHALL_leader_55-59,16,88,88,81,62,62,62,62,62,62,62,56,56,12,6,6,6,6,6,6,6
ATP_CHALL_leader_60-64,50,96,96,94,92,92,80,74,74,72,68,64,16,0,0,0,0,0,0,0,0
ATP_CHALL_leader_65-69,17,94,94,88,82,82,76,76,76,76,71,0,0,0,0,0,0,0,0,0,0
ATP_CHALL_leader_70-74,47,91,91,87,81,81,74,72,70,55,28,4,4,4,4,4,4,4,4,4,4
ATP_CHALL_leader_75-79,33,100,97,97,97,97,94,94,15,3,3,3,3,3,3,3,3,3,3,3,3
ATP_CHALL_leader_80-84,38,92,92,87,84,82,61,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ATP_CHALL_leader_85-89,5,100,100,80,80,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ATP_CHALL_underdog_15-19,22,95,91,82,82,82,77,77,73,73,73,73,64,59,41,32,32,23,18,14,5
ATP_CHALL_underdog_20-24,43,93,86,84,81,81,79,79,72,72,70,65,63,63,56,44,40,33,33,23,0
ATP_CHALL_underdog_25-29,31,94,94,94,94,90,87,84,84,81,81,68,61,58,45,35,32,29,23,0,0
ATP_CHALL_underdog_30-34,33,91,88,88,85,82,76,67,67,67,67,67,58,52,39,36,33,21,6,6,6
ATP_CHALL_underdog_35-39,36,94,94,94,94,94,89,86,86,78,72,61,56,50,42,33,28,3,3,3,3
ATP_CHALL_underdog_40-44,35,97,94,94,94,91,89,83,77,74,71,71,66,63,60,40,0,0,0,0,0
ATP_CHALL_underdog_45-49,6,83,83,83,83,67,50,50,50,50,50,50,50,33,33,0,0,0,0,0,0
ATP_MAIN_leader_55-59,9,67,67,67,67,67,67,67,56,56,56,56,56,11,0,0,0,0,0,0,0
ATP_MAIN_leader_60-64,28,86,86,86,86,86,82,75,71,68,64,64,7,0,0,0,0,0,0,0,0
ATP_MAIN_leader_65-69,23,87,83,65,61,61,57,52,48,43,39,4,0,0,0,0,0,0,0,0,0
ATP_MAIN_leader_70-74,14,100,100,93,93,86,86,79,71,43,21,0,0,0,0,0,0,0,0,0,0
ATP_MAIN_leader_75-79,14,86,86,86,86,86,86,71,7,0,0,0,0,0,0,0,0,0,0,0,0
ATP_MAIN_underdog_20-24,15,93,93,93,80,80,80,73,73,73,73,73,73,53,53,33,27,20,20,20,0
ATP_MAIN_underdog_25-29,8,100,100,100,100,100,88,88,75,75,50,50,50,38,38,38,38,12,12,12,12
ATP_MAIN_underdog_30-34,29,86,86,86,86,86,83,79,72,72,69,62,55,52,45,45,41,17,0,0,0
ATP_MAIN_underdog_35-39,21,90,90,90,90,90,90,86,81,71,71,71,71,67,52,43,33,0,0,0,0
ATP_MAIN_underdog_40-44,16,88,88,88,88,88,88,75,75,69,62,56,56,50,50,38,6,6,6,6,6
WTA_MAIN_leader_50-54,6,83,83,83,83,83,83,83,83,83,83,67,67,67,0,0,0,0,0,0,0
WTA_MAIN_leader_55-59,11,82,73,73,73,64,55,45,36,36,36,36,36,27,0,0,0,0,0,0,0
WTA_MAIN_leader_60-64,14,86,86,79,79,64,64,64,64,64,64,64,29,0,0,0,0,0,0,0,0
WTA_MAIN_leader_65-69,16,75,75,75,75,75,75,75,69,69,56,6,0,0,0,0,0,0,0,0,0
WTA_MAIN_leader_70-74,21,86,86,86,86,86,86,81,81,43,14,5,5,5,5,5,5,5,5,5,5
WTA_MAIN_leader_80-84,13,85,85,85,85,85,77,8,8,8,8,8,8,8,8,8,8,8,8,8,8
WTA_MAIN_leader_85-89,8,75,75,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTA_MAIN_underdog_15-19,9,89,89,89,89,89,89,89,78,78,78,78,78,56,44,33,33,33,33,33,33
WTA_MAIN_underdog_20-24,10,100,100,100,80,70,60,60,60,50,40,30,20,20,20,10,10,10,10,10,0
WTA_MAIN_underdog_25-29,17,82,82,82,82,82,82,82,82,82,82,76,76,65,59,47,47,29,18,0,0
WTA_MAIN_underdog_30-34,17,88,88,88,76,76,71,71,71,65,59,47,47,47,41,29,24,18,0,0,0
WTA_MAIN_underdog_35-39,13,77,77,69,69,69,69,69,69,69,69,69,69,62,38,31,23,0,0,0,0
WTA_MAIN_underdog_40-44,13,69,69,62,62,62,62,62,62,62,62,62,62,62,54,23,0,0,0,0,0
WTA_MAIN_underdog_45-49,8,88,88,88,88,88,88,88,75,62,62,62,50,50,38,0,0,0,0,0,0
