exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,92.3,92.3,72.7,5.11,0.377,26,24
+4c,92.3,92.3,74.8,6.79,0.515,26,24
+5c,92.3,92.3,77.0,8.48,0.662,26,24
+6c,88.5,88.5,77.0,9.1,0.702,26,23
+7c,88.5,88.5,78.1,10.69,0.838,26,23
+8c,88.5,88.5,79.1,12.29,0.979,26,23
+9c,88.5,88.5,79.1,13.85,1.104,26,23
+10c,84.6,84.6,80.2,10.9,0.863,26,22
+11c,76.9,76.9,80.2,3.15,0.212,26,20
+12c,76.9,76.9,80.2,4.51,0.321,26,20
+13c,76.9,76.9,80.2,5.87,0.431,26,20
+14c,76.9,76.9,80.2,7.24,0.54,26,20
+15c,76.9,76.9,80.2,8.6,0.65,26,20
+16c,76.9,76.9,80.2,9.97,0.76,26,20
+17c,76.9,76.9,80.2,11.33,0.869,26,20
+18c,73.1,73.1,80.2,7.6,0.546,26,19
+19c,69.2,69.2,81.2,3.77,0.25,26,18
+20c,69.2,69.2,81.2,5.0,0.35,26,18
+21c,65.4,65.4,81.2,4.02,0.265,26,17
+22c,61.5,61.5,82.3,-0.16,-0.052,26,16
+23c,57.7,57.7,82.3,-4.55,-0.412,26,15
+24c,57.7,57.7,82.3,-3.53,-0.327,26,15
+25c,57.7,57.7,82.3,-2.51,-0.242,26,15
+26c,57.7,57.7,82.3,-1.49,-0.158,26,15
+27c,57.7,57.7,82.3,-0.47,-0.073,26,15
+28c,57.7,57.7,82.3,0.56,0.012,26,15
+29c,57.7,57.7,82.3,1.58,0.096,26,15
+30c,57.7,57.7,82.3,2.6,0.181,26,15
hold99,53.8,53.8,83.4,8.38,0.725,26,14
