exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,82.4,82.4,27.6,-7.82,-0.291,17,14
+4c,76.5,76.5,27.6,-5.96,-0.238,17,13
+5c,76.5,76.5,27.6,-2.92,-0.156,17,13
+6c,76.5,76.5,27.6,0.12,-0.074,17,13
+7c,76.5,76.5,27.6,3.16,0.009,17,13
+8c,76.5,76.5,27.6,6.2,0.091,17,13
+9c,76.5,76.5,27.6,9.23,0.174,17,13
+10c,76.5,76.5,27.6,12.27,0.256,17,13
+11c,76.5,76.5,27.6,15.31,0.338,17,13
+12c,76.5,76.5,27.6,18.35,0.421,17,13
+13c,76.5,76.5,27.6,21.39,0.503,17,13
+14c,70.6,76.5,27.6,22.31,0.532,17,12
+15c,70.6,76.5,27.6,25.12,0.609,17,12
+16c,70.6,76.5,27.6,27.92,0.685,17,12
+17c,70.6,76.5,27.6,30.72,0.762,17,12
+18c,70.6,76.5,27.6,33.53,0.838,17,12
+19c,70.6,76.5,27.6,36.33,0.915,17,12
+20c,70.6,76.5,27.6,39.14,0.991,17,12
+21c,70.6,76.5,27.6,41.94,1.068,17,12
+22c,64.7,70.6,27.6,32.7,0.765,17,11
+23c,64.7,70.6,27.6,35.22,0.832,17,11
+24c,58.8,64.7,27.9,26.43,0.582,17,10
+25c,52.9,58.8,28.1,17.4,0.312,17,9
+26c,52.9,58.8,28.1,19.48,0.368,17,9
+27c,52.9,58.8,28.1,21.56,0.424,17,9
+28c,47.1,52.9,28.1,9.52,0.056,17,8
+29c,41.2,47.1,28.4,-0.89,-0.253,17,7
+30c,41.2,47.1,28.4,0.68,-0.212,17,7
hold99,11.8,17.6,29.6,-42.67,-1.488,17,2
