exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,78.9,78.9,19.6,-7.29,-0.137,19,15
+4c,78.9,78.9,19.6,-2.47,-0.042,19,15
+5c,78.9,78.9,19.6,2.35,0.053,19,15
+6c,78.9,78.9,19.9,7.22,0.161,19,15
+7c,78.9,78.9,20.3,12.19,0.274,19,15
+8c,78.9,78.9,20.3,17.07,0.374,19,15
+9c,73.7,73.7,20.9,14.03,0.326,19,14
+10c,68.4,68.4,21.3,10.6,0.234,19,13
+11c,63.2,63.2,21.3,6.41,0.105,19,12
+12c,63.2,63.2,21.3,10.43,0.189,19,12
+13c,63.2,63.2,21.6,14.88,0.305,19,12
+14c,63.2,63.2,21.6,18.94,0.392,19,12
+15c,63.2,63.2,21.6,23.0,0.479,19,12
+16c,63.2,63.2,21.6,27.06,0.566,19,12
+17c,63.2,63.2,21.6,31.12,0.653,19,12
+18c,63.2,63.2,21.6,35.18,0.739,19,12
+19c,63.2,63.2,21.6,39.23,0.826,19,12
+20c,63.2,63.2,21.6,43.29,0.913,19,12
+21c,57.9,57.9,21.6,33.93,0.732,19,11
+22c,52.6,52.6,21.6,23.78,0.534,19,10
+23c,47.4,47.4,21.6,14.9,0.289,19,9
+24c,47.4,47.4,21.6,17.87,0.353,19,9
+25c,47.4,47.4,21.6,20.83,0.416,19,9
+26c,47.4,47.4,21.6,23.8,0.479,19,9
+27c,47.4,47.4,21.6,26.77,0.542,19,9
+28c,47.4,47.4,21.6,29.73,0.605,19,9
+29c,47.4,47.4,21.6,32.7,0.668,19,9
+30c,42.1,42.1,21.6,19.51,0.384,19,8
hold99,10.5,10.5,22.2,-33.5,-0.913,19,2
