exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,100.0,100.0,70.8,5.05,0.36,5,5
+4c,100.0,100.0,70.8,6.73,0.48,5,5
+5c,100.0,100.0,75.5,8.55,0.65,5,5
+6c,100.0,100.0,75.5,10.26,0.78,5,5
+7c,100.0,100.0,75.5,11.97,0.91,5,5
+8c,100.0,100.0,75.5,13.68,1.04,5,5
+9c,100.0,100.0,75.5,15.39,1.17,5,5
+10c,100.0,100.0,75.5,17.11,1.3,5,5
+11c,100.0,100.0,75.5,18.82,1.43,5,5
+12c,100.0,100.0,75.5,20.53,1.56,5,5
+13c,100.0,100.0,75.5,22.24,1.69,5,5
+14c,100.0,100.0,75.5,23.95,1.82,5,5
+15c,80.0,80.0,75.5,0.4,-0.21,5,4
+16c,80.0,80.0,75.5,1.75,-0.11,5,4
+17c,80.0,80.0,75.5,3.11,-0.01,5,4
+18c,40.0,40.0,80.2,-47.88,-4.17,5,2
+19c,40.0,40.0,80.2,-47.2,-4.12,5,2
+20c,40.0,40.0,80.2,-46.53,-4.07,5,2
+21c,40.0,40.0,80.2,-45.86,-4.02,5,2
+22c,40.0,40.0,80.2,-45.18,-3.97,5,2
+23c,40.0,40.0,80.2,-44.51,-3.92,5,2
+24c,40.0,40.0,80.2,-43.84,-3.87,5,2
+25c,40.0,40.0,80.2,-43.16,-3.82,5,2
+26c,40.0,40.0,80.2,-42.49,-3.77,5,2
+27c,40.0,40.0,80.2,-41.82,-3.72,5,2
+28c,40.0,40.0,80.2,-41.14,-3.67,5,2
+29c,40.0,40.0,80.2,-40.47,-3.62,5,2
+30c,40.0,40.0,80.2,-39.8,-3.57,5,2
hold99,40.0,40.0,80.2,-33.33,-3.07,5,2
