exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,83.3,83.3,86.5,-13.65,-1.483,6,5
+4c,83.3,83.3,86.5,-12.65,-1.4,6,5
+5c,83.3,83.3,90.5,-11.56,-1.283,6,5
+6c,83.3,83.3,90.5,-10.52,-1.192,6,5
+7c,83.3,83.3,90.5,-9.49,-1.1,6,5
+8c,83.3,83.3,90.5,-8.45,-1.008,6,5
+9c,83.3,83.3,90.5,-7.41,-0.917,6,5
+10c,83.3,83.3,90.5,-6.38,-0.825,6,5
+11c,83.3,83.3,94.5,-5.06,-0.65,6,5
+12c,83.3,83.3,94.5,-3.99,-0.55,6,5
+13c,83.3,83.3,94.5,-2.92,-0.45,6,5
+14c,83.3,83.3,94.5,-1.85,-0.35,6,5
+15c,83.3,83.3,94.5,-0.78,-0.25,6,5
+16c,83.3,83.3,94.5,0.29,-0.15,6,5
+17c,83.3,83.3,94.5,0.76,-0.1,6,5
+18c,83.3,83.3,94.5,1.23,-0.05,6,5
+19c,83.3,83.3,94.5,1.69,0.0,6,5
+20c,83.3,83.3,94.5,2.16,0.05,6,5
+21c,83.3,83.3,94.5,2.63,0.1,6,5
+22c,83.3,83.3,94.5,3.1,0.15,6,5
+23c,83.3,83.3,94.5,3.56,0.2,6,5
+24c,83.3,83.3,94.5,4.03,0.25,6,5
+25c,83.3,83.3,94.5,4.5,0.3,6,5
+26c,83.3,83.3,94.5,4.97,0.35,6,5
+27c,83.3,83.3,94.5,5.43,0.4,6,5
+28c,83.3,83.3,94.5,5.9,0.45,6,5
+29c,83.3,83.3,94.5,5.9,0.45,6,5
+30c,83.3,83.3,94.5,5.9,0.45,6,5
hold99,83.3,83.3,94.5,5.9,0.45,6,5
