exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,87.5,87.5,62.4,-5.7,-0.356,16,14
+4c,87.5,87.5,62.4,-3.65,-0.228,16,14
+5c,75.0,75.0,63.7,-15.58,-0.991,16,12
+6c,75.0,75.0,63.7,-13.82,-0.878,16,12
+7c,75.0,75.0,63.7,-12.05,-0.766,16,12
+8c,75.0,75.0,63.7,-10.29,-0.653,16,12
+9c,75.0,75.0,63.7,-8.52,-0.541,16,12
+10c,75.0,75.0,63.7,-6.75,-0.428,16,12
+11c,75.0,75.0,63.7,-4.99,-0.316,16,12
+12c,68.8,68.8,63.7,-11.24,-0.728,16,11
+13c,68.8,68.8,63.7,-9.62,-0.625,16,11
+14c,68.8,68.8,63.7,-7.99,-0.522,16,11
+15c,68.8,68.8,63.7,-6.37,-0.419,16,11
+16c,68.8,68.8,63.7,-4.75,-0.316,16,11
+17c,62.5,62.5,63.7,-11.91,-0.775,16,10
+18c,62.5,62.5,63.7,-10.44,-0.681,16,10
+19c,62.5,62.5,63.7,-8.96,-0.588,16,10
+20c,62.5,62.5,63.7,-7.49,-0.494,16,10
+21c,62.5,62.5,63.7,-6.01,-0.4,16,10
+22c,62.5,62.5,63.7,-4.53,-0.306,16,10
+23c,62.5,62.5,63.7,-3.06,-0.212,16,10
+24c,62.5,62.5,63.7,-1.58,-0.119,16,10
+25c,62.5,62.5,63.7,-0.11,-0.025,16,10
+26c,62.5,62.5,63.7,1.37,0.069,16,10
+27c,62.5,62.5,63.7,2.85,0.163,16,10
+28c,62.5,62.5,63.7,4.32,0.256,16,10
+29c,62.5,62.5,63.7,5.8,0.35,16,10
+30c,62.5,62.5,63.7,7.27,0.444,16,10
hold99,62.5,62.5,63.7,46.13,2.909,16,10
